item code;length (mm);width (mm);height (mm);weight (kg);Package material;Orientation constrained;Product;
0;1140;475;640;        147.920;CARDBOARD;;112729790RA;
1;1140;475;640;        147.920;CARDBOARD;;112729790RA;
2;1200;1000;745;         61.570;CARDBOARD;;214762519RA;
3;1200;1000;745;         61.570;CARDBOARD;;214762519RA;
4;1200;1000;745;         61.570;CARDBOARD;;214762519RA;
5;1200;1000;750;         45.400;WOOD;;214940046RA;
6;1200;1000;750;         52.300;WOOD;;214943706RA;
7;1200;1000;750;         52.300;WOOD;;214943706RA;
8;1200;1000;750;         52.300;WOOD;;214943706RA;
9;1200;1000;750;         52.300;WOOD;;214943706RA;
10;1200;1000;750;         52.300;WOOD;;214943706RA;
11;1200;1000;750;        124.640;WOOD;;237148334RA;
12;1140;950;850;         63.488;CARDBOARD;;244287099RA;
13;1140;950;850;         63.488;CARDBOARD;;244287099RA;
14;1140;950;850;         63.488;CARDBOARD;;244287099RA;
15;1140;950;850;         63.488;CARDBOARD;;244287099RA;
16;1140;950;850;         63.488;CARDBOARD;;244287099RA;
17;1140;950;850;         63.488;CARDBOARD;;244287099RA;
18;1140;950;850;         63.488;CARDBOARD;;244287099RA;
19;1200;1000;745;         58.400;CARDBOARD;;244977886RA;
20;1200;1000;745;         58.400;CARDBOARD;;244977886RA;
21;1200;1000;745;         58.400;CARDBOARD;;244977886RA;
22;1200;1000;1045;         53.450;CARDBOARD;;360160010RA;
23;1140;475;640;         83.680;CARDBOARD;;625130015RA;
24;1140;475;640;        134.000;CARDBOARD;;625300006RA;
25;1200;1000;550;        199.800;WOOD;;656010006RA;
26;1200;1000;445;        118.400;CARDBOARD;;656200028RA;
27;1140;950;640;         44.920;CARDBOARD;;658400016RA;
28;1140;950;640;         44.920;CARDBOARD;;658400016RA;
29;1140;950;850;         54.500;CARDBOARD;;673500017RA;
30;1140;950;850;         54.500;CARDBOARD;;673500017RA;
31;1140;475;640;         78.512;CARDBOARD;;674062477RA;
32;1140;475;640;         78.512;CARDBOARD;;674062477RA;
33;1140;475;640;         78.512;CARDBOARD;;674062477RA;
34;1140;475;640;         78.512;CARDBOARD;;674062477RA;
35;1140;475;640;         78.512;CARDBOARD;;674062477RA;
36;1200;1000;1045;         65.855;CARDBOARD;;681013435RA;
37;1200;1000;1145;         75.200;CARDBOARD;;682701452RA;
38;1200;1000;1050;         54.750;WOOD;;689200036RA;
39;1140;950;640;         80.260;CARDBOARD;;739480022RA;
40;1140;475;640;         61.700;CARDBOARD;;756503289RA;
41;1140;950;640;        229.750;CARDBOARD;;762180034RA;
42;1140;475;640;        171.760;CARDBOARD;;763560031RA;
43;1140;475;640;        171.760;CARDBOARD;;763570030RA;
44;1140;950;640;        445.900;CARDBOARD;;765860012RA;
45;1140;950;640;        479.700;CARDBOARD;;767510024RA;
46;1200;1000;545;        336.500;CARDBOARD;;767769195RA;
47;1140;950;850;         83.188;CARDBOARD;;7700434708A;
48;1140;475;640;        412.400;CARDBOARD;;801070008RA;
49;1140;950;640;        490.490;CARDBOARD;;809940032RA;
50;1140;950;640;        490.490;CARDBOARD;;809940032RA;
51;1140;950;555;        123.968;CARDBOARD;;8200212713A;
52;1200;1000;1050;        258.720;WOOD;;8200784385A;
53;1200;1000;1050;        258.720;WOOD;;8200784385A;
54;1140;950;640;        102.900;CARDBOARD;;821080004RA;
55;1140;950;640;        102.900;CARDBOARD;;821080004RA;
56;1200;1000;1050;        123.600;WOOD;;844327450RA;
57;1200;1000;1050;        123.600;WOOD;;844327450RA;
58;1200;1000;1050;        123.600;WOOD;;844339150RA;
59;1200;1000;1050;        123.600;WOOD;;844339150RA;
60;1200;1000;1050;        123.600;WOOD;;844339150RA;
61;1450;1140;740;         57.336;CARDBOARD;;849510086RA;
62;1450;1140;740;         57.336;CARDBOARD;;849510086RA;
63;1450;1140;740;         57.336;CARDBOARD;;849510086RA;
64;1200;1000;545;        198.900;CARDBOARD;;868689522RA;
65;1200;1000;545;        339.220;CARDBOARD;;901340020RA;
66;1200;1000;545;        339.220;CARDBOARD;;901350019RA;
67;1140;475;640;         47.120;CARDBOARD;;901493498RA;
68;1200;1000;1145;        226.650;CARDBOARD;;964001483RA;
69;1200;1000;1145;        228.450;CARDBOARD;;964013181RA;
70;1140;475;640;        147.920;CARDBOARD;;112729790RA;
71;1140;475;640;        147.920;CARDBOARD;;112729790RA;
72;1450;1140;850;        207.800;CARDBOARD;;430180018RA;
73;1450;1140;850;        217.660;CARDBOARD;;430190021RA;
74;1450;1140;850;        217.660;CARDBOARD;;430190021RA;
75;1450;1140;850;        217.660;CARDBOARD;;430190021RA;
76;1450;1140;850;        217.660;CARDBOARD;;430190021RA;
77;1450;1140;850;        217.660;CARDBOARD;;430190021RA;
78;1450;1140;850;        217.660;CARDBOARD;;430190021RA;
79;1450;1140;850;        217.660;CARDBOARD;;430190021RA;
80;1450;1140;850;        217.660;CARDBOARD;;430190021RA;
81;1450;1140;850;        217.660;CARDBOARD;;430190021RA;
82;1450;1140;850;        217.660;CARDBOARD;;430190021RA;
83;1450;1140;850;        488.800;CARDBOARD;;751100010RA;
84;1450;1140;850;        453.700;CARDBOARD;;751110025RA;
85;1450;1140;640;        522.300;CARDBOARD;;754320008RA;
86;1450;1140;640;        522.300;CARDBOARD;;754320008RA;
87;1450;1140;640;        533.100;CARDBOARD;;754330008RA;
88;1450;1140;850;        246.376;CARDBOARD;;756840008RA;
