item code;length (mm);width (mm);height (mm);weight (kg);Package material;Orientation constrained;Product;
0;1320;1160;1360;        177.000;WOOD;;248107705RA;
1;1180;1140;860;        162.800;METAL;;7700793841A;
2;1180;1140;860;        200.000;METAL;;8200050357A;
3;1180;1140;860;        689.200;METAL;;8200212787A;
4;1180;1140;860;        300.875;METAL;;8200215039A;
5;1180;1140;860;        247.000;METAL;;8200215040A;
6;1200;1000;1050;         86.700;WOOD;;8200419796A;
7;1480;1140;860;        356.640;METAL;;8200447179A;
8;1480;1140;860;        356.640;METAL;;8200447179A;
9;1480;1140;860;        267.550;METAL;;8200448179A;
10;1480;1140;860;        267.550;METAL;;8200448179A;
11;1480;1140;860;        356.640;METAL;;8200448394A;
12;1180;1140;860;        188.000;METAL;;8200448931A;
13;1180;1140;860;        560.000;METAL;;8200449152A;
14;1180;1140;860;        560.000;METAL;;8200449156A;
15;1180;1140;860;        560.000;METAL;;8200449171A;
16;1180;1140;860;        560.000;METAL;;8200449178A;
17;1180;1140;660;        387.600;METAL;;8200491495A;
18;1140;475;640;        347.600;CARDBOARD;WIDTHWISE;8200495979A;
19;1180;1140;660;        502.500;METAL;;8200646542A;
20;1180;1140;660;        358.800;METAL;;8200703972A;
21;1180;1140;660;        315.000;METAL;;8200716389A;
22;1180;1140;660;        328.000;METAL;;8200723922A;
23;1180;1140;660;        118.800;METAL;;8200735039A;
24;1180;1140;660;        118.800;METAL;;8200735039A;
25;1180;1140;660;        118.800;METAL;;8200735039A;
26;1180;1140;660;        118.800;METAL;;8200735039A;
27;1180;1140;660;        118.800;METAL;;8200735039A;
28;1180;1140;660;        118.800;METAL;;8200735039A;
29;1180;1140;660;        118.800;METAL;;8200735039A;
30;1180;1140;660;        118.800;METAL;;8200735039A;
31;1180;1140;660;        118.800;METAL;;8200735039A;
32;1180;1140;660;        323.800;METAL;;8200751262A;
33;1200;1000;1050;         73.500;WOOD;;8200848954A;
34;1450;1140;850;        567.520;CARDBOARD;LENGTHWISE;8200883917A;
35;1450;1140;850;        567.520;CARDBOARD;LENGTHWISE;8200883917A;
36;1450;1140;850;        567.520;CARDBOARD;LENGTHWISE;8200883917A;
37;1180;1140;660;        189.500;METAL;;8200912534A;
38;1180;1140;660;        189.500;METAL;;8200912534A;
39;1180;1140;860;        132.800;METAL;;8200927182A;
40;1180;1140;860;        132.800;METAL;;8200927182A;
41;1180;1140;860;        132.800;METAL;;8200927184A;
42;1180;1140;660;        287.500;METAL;;843400362RA;
43;1450;1140;850;        127.000;CARDBOARD;LENGTHWISE;870084759RA;
44;1450;1140;850;        127.000;CARDBOARD;LENGTHWISE;870084759RA;
45;1450;1140;850;        127.000;CARDBOARD;LENGTHWISE;870084759RA;
46;1450;1140;850;        127.000;CARDBOARD;LENGTHWISE;870084759RA;
47;1480;1140;860;        325.310;METAL;;886518894RA;
48;1180;1140;860;        121.370;METAL;;969100077RA;
49;1180;1140;860;        121.370;METAL;;969100077RA;
50;1180;1140;860;        121.370;METAL;;969100077RA;
51;1180;1140;860;        121.370;METAL;;969100077RA;
52;1180;1140;860;        121.370;METAL;;969100077RA;
53;1180;1140;860;        121.370;METAL;;969100077RA;
54;1180;1140;860;        121.370;METAL;;969100077RA;
55;1180;1140;860;        121.370;METAL;;969100077RA;
56;1140;950;640;         40.390;CARDBOARD;;969100554RA;
57;1140;950;850;         64.100;CARDBOARD;;260602914RA;
58;1140;950;850;         64.100;CARDBOARD;;260602914RA;
