item code;length (mm);width (mm);height (mm);weight (kg);Package material;Orientation constrained;Product;
0;1140;950;640;        125.500;CARDBOARD;;260427218RA;
1;1140;950;640;        125.500;CARDBOARD;;260928183RA;
2;1140;950;640;        125.500;CARDBOARD;;260928183RA;
3;1140;950;640;        125.500;CARDBOARD;;260928183RA;
4;1140;950;740;        133.640;CARDBOARD;;281155216RE;
5;1140;950;640;        254.900;CARDBOARD;;364002234RA;
6;1140;950;640;        254.900;CARDBOARD;;364002234RA;
7;1140;950;640;        254.900;CARDBOARD;;364003676RA;
8;1140;950;640;        254.900;CARDBOARD;;364003676RA;
9;1180;1140;860;        501.250;METAL;;511159675RA;
10;2270;1170;1270;        593.960;METAL;LENGTHWISE;544013322RA;
11;1140;950;640;        169.300;CARDBOARD;;651454568RA;
12;1200;1000;1150;        115.800;WOOD;;687608041RA;
13;1840;600;1280;        304.400;WOOD;;727121665RA;
14;1840;600;1280;        304.400;WOOD;;727121665RA;
15;1840;600;1280;        304.400;WOOD;;727121665RA;
16;1840;600;1280;        304.400;WOOD;;727125442RA;
17;1840;600;1280;        304.400;WOOD;;727125442RA;
18;1140;950;640;        332.500;CARDBOARD;;745320001RA;
19;1140;950;640;        332.500;CARDBOARD;;745330001RA;
20;1740;1140;850;         71.502;CARDBOARD;LENGTHWISE;769510712RA;
21;1740;1140;850;         71.502;CARDBOARD;LENGTHWISE;769510712RA;
22;1740;1140;850;         71.502;CARDBOARD;LENGTHWISE;769525938RA;
23;1740;1140;850;         71.502;CARDBOARD;LENGTHWISE;769525938RA;
24;1140;950;640;        260.500;CARDBOARD;;781210012RA;
25;1140;950;640;        260.500;CARDBOARD;;781210012RA;
26;1140;475;640;         49.420;CARDBOARD;LENGTHWISE;8200209755A;
27;1450;1140;640;         71.260;CARDBOARD;;8200732333A;
28;1450;1140;850;         66.400;CARDBOARD;;8200732344A;
29;1450;1140;850;         66.400;CARDBOARD;;8200732344A;
30;1450;1140;850;         66.400;CARDBOARD;;8200732344A;
31;1140;950;850;        187.670;CARDBOARD;;8200733174A;
32;1450;1140;850;        101.360;CARDBOARD;;8200880554A;
33;1450;1140;850;        101.360;CARDBOARD;;8200880554A;
34;1450;1140;850;        101.360;CARDBOARD;;8200880554A;
35;1140;950;850;        127.590;CARDBOARD;;8200950247A;
36;1215;800;940;        314.000;WOOD;;823014191RA;
37;1180;1140;860;        132.080;METAL;;850704338RA;
38;1180;1140;860;        132.080;METAL;;850704338RA;
39;2270;1170;1270;        808.740;METAL;LENGTHWISE;687600649RA;
40;1140;950;640;        179.625;CARDBOARD;;8200213278A;
41;1450;1140;640;        224.220;CARDBOARD;;8200250989A;
42;1450;1140;850;        350.042;CARDBOARD;;8200495987A;
43;1140;475;640;        118.000;CARDBOARD;LENGTHWISE;8200502397A;
44;1140;475;640;        118.000;CARDBOARD;LENGTHWISE;8200502397A;
45;1140;475;640;         94.500;CARDBOARD;LENGTHWISE;8200523366A;
