item code;length (mm);width (mm);height (mm);weight (kg);Package material;Orientation constrained;Product;
0;1140;475;640;         92.000;CARDBOARD;;462838180RR;
1;1140;475;640;        213.650;CARDBOARD;;625113585RR;
2;1930;1140;890;        188.500;CARDBOARD;;738200025RR;
3;1200;1000;1045;         91.370;CARDBOARD;;738826742RR;
4;1200;1000;1050;         71.040;WOOD;;738867603RR;
5;1200;1000;1050;         71.040;WOOD;;738867603RR;
6;1200;1000;1050;         71.040;WOOD;;738867603RR;
7;1200;1000;1050;         71.040;WOOD;;738867603RR;
8;1200;1000;1045;        102.656;CARDBOARD;;738874467RR;
9;1200;1000;1045;        102.656;CARDBOARD;;738874467RR;
10;1140;950;640;        129.400;CARDBOARD;;767428677RR;
11;1140;950;640;        129.400;CARDBOARD;;767428677RR;
12;1140;950;640;        129.400;CARDBOARD;;767431158RR;
13;1140;950;640;        129.400;CARDBOARD;;767431158RR;
14;1140;950;640;        216.772;CARDBOARD;;8200457080R;
15;1140;950;640;        216.772;CARDBOARD;;8200457080R;
16;1140;950;850;        182.500;CARDBOARD;;8200495957R;
17;1140;950;640;        162.292;CARDBOARD;;8200805803R;
18;1200;1000;745;        433.900;CARDBOARD;;8200933753R;
19;1140;950;850;        126.500;CARDBOARD;;8200991067R;
20;1450;1140;740;        182.700;CARDBOARD;;360109431RR;
21;1790;1180;950;         93.632;CARDBOARD;;622358989RR;
22;4700;400;400;        135.050;WOOD;;803000014RR;
23;4700;400;400;        135.050;WOOD;;803010014RR;
24;1140;950;640;        271.900;CARDBOARD;;8200814138R;
25;1200;1200;745;        253.960;CARDBOARD;;8200919080R;
26;1740;1140;850;        160.884;CARDBOARD;LENGTHWISE;880009348RR;
27;1740;1140;850;        160.884;CARDBOARD;LENGTHWISE;880009348RR;
28;1660;760;1100;        405.000;WOOD;;903005008RR;
29;1200;1000;1045;        106.700;CARDBOARD;;963010176RR;
30;940;690;950;         96.800;WOOD;;462408004RR;
31;940;690;950;        128.800;WOOD;;462420728RR;
32;940;690;950;        111.200;WOOD;;462525233RR;
33;940;690;950;         99.200;WOOD;;462821409RR;
34;3350;1140;278;        248.200;WOOD;;462842110RR;
35;1200;1000;545;         47.272;CARDBOARD;;628909891RR;
36;1450;1140;850;         56.725;CARDBOARD;;679002362RR;
37;1930;1140;890;        188.500;CARDBOARD;;738200025RR;
38;1930;1140;890;        188.500;CARDBOARD;;738200025RR;
39;1930;1140;890;        188.500;CARDBOARD;;738200025RR;
40;1930;1140;890;        188.500;CARDBOARD;;738200025RR;
41;1930;1140;890;        188.500;CARDBOARD;;738207468RR;
42;1930;1140;890;        188.500;CARDBOARD;;738207468RR;
43;1930;1140;890;        188.500;CARDBOARD;;738210019RR;
44;1930;1140;890;        188.500;CARDBOARD;;738210019RR;
45;1930;1140;890;        188.500;CARDBOARD;;738210019RR;
46;1930;1140;890;        188.500;CARDBOARD;;738210019RR;
47;1930;1140;890;        188.500;CARDBOARD;;738210019RR;
48;1930;1140;890;        188.500;CARDBOARD;;738210103RR;
49;1930;1140;890;        188.500;CARDBOARD;;738210103RR;
50;1200;1000;1045;         91.370;CARDBOARD;;738826742RR;
51;1200;1000;1050;         71.040;WOOD;;738867603RR;
52;1200;1000;1045;        102.656;CARDBOARD;;738874467RR;
53;1200;1000;1045;        102.656;CARDBOARD;;738874467RR;
54;1200;1000;1045;        102.656;CARDBOARD;;738874467RR;
55;1140;950;640;        129.400;CARDBOARD;;767431158RR;
56;1140;950;640;        216.772;CARDBOARD;;8200457080R;
57;1140;950;850;        135.800;CARDBOARD;;8200734096R;
58;1200;1000;1045;         94.340;CARDBOARD;;8200763573R;
59;1140;950;640;        162.292;CARDBOARD;;8200805803R;
60;1200;1000;545;         48.400;CARDBOARD;;908894785RR;
61;1450;1140;850;        428.500;CARDBOARD;;430190019RR;
62;2130;1500;850;         54.030;CARDBOARD;;850108378RR;
63;2130;1500;850;         54.030;CARDBOARD;;850108378RR;
64;2130;1500;850;         54.030;CARDBOARD;;850108378RR;
65;940;690;950;        100.000;WOOD;;462509708RR;
66;940;690;950;        111.200;WOOD;;462525233RR;
67;940;690;950;        108.800;WOOD;;462832964RR;
68;1140;475;640;        213.650;CARDBOARD;;625113585RR;
69;1140;475;640;        213.650;CARDBOARD;;625113585RR;
70;1930;1140;890;        188.500;CARDBOARD;;738200025RR;
71;1930;1140;890;        188.500;CARDBOARD;;738200025RR;
72;1930;1140;890;        188.500;CARDBOARD;;738200025RR;
73;1930;1140;890;        188.500;CARDBOARD;;738207468RR;
74;1930;1140;890;        188.500;CARDBOARD;;738207468RR;
75;1930;1140;890;        188.500;CARDBOARD;;738207468RR;
76;1930;1140;890;        188.500;CARDBOARD;;738207468RR;
77;1930;1140;890;        188.500;CARDBOARD;;738210019RR;
78;1930;1140;890;        188.500;CARDBOARD;;738210019RR;
79;1930;1140;890;        188.500;CARDBOARD;;738210019RR;
80;1930;1140;890;        188.500;CARDBOARD;;738210103RR;
81;1930;1140;890;        188.500;CARDBOARD;;738210103RR;
82;1930;1140;890;        188.500;CARDBOARD;;738210103RR;
83;1930;1140;890;        188.500;CARDBOARD;;738210103RR;
