item code;length (mm);width (mm);height (mm);weight (kg);Package material;Orientation constrained;Product;
0;1140;950;640;        304.000;CARDBOARD;;544036050RV;
1;1140;950;640;        304.000;CARDBOARD;;544036050RV;
2;1140;950;640;        304.000;CARDBOARD;;544036050RV;
3;1140;950;640;        304.000;CARDBOARD;;544036050RV;
4;1140;950;640;        304.000;CARDBOARD;;544036050RV;
5;1140;950;640;        304.000;CARDBOARD;;544036050RV;
6;1140;950;640;        304.000;CARDBOARD;;544036050RV;
7;1140;950;640;        304.000;CARDBOARD;;544036050RV;
8;1140;950;640;        304.000;CARDBOARD;;544036050RV;
9;1140;950;640;        304.000;CARDBOARD;;544036050RV;
10;1140;950;640;        304.000;CARDBOARD;;544036050RV;
11;1140;950;640;        304.000;CARDBOARD;;544036050RV;
12;1140;950;640;        304.000;CARDBOARD;;544036050RV;
13;1140;950;640;        304.000;CARDBOARD;;544036050RV;
14;1140;950;640;        304.000;CARDBOARD;;544036050RV;
15;1140;950;640;        304.000;CARDBOARD;;544036050RV;
16;1140;950;850;        253.100;CARDBOARD;;544086782RV;
17;1140;950;850;        253.100;CARDBOARD;;544086782RV;
18;1140;950;850;        253.100;CARDBOARD;;544086782RV;
19;1140;950;850;        253.100;CARDBOARD;;544086782RV;
20;1140;950;850;        253.100;CARDBOARD;;544086782RV;
21;1140;950;850;        253.100;CARDBOARD;;544086782RV;
22;1140;950;850;        253.100;CARDBOARD;;544086782RV;
23;1140;950;850;        253.100;CARDBOARD;;544086782RV;
24;1140;950;640;        274.300;CARDBOARD;;544H46607RV;
25;1140;950;640;        274.300;CARDBOARD;;544H46607RV;
26;1140;950;640;        274.300;CARDBOARD;;544H46607RV;
27;1140;950;640;        274.300;CARDBOARD;;544H46607RV;
28;1140;950;640;        274.300;CARDBOARD;;544H46607RV;
29;1140;950;640;        274.300;CARDBOARD;;544H46607RV;
30;1140;950;640;        274.300;CARDBOARD;;544H46607RV;
31;1140;950;640;        274.300;CARDBOARD;;544H46607RV;
32;1140;950;640;        274.300;CARDBOARD;;544H46607RV;
33;1140;950;640;        274.300;CARDBOARD;;544H46607RV;
34;1140;950;640;        274.300;CARDBOARD;;544H46607RV;
35;1140;950;640;        274.300;CARDBOARD;;544H46607RV;
36;1140;950;640;        274.300;CARDBOARD;;544H46607RV;
37;1140;950;640;        274.300;CARDBOARD;;544H46607RV;
38;1140;950;640;        274.300;CARDBOARD;;544H46607RV;
39;1140;950;640;        274.300;CARDBOARD;;544H46607RV;
40;1140;950;640;        274.300;CARDBOARD;;544H46607RV;
