item code;length (mm);width (mm);height (mm);weight (kg);Package material;Orientation constrained;Product;
0;1720;1140;1260;        192.400;CARDBOARD;;214810826RV;
1;1450;1140;640;        249.200;CARDBOARD;;320101170RV;
2;1450;1140;640;        249.200;CARDBOARD;;320101170RV;
3;1450;1140;640;        249.200;CARDBOARD;;320101170RV;
4;1450;1140;640;        249.200;CARDBOARD;;320101170RV;
5;1450;1140;640;        249.200;CARDBOARD;;320101170RV;
6;1450;1140;640;        249.200;CARDBOARD;;320101170RV;
7;1450;1140;640;        249.200;CARDBOARD;;320101170RV;
8;1450;1140;640;        249.200;CARDBOARD;;320101170RV;
9;1450;1140;640;        249.200;CARDBOARD;;320101170RV;
10;1450;1140;640;        249.200;CARDBOARD;;320101170RV;
11;1450;1140;640;        249.200;CARDBOARD;;320101170RV;
12;1450;1140;640;        249.200;CARDBOARD;;320101170RV;
13;1450;1140;640;        249.200;CARDBOARD;;320101170RV;
14;1140;950;640;        596.500;CARDBOARD;;400140935RV;
15;1140;950;640;        596.500;CARDBOARD;;400140935RV;
16;1140;950;640;        596.500;CARDBOARD;;400158094RV;
17;1140;950;850;        708.380;CARDBOARD;;410004658RV;
18;1140;950;850;        708.380;CARDBOARD;;410004658RV;
19;1140;950;850;        708.380;CARDBOARD;;410004658RV;
20;1140;950;850;        708.380;CARDBOARD;;410107518RV;
21;1140;950;850;        708.380;CARDBOARD;;410107518RV;
22;1140;950;850;        708.380;CARDBOARD;;410107518RV;
23;1140;950;850;        708.380;CARDBOARD;;410107518RV;
24;1140;950;640;        412.780;CARDBOARD;;551103020RV;
25;1140;950;640;        412.780;CARDBOARD;;551103020RV;
26;1140;950;640;        412.780;CARDBOARD;;551103020RV;
27;1140;950;640;        245.500;CARDBOARD;;6040184700V;
28;1450;1140;850;         81.600;CARDBOARD;;658404860RV;
29;1450;1140;850;         81.600;CARDBOARD;;658404860RV;
30;1740;1140;850;        761.080;CARDBOARD;LENGTHWISE;743702569RV;
31;1140;950;850;        593.000;CARDBOARD;;751088756RV;
32;1140;950;850;        593.000;CARDBOARD;;751096374RV;
33;1140;950;850;        593.000;CARDBOARD;;751096374RV;
34;1200;1000;750;         71.400;WOOD;;8200273994V;
35;1200;1000;1150;        230.800;WOOD;;8200309487V;
36;1200;1000;1150;        230.800;WOOD;;8200309487V;
37;1720;1140;1560;        386.960;WOOD;;8200383171V;
38;1140;950;850;        800.750;CARDBOARD;;8200395174V;
39;1200;1000;1150;        245.200;WOOD;;8200510352V;
40;1200;1000;1150;        245.200;WOOD;;8200510352V;
41;1140;475;640;         39.600;CARDBOARD;LENGTHWISE;8200548766V;
42;1200;1000;1050;         64.560;WOOD;;8200694500V;
43;1200;1000;1050;         64.560;WOOD;;8200694500V;
44;1200;1000;1050;         64.560;WOOD;;8200694500V;
45;1140;950;850;        344.000;CARDBOARD;;8200760202V;
46;1140;950;850;        344.000;CARDBOARD;;8200760202V;
47;1200;1000;1150;        115.800;WOOD;;8200817797V;
48;1200;1000;1150;        250.480;WOOD;;8200834492V;
49;1200;1000;1150;        211.600;WOOD;;8200834493V;
