item code;length (mm);width (mm);height (mm);weight (kg);Package material;Orientation constrained;Product;
0;1140;950;850;         66.504;CARDBOARD;;140462061RR;
1;1140;950;850;         66.504;CARDBOARD;;140462061RR;
2;1140;950;850;         66.504;CARDBOARD;;140462061RR;
3;1140;950;850;         66.504;CARDBOARD;;140462061RR;
4;1140;950;850;         66.504;CARDBOARD;;140462061RR;
5;1140;950;850;         66.504;CARDBOARD;;140462061RR;
6;1140;950;850;         66.504;CARDBOARD;;140462061RR;
7;1140;950;850;         66.504;CARDBOARD;;140462061RR;
8;1140;950;850;         62.640;CARDBOARD;;144609034RR;
9;1200;1000;750;        145.000;WOOD;;172285546RR;
10;1140;950;850;         48.000;CARDBOARD;;175751FE0BR;
11;1140;950;850;         48.000;CARDBOARD;;175751FE0BR;
12;1140;950;850;         47.220;CARDBOARD;;175B14760RR;
13;1140;950;850;         47.220;CARDBOARD;;175B14760RR;
14;1140;475;640;        356.000;CARDBOARD;;200280018RR;
15;1140;950;640;         44.000;CARDBOARD;;214108807RR;
16;1140;950;640;         44.000;CARDBOARD;;214108807RR;
17;1140;950;640;         44.000;CARDBOARD;;214108807RR;
18;1140;950;640;         44.000;CARDBOARD;;214108807RR;
19;1140;950;850;        686.400;CARDBOARD;;231005770RR;
20;1200;1000;750;        100.240;WOOD;;251901000RR;
21;1200;1000;1045;         93.400;CARDBOARD;;265600001RR;
22;1200;1000;1045;         52.000;CARDBOARD;;265650001RR;
23;1140;950;640;        101.900;CARDBOARD;;287102467RR;
24;1200;1000;750;        200.500;WOOD;;306104585RR;
25;1200;1000;750;         81.700;WOOD;;308508123RR;
26;1200;1000;750;         40.500;WOOD;;308512321RR;
27;2200;1170;950;        655.480;CARDBOARD;;370002820RR;
28;1200;1000;1050;        540.000;WOOD;;476608845RR;
29;1140;950;850;         34.800;CARDBOARD;;491107326RR;
30;1140;950;850;         34.800;CARDBOARD;;491107326RR;
31;1140;950;850;        248.000;CARDBOARD;;491107773RR;
32;1140;950;850;        248.000;CARDBOARD;;491107773RR;
33;1140;950;850;        248.000;CARDBOARD;;491107773RR;
34;1140;950;850;        248.000;CARDBOARD;;491107773RR;
35;1140;950;850;        248.000;CARDBOARD;;491107773RR;
36;1140;950;850;        248.000;CARDBOARD;;491107773RR;
37;1140;950;850;        248.000;CARDBOARD;;491107773RR;
38;1140;950;850;        248.000;CARDBOARD;;491107773RR;
39;1140;950;850;        248.000;CARDBOARD;;491107773RR;
40;1140;950;850;        248.000;CARDBOARD;;491107773RR;
41;1140;950;850;        248.000;CARDBOARD;;491107773RR;
42;1140;950;850;        248.000;CARDBOARD;;491107773RR;
43;1140;950;850;        248.000;CARDBOARD;;491107773RR;
44;1200;1000;1045;        112.000;CARDBOARD;;806069199RR;
45;1200;1000;745;        255.400;CARDBOARD;;8200277203R;
46;1140;475;640;        433.936;CARDBOARD;;8200281656R;
47;1180;1140;860;       1074.900;METAL;;8200303298R;
48;1140;950;640;        124.272;CARDBOARD;;8200419282R;
49;1200;1000;1050;        103.440;WOOD;;8200431098R;
50;1140;950;850;         61.520;CARDBOARD;;8200516253R;
51;1180;1140;860;        292.325;METAL;;8200605732R;
52;1140;475;640;        870.762;CARDBOARD;;8200681375R;
53;1200;1000;545;         84.400;CARDBOARD;;8201068829R;
54;1200;1000;545;         84.400;CARDBOARD;;8201068829R;
55;2270;1170;1270;        796.916;METAL;;215081131RR;
56;2270;1170;1270;       1570.742;METAL;;215081131RR;
57;2270;1170;1090;        714.580;CARDBOARD;;215081131RR;
58;1140;950;850;        282.000;CARDBOARD;;112100627RR;
59;1140;950;850;        282.000;CARDBOARD;;112100627RR;
60;1140;950;850;        282.000;CARDBOARD;;112100627RR;
61;1140;950;850;        282.000;CARDBOARD;;112100627RR;
62;1140;950;850;         66.504;CARDBOARD;;140462061RR;
63;1140;950;850;         66.504;CARDBOARD;;140462061RR;
64;1140;950;850;         66.504;CARDBOARD;;140462061RR;
65;1140;950;850;         66.504;CARDBOARD;;140462061RR;
66;1140;950;850;         66.504;CARDBOARD;;140462061RR;
67;1140;950;850;         66.504;CARDBOARD;;140462061RR;
68;1140;950;850;         66.504;CARDBOARD;;140462061RR;
69;1140;950;850;         66.504;CARDBOARD;;140462061RR;
70;1140;950;850;         66.504;CARDBOARD;;140462061RR;
71;1140;950;850;         66.504;CARDBOARD;;140462061RR;
72;1140;950;850;         66.504;CARDBOARD;;140462061RR;
73;1140;950;850;         62.640;CARDBOARD;;144609034RR;
74;1140;950;850;         48.000;CARDBOARD;;175751FE0BR;
75;1140;950;850;         48.000;CARDBOARD;;175751FE0BR;
76;1140;950;850;        229.200;CARDBOARD;;208025633RR;
77;1200;1000;1045;        108.400;CARDBOARD;;255679157RR;
78;1200;1000;1045;        108.400;CARDBOARD;;255679157RR;
79;1200;1000;1045;        108.400;CARDBOARD;;255679157RR;
80;1200;1000;1045;        108.400;CARDBOARD;;255679157RR;
81;1200;1000;1045;        108.400;CARDBOARD;;255679157RR;
82;1200;1000;1045;         93.400;CARDBOARD;;265600001RR;
83;1200;1000;1045;         52.000;CARDBOARD;;265650001RR;
84;1140;950;640;         77.120;CARDBOARD;;287800376RR;
85;1200;1000;1045;         88.000;CARDBOARD;;460915817RR;
86;1450;1140;850;        183.000;CARDBOARD;;488104216RR;
87;1140;950;850;         34.800;CARDBOARD;;491107326RR;
88;1140;950;850;         34.800;CARDBOARD;;491107326RR;
89;1140;950;850;         34.800;CARDBOARD;;491107326RR;
90;1140;950;850;        248.000;CARDBOARD;;491107773RR;
91;1140;950;850;        248.000;CARDBOARD;;491107773RR;
92;1140;950;850;        248.000;CARDBOARD;;491107773RR;
93;1140;950;850;        248.000;CARDBOARD;;491107773RR;
94;1140;950;850;        248.000;CARDBOARD;;491107773RR;
95;1140;950;850;        248.000;CARDBOARD;;491107773RR;
96;1140;950;850;        248.000;CARDBOARD;;491107773RR;
97;1200;1000;1045;        112.000;CARDBOARD;;806079148RR;
98;1200;1000;1045;        112.000;CARDBOARD;;806079148RR;
99;1200;1000;1000;        122.000;CARDBOARD;;8200682558R;
100;1740;1140;850;        111.000;CARDBOARD;;8200976710R;
101;1140;950;850;        674.000;CARDBOARD;;926000160RR;
102;1140;950;850;        674.000;CARDBOARD;;926000160RR;
103;1450;1140;850;        108.000;CARDBOARD;;985105160RR;
104;1740;1140;1250;        270.472;CARDBOARD;;8201127198R;
105;2270;1170;1270;        855.980;METAL;;328655773RR;
106;1140;950;850;         66.504;CARDBOARD;;140462061RR;
107;1140;950;850;         66.504;CARDBOARD;;140462061RR;
108;1140;950;850;         48.000;CARDBOARD;;175751FE0BR;
109;1140;950;850;         61.400;CARDBOARD;;217107259RR;
110;1200;1000;545;        184.200;CARDBOARD;;237104454RR;
111;1200;1000;445;        100.000;CARDBOARD;;255522448RR;
112;1200;1000;1045;        108.400;CARDBOARD;;255679157RR;
113;1200;1000;1045;        108.400;CARDBOARD;;255679157RR;
114;1200;1000;1045;        108.400;CARDBOARD;;255679157RR;
