item code;length (mm);width (mm);height (mm);weight (kg);Package material;Orientation constrained;Product;
0;1740;1140;850;        259.480;CARDBOARD;;430006757RU;
1;1740;1140;850;        259.480;CARDBOARD;;430006757RU;
2;1740;1140;850;        259.480;CARDBOARD;;430006757RU;
3;1740;1140;850;        259.480;CARDBOARD;;430006757RU;
4;1740;1140;850;        259.480;CARDBOARD;;430006757RU;
5;1180;1140;860;        345.440;METAL;;545011697RU;
6;1180;1140;860;        345.440;METAL;;545011697RU;
7;1180;1140;860;        345.440;METAL;;545011697RU;
8;1140;950;850;        237.300;CARDBOARD;;747610011RU;
9;1140;950;640;        157.300;CARDBOARD;;8200814830U;
10;1140;950;640;        412.000;CARDBOARD;;6040226913U;
11;1140;950;640;        412.000;CARDBOARD;;6040226913U;
12;1140;950;640;        412.000;CARDBOARD;;6040226913U;
13;1140;950;640;        412.000;CARDBOARD;;6040226913U;
14;1140;950;640;        412.000;CARDBOARD;;6040226913U;
15;1140;950;640;        412.000;CARDBOARD;;6040226913U;
16;1140;950;640;        412.000;CARDBOARD;;6040226913U;
17;1140;950;640;        412.000;CARDBOARD;;6040226913U;
18;1140;950;640;        412.000;CARDBOARD;;6040226913U;
19;1140;950;640;        412.000;CARDBOARD;;6040226913U;
20;1140;950;640;        412.000;CARDBOARD;;6040226913U;
21;1140;950;640;        412.000;CARDBOARD;;6040226913U;
22;1140;950;640;        256.820;CARDBOARD;;678803301RU;
23;1140;950;640;        256.820;CARDBOARD;;678803301RU;
24;1140;950;640;        256.820;CARDBOARD;;678803301RU;
25;1140;950;640;        256.820;CARDBOARD;;678803301RU;
26;1140;950;640;        256.820;CARDBOARD;;678803301RU;
27;1140;950;640;        256.820;CARDBOARD;;678803301RU;
28;1140;950;640;        256.820;CARDBOARD;;678803301RU;
29;1140;950;640;        256.820;CARDBOARD;;678803301RU;
30;1140;950;640;        256.820;CARDBOARD;;678803301RU;
31;1140;950;640;        256.820;CARDBOARD;;678803301RU;
32;1140;950;640;        256.820;CARDBOARD;;678803301RU;
33;1140;950;640;        256.820;CARDBOARD;;678803301RU;
34;1140;950;640;        256.820;CARDBOARD;;678803301RU;
35;1140;950;640;        256.820;CARDBOARD;;678803301RU;
36;1140;950;640;        385.000;CARDBOARD;;751003849RU;
37;1140;950;640;        385.000;CARDBOARD;;751003849RU;
38;1140;950;640;        385.000;CARDBOARD;;751003849RU;
39;1140;950;640;        385.000;CARDBOARD;;751003849RU;
40;1140;950;640;        385.000;CARDBOARD;;751003849RU;
41;1140;950;640;        385.000;CARDBOARD;;751003849RU;
42;1140;950;640;        385.000;CARDBOARD;;751003849RU;
43;1140;950;640;        385.000;CARDBOARD;;751003849RU;
44;1140;950;640;        385.000;CARDBOARD;;751003849RU;
45;1140;950;850;        719.700;CARDBOARD;;391003840RU;
46;1140;950;850;        734.100;CARDBOARD;;391008165RU;
47;1140;950;850;        734.100;CARDBOARD;;391008165RU;
48;1140;950;850;        734.100;CARDBOARD;;391008165RU;
49;1140;950;850;        734.100;CARDBOARD;;391008165RU;
50;1140;950;850;        747.300;CARDBOARD;;391016491RU;
51;1140;950;850;        747.300;CARDBOARD;;391016491RU;
52;1370;930;1200;        316.300;WOOD;;403000414RU;
53;1450;1140;640;        627.800;WOOD;;462673904RU;
54;1450;1140;640;        627.800;WOOD;;462673904RU;
55;1140;950;640;        292.252;CARDBOARD;;745140029RU;
56;1200;1000;650;        601.200;WOOD;;758307960RU;
57;1200;1000;650;        901.200;WOOD;;758906818RU;
58;1200;1000;650;        901.200;WOOD;;758906818RU;
59;1200;1000;650;        901.200;WOOD;;758906818RU;
60;1200;1000;650;        901.200;WOOD;;758906818RU;
61;1200;1000;650;        901.200;WOOD;;758906818RU;
62;1200;1000;650;        901.200;WOOD;;758906818RU;
63;1200;1000;650;        901.200;WOOD;;758906818RU;
64;1200;1000;650;        901.200;WOOD;;758906818RU;
65;1200;1000;650;        901.200;WOOD;;758906818RU;
66;1140;475;640;        265.520;CARDBOARD;WIDTHWISE;767420009RU;
67;1140;950;850;         70.700;CARDBOARD;;8200598010U;
68;1140;950;850;        859.700;CARDBOARD;;8200715078U;
69;1140;950;850;        859.700;CARDBOARD;;8200715079U;
70;1140;950;850;        570.500;CARDBOARD;;8200939996U;
71;1140;950;850;        570.500;CARDBOARD;;8200939996U;
72;1140;950;850;        570.500;CARDBOARD;;8200939996U;
73;1140;950;850;        570.500;CARDBOARD;;8200939996U;
74;1180;1140;860;        506.300;METAL;;237143110RU;
75;1180;1140;860;        520.000;METAL;;8200383181U;
76;1140;950;640;        327.940;CARDBOARD;;544045767RU;
77;1180;1140;860;        569.920;METAL;;544171665RU;
78;1140;475;640;         23.690;CARDBOARD;WIDTHWISE;668358665RU;
79;1140;475;640;        414.000;CARDBOARD;WIDTHWISE;731860005RU;
80;1140;475;640;        414.000;CARDBOARD;WIDTHWISE;731870001RU;
81;1140;475;640;        564.000;CARDBOARD;WIDTHWISE;731880002RU;
82;1140;950;640;        292.252;CARDBOARD;;745140029RU;
83;1140;950;640;        292.252;CARDBOARD;;745140029RU;
