item code;length (mm);width (mm);height (mm);weight (kg);Package material;Orientation constrained;Product;
0;1200;1000;750;        242.952;WOOD;;130705295RR;
1;1180;1140;860;        136.000;METAL;;135000849RR;
2;1180;1140;860;        136.000;METAL;;135000849RR;
3;1180;1140;860;        136.000;METAL;;135000849RR;
4;1200;1200;745;        170.600;CARDBOARD;;161192787RR;
5;1140;950;850;        288.000;CARDBOARD;;8200123061R;
6;1200;1000;1340;        134.000;WOOD;;8200238932R;
7;1200;1000;1340;        134.000;WOOD;;8200238932R;
8;1200;1000;1050;        145.500;WOOD;;8200404084R;
9;1140;950;850;        237.408;CARDBOARD;;8200487939R;
10;1140;950;850;        237.408;CARDBOARD;;8200487939R;
11;1140;950;850;        237.408;CARDBOARD;;8200487939R;
12;1140;950;850;        678.494;CARDBOARD;;8200498703R;
13;1140;950;850;        678.494;CARDBOARD;;8200498703R;
14;1140;950;850;        678.494;CARDBOARD;;8200498703R;
15;1140;950;850;        678.494;CARDBOARD;;8200498703R;
16;1140;950;850;        678.494;CARDBOARD;;8200498703R;
17;1140;950;850;        300.480;CARDBOARD;;8200568671R;
18;1140;950;850;        300.480;CARDBOARD;;8200568671R;
19;1140;950;850;        842.688;CARDBOARD;;8200934762R;
20;1140;950;850;        842.688;CARDBOARD;;8200934762R;
21;1140;950;850;        120.000;CARDBOARD;;8201190679R;
22;1140;950;850;        120.000;CARDBOARD;;8201190679R;
23;1140;950;850;        120.000;CARDBOARD;;8201190679R;
24;1140;950;850;        120.000;CARDBOARD;;8201190679R;
25;1140;950;850;        120.000;CARDBOARD;;8201190679R;
26;1740;1140;1250;        808.958;CARDBOARD;;8200117596R;
27;1140;950;640;        543.350;CARDBOARD;;123033245RR;
28;1140;950;640;        543.350;CARDBOARD;;123033245RR;
29;1200;1000;750;        242.952;WOOD;;130705295RR;
30;1200;1000;750;        242.952;WOOD;;130705295RR;
31;1180;1140;860;        136.000;METAL;;135000849RR;
32;1180;1140;860;        136.000;METAL;;135000849RR;
33;1180;1140;860;        136.000;METAL;;135000849RR;
34;1180;1140;860;        136.000;METAL;;135000849RR;
35;1180;1140;860;        136.000;METAL;;135000849RR;
36;1200;1200;745;        170.600;CARDBOARD;;161192787RR;
37;1200;1200;745;        170.600;CARDBOARD;;161192787RR;
38;2270;1170;1270;        482.000;METAL;;7700273486R;
39;1140;950;640;        361.640;CARDBOARD;;7700274177R;
40;1140;950;640;        361.640;CARDBOARD;;7700274177R;
41;1140;950;640;        577.475;CARDBOARD;;7701469247R;
42;1140;950;640;        577.475;CARDBOARD;;7701469247R;
43;1140;950;640;        577.475;CARDBOARD;;7701469247R;
44;1140;950;640;        601.250;CARDBOARD;;7701477856R;
45;1200;1000;750;        994.540;WOOD;;8200036888R;
46;1740;1140;1250;        411.600;CARDBOARD;;8200062945R;
47;1200;1200;745;        202.100;CARDBOARD;;8200106085R;
48;1140;950;850;        536.400;CARDBOARD;;8200156373R;
49;1140;950;850;        536.400;CARDBOARD;;8200156373R;
50;1200;1000;1340;        134.000;WOOD;;8200238932R;
51;1200;1000;1340;        134.000;WOOD;;8200238932R;
52;1180;1140;860;        932.000;METAL;;8200480688R;
53;1140;950;850;        237.408;CARDBOARD;;8200487939R;
54;1140;950;850;        237.408;CARDBOARD;;8200487939R;
55;1140;950;850;        237.408;CARDBOARD;;8200487939R;
56;1140;950;850;        237.408;CARDBOARD;;8200487939R;
57;1140;950;850;        237.408;CARDBOARD;;8200487939R;
58;1140;950;850;        237.408;CARDBOARD;;8200487939R;
59;1140;950;850;        237.408;CARDBOARD;;8200487939R;
60;1140;950;850;        678.494;CARDBOARD;;8200498703R;
61;1140;950;850;        678.494;CARDBOARD;;8200498703R;
62;1140;950;850;        678.494;CARDBOARD;;8200498703R;
63;1140;950;850;        678.494;CARDBOARD;;8200498703R;
64;1140;950;850;        678.494;CARDBOARD;;8200498703R;
65;1140;950;850;        300.480;CARDBOARD;;8200568671R;
66;1140;950;850;        300.480;CARDBOARD;;8200568671R;
67;1200;1000;750;        361.600;WOOD;;8200568712R;
68;1140;475;640;        148.736;CARDBOARD;;8200573238R;
69;1140;475;640;        148.736;CARDBOARD;;8200573238R;
70;1140;475;640;        148.736;CARDBOARD;;8200573238R;
71;1140;475;640;        148.736;CARDBOARD;;8200573238R;
72;1140;475;640;        148.736;CARDBOARD;;8200573238R;
73;1140;950;850;        696.000;CARDBOARD;;8200664673R;
74;1200;1000;1050;        237.900;WOOD;;8200692605R;
75;2270;1170;1270;        534.600;METAL;;8200713680R;
76;1200;1000;1050;        138.000;WOOD;;8200730798R;
77;1200;1000;750;        440.800;WOOD;;8200758088R;
78;1140;950;850;        842.688;CARDBOARD;;8200900052R;
79;1140;950;850;        842.688;CARDBOARD;;8200934762R;
80;1140;950;850;        120.000;CARDBOARD;;8201190679R;
81;1140;950;850;        120.000;CARDBOARD;;8201190679R;
82;1140;950;850;        120.000;CARDBOARD;;8201190679R;
83;1140;950;850;        120.000;CARDBOARD;;8201190679R;
84;1140;950;850;        120.000;CARDBOARD;;8201190679R;
85;1740;1140;1250;        823.208;CARDBOARD;;8200139674R;
86;1140;950;740;        484.620;CARDBOARD;;224015826RR;
87;1140;950;640;        543.350;CARDBOARD;;123033245RR;
88;1140;950;640;        543.350;CARDBOARD;;123033245RR;
89;1180;1140;860;        136.000;METAL;;135000849RR;
90;1180;1140;860;        136.000;METAL;;135000849RR;
91;1180;1140;860;        136.000;METAL;;135000849RR;
92;1180;1140;860;        136.000;METAL;;135000849RR;
93;1180;1140;860;        136.000;METAL;;135000849RR;
94;1180;1140;860;        136.000;METAL;;135000849RR;
95;1180;1140;860;        136.000;METAL;;135000849RR;
96;1180;1140;860;        136.000;METAL;;135000849RR;
97;1180;1140;860;        136.000;METAL;;135000849RR;
