item code;length (mm);width (mm);height (mm);weight (kg);Package material;Orientation constrained;Product;
0;2200;1170;950;        655.480;CARDBOARD;;370002820RR;
1;2200;1170;950;        655.480;CARDBOARD;;370002820RR;
2;1140;950;850;        138.000;CARDBOARD;;479007637RR;
3;1140;950;850;        105.000;CARDBOARD;;479101292RR;
4;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
5;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
6;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
7;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
8;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
9;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
10;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
11;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
12;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
13;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
14;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
15;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
16;1140;950;850;        106.680;CARDBOARD;;491803558RR;
17;1200;1000;745;        336.400;CARDBOARD;;55419JD60CR;
18;1450;1140;850;        602.182;CARDBOARD;;641222679RR;
19;1450;1140;850;        602.182;CARDBOARD;;641222679RR;
20;1450;1140;850;        605.710;CARDBOARD;;641237644RR;
21;1450;1140;850;        605.710;CARDBOARD;;641237644RR;
22;2280;950;640;        622.004;WOOD;;764122472RR;
23;2280;950;640;        622.004;WOOD;;764122472RR;
24;2280;950;640;        688.400;WOOD;;764295695RR;
25;2280;950;640;        688.400;WOOD;;764295695RR;
26;2280;950;640;        688.400;WOOD;;764295695RR;
27;2280;950;640;        688.400;WOOD;;764295695RR;
28;2280;950;640;        688.400;WOOD;;764295695RR;
29;2280;950;640;        646.160;WOOD;;764299162RR;
30;2280;950;640;        646.160;WOOD;;764299162RR;
31;1200;1000;750;        308.200;WOOD;;8200025937R;
32;1140;950;850;        355.280;CARDBOARD;;8200225362R;
33;1140;950;850;        355.280;CARDBOARD;;8200225362R;
34;1140;950;850;        355.280;CARDBOARD;;8200225362R;
35;1140;950;850;        355.280;CARDBOARD;;8200225362R;
36;1140;950;850;        594.000;CARDBOARD;;8200257893R;
37;1200;1000;750;        367.000;WOOD;;8200438263R;
38;1140;950;640;        273.760;CARDBOARD;;8200583305R;
39;1140;950;850;        323.792;CARDBOARD;;8200631310R;
40;2280;1470;990;       1169.400;METAL;;8201226251R;
41;2280;1470;990;       1169.400;METAL;;8201226251R;
42;2280;1470;990;       1169.400;METAL;;8201226251R;
43;2280;1470;990;       1169.400;METAL;;8201226251R;
44;2280;1470;990;       1169.400;METAL;;8201226251R;
45;2280;1470;990;       1169.400;METAL;;8201226251R;
46;1140;950;850;        654.000;CARDBOARD;;926000097RR;
47;1140;950;850;        654.000;CARDBOARD;;926000097RR;
48;1140;950;850;        654.000;CARDBOARD;;926000097RR;
49;1140;950;850;        654.000;CARDBOARD;;926000097RR;
50;1140;950;640;        201.350;CARDBOARD;;995506680RR;
51;1140;950;640;        201.350;CARDBOARD;;995506680RR;
52;1140;950;640;        201.350;CARDBOARD;;995506680RR;
53;1140;950;640;        201.350;CARDBOARD;;995506680RR;
54;2280;1470;990;       1180.200;METAL;;100015248RR;
55;2280;1470;990;       1180.200;METAL;;100015248RR;
