item code;length (mm);width (mm);height (mm);weight (kg);Package material;Orientation constrained;Product;
0;2280;1470;990;       1533.000;METAL;;100019204RR;
1;2280;1470;990;       1533.000;METAL;;100019204RR;
2;2280;1470;990;       1533.000;METAL;;100019204RR;
3;2280;1470;990;       1533.000;METAL;;100019204RR;
4;2280;1470;990;       1533.000;METAL;;100019204RR;
5;2280;1470;990;       1533.000;METAL;;100019204RR;
6;2280;1470;990;       1533.000;METAL;;100019204RR;
7;2280;1470;990;       1533.000;METAL;;100019204RR;
8;2280;1470;990;       1533.000;METAL;;100019204RR;
9;2280;1470;990;       1533.000;METAL;;100019204RR;
10;2280;1470;990;       1533.000;METAL;;100019204RR;
11;2280;1470;990;       1533.000;METAL;;100019204RR;
12;2280;1470;990;       1533.000;METAL;;100019204RR;
13;2280;1470;990;       1533.000;METAL;;100019204RR;
14;2280;1470;990;       1533.000;METAL;;100019204RR;
15;2280;1470;990;       1533.000;METAL;;100019204RR;
16;1140;950;850;         63.690;CARDBOARD;;648600006RR;
17;1140;950;850;         63.690;CARDBOARD;;648600006RR;
18;1140;950;850;         63.690;CARDBOARD;;648600006RR;
19;1140;950;850;         63.690;CARDBOARD;;648600007RR;
20;1740;1140;640;        147.000;CARDBOARD;;668565207RR;
21;1740;1140;640;        147.000;CARDBOARD;;668565207RR;
22;1740;1140;640;        147.000;CARDBOARD;;668565207RR;
23;1740;1140;640;        507.200;CARDBOARD;;671181611RR;
24;1140;475;640;         91.500;CARDBOARD;;673312244RR;
25;2270;1170;1270;        284.000;METAL;;678701463RR;
26;2270;1170;1270;        284.000;METAL;;678701463RR;
27;2270;1170;1270;        284.000;METAL;;678701463RR;
28;2270;1170;1270;        284.000;METAL;;678701463RR;
29;2270;1170;1270;        284.000;METAL;;678701463RR;
30;2270;1170;1270;        284.000;METAL;;678701463RR;
31;2270;1170;1270;        284.000;METAL;;678701463RR;
32;2055;1810;1260;         87.000;CARDBOARD;;681000035RR;
33;2055;1810;1260;         87.000;CARDBOARD;;681000035RR;
34;2055;1810;1260;         87.000;CARDBOARD;;681000035RR;
35;2055;1810;1260;         87.000;CARDBOARD;;681000035RR;
36;1200;1000;750;         42.500;WOOD;;684950001RR;
37;1200;1000;1050;         72.000;WOOD;;685000045RR;
38;1140;475;640;        138.000;CARDBOARD;;801242896RR;
39;1140;475;640;        138.000;CARDBOARD;;801242896RR;
40;2280;1450;1850;        270.300;WOOD;;760120007RR;
41;2280;1450;1850;        270.300;WOOD;;760120007RR;
42;2280;1450;1850;        270.300;WOOD;;760120007RR;
43;2280;1450;1850;        270.300;WOOD;;760120007RR;
44;2280;1450;1850;        270.300;WOOD;;760120007RR;
45;2280;1450;1850;        270.300;WOOD;;760120007RR;
46;2280;1450;1850;        270.300;WOOD;;760130002RR;
47;2280;1450;1850;        270.300;WOOD;;760130002RR;
48;1200;1000;750;         85.000;WOOD;;7700795347R;
