item code;length (mm);width (mm);height (mm);weight (kg);Package material;Orientation constrained;Product;
0;1200;1000;750;         29.200;WOOD;;8200055026R;
1;1450;1140;850;        150.400;CARDBOARD;;8200096173R;
2;1200;1000;750;         69.100;WOOD;;8200101805R;
3;1200;1000;750;         69.100;WOOD;;8200101805R;
4;1200;1000;750;         68.000;WOOD;;8200101806R;
5;1450;1140;740;         67.800;CARDBOARD;;8200101808R;
6;1200;1000;545;        309.000;CARDBOARD;;8200112748R;
7;2150;800;750;         84.760;WOOD;;8200113049R;
8;2150;800;750;         84.760;WOOD;;8200113049R;
9;2150;800;750;         84.760;WOOD;;8200113050R;
10;1140;950;740;        149.016;CARDBOARD;;8200122345R;
11;1140;950;740;        149.016;CARDBOARD;;8200122345R;
12;1140;950;740;        149.016;CARDBOARD;;8200122345R;
13;1200;1000;750;        377.800;WOOD;;8200148388R;
14;1140;950;850;         82.660;CARDBOARD;;8200150621R;
15;1140;950;850;         87.000;CARDBOARD;;8200150623R;
16;1140;950;850;         87.000;CARDBOARD;;8200150623R;
17;1140;950;850;         82.660;CARDBOARD;;8200150625R;
18;1140;950;850;         82.660;CARDBOARD;;8200150625R;
19;1180;1140;860;        298.250;METAL;;8200155793R;
20;1140;950;850;         49.900;CARDBOARD;;8200156691R;
21;1140;950;850;         49.900;CARDBOARD;;8200156693R;
22;1180;1140;860;        298.250;METAL;;8200157006R;
23;1180;1140;860;        281.120;METAL;;8200159627R;
24;1140;950;640;        174.000;CARDBOARD;;8200159843R;
25;1140;475;640;         77.140;CARDBOARD;;8200164226R;
26;1180;1140;660;        570.600;METAL;;8200168722R;
27;1140;475;640;         82.380;CARDBOARD;;8200200778R;
28;1180;1140;860;        266.000;METAL;;8200480682R;
29;1200;1000;545;         82.300;CARDBOARD;;8201068825R;
30;1200;1000;545;         97.000;CARDBOARD;;8201068828R;
31;2270;1170;1270;        799.748;METAL;;8200045359R;
32;2270;1170;1270;       1165.017;METAL;;8200045359R;
33;2270;1170;1270;        680.043;METAL;;8200045359R;
34;2270;1170;1270;       1167.396;METAL;;8200045359R;
35;2270;1170;1270;        921.108;METAL;;8200045359R;
36;2270;1170;1270;        791.660;METAL;;8200045359R;
37;2270;1170;1270;        830.140;METAL;;8200045359R;
38;2270;1170;1270;       1033.207;METAL;;8200045359R;
39;1140;950;640;        178.400;CARDBOARD;;112100039RR;
40;1140;950;850;         61.248;CARDBOARD;;165854265RR;
41;1450;1140;740;        177.600;CARDBOARD;;7700354718R;
42;1180;1140;1250;        478.400;PLASTIC;;7700434628R;
43;1140;950;640;        615.800;CARDBOARD;;7700836594R;
44;1460;1140;1360;        436.000;WOOD;;7700836608R;
45;1140;475;640;        144.000;CARDBOARD;;7700836663R;
