item code;length (mm);width (mm);height (mm);weight (kg);Package material;Orientation constrained;Product;
0;1100;950;740;        160.100;CARDBOARD;;244210004RN;
1;1100;950;740;        160.100;CARDBOARD;;244210004RN;
2;1100;950;740;        160.100;CARDBOARD;;244210004RN;
3;1100;950;740;        160.100;CARDBOARD;;244210004RN;
4;1100;950;740;        160.100;CARDBOARD;;244210004RN;
5;1100;950;740;        160.100;CARDBOARD;;244210004RN;
6;2270;1170;1270;        593.960;METAL;WIDTHWISE;544013322RN;
7;1140;475;640;        215.500;CARDBOARD;WIDTHWISE;625113585RN;
8;1140;475;640;        215.500;CARDBOARD;WIDTHWISE;625113585RN;
9;1140;475;640;        284.000;CARDBOARD;WIDTHWISE;755826742RN;
10;1140;475;640;        413.000;CARDBOARD;WIDTHWISE;759245290RN;
11;1140;475;640;        413.000;CARDBOARD;WIDTHWISE;759251995RN;
12;1140;475;640;        122.600;CARDBOARD;WIDTHWISE;8200211750N;
13;1140;475;640;        122.600;CARDBOARD;WIDTHWISE;8200211752N;
14;1140;475;640;        406.000;CARDBOARD;WIDTHWISE;8200212885N;
15;1140;475;640;        409.500;CARDBOARD;WIDTHWISE;8200212886N;
16;1140;950;850;        508.500;CARDBOARD;;8200215962N;
17;1140;950;850;        587.000;CARDBOARD;;8200257893N;
18;1140;950;850;        587.000;CARDBOARD;;8200257895N;
19;1140;475;640;        366.000;CARDBOARD;WIDTHWISE;8200281654N;
20;1140;475;640;        366.000;CARDBOARD;WIDTHWISE;8200281656N;
21;1140;475;640;        320.000;CARDBOARD;WIDTHWISE;8200555358N;
22;1140;475;640;        466.000;CARDBOARD;WIDTHWISE;8200750242N;
23;1140;475;640;        466.000;CARDBOARD;WIDTHWISE;8200750242N;
24;2270;1170;1270;        593.960;METAL;WIDTHWISE;544013322RN;
25;2270;1170;1270;        593.960;METAL;WIDTHWISE;544013322RN;
26;1450;1140;640;        988.800;CARDBOARD;;625108663RN;
27;1450;1140;640;        988.800;CARDBOARD;;625108663RN;
28;1450;1140;850;        821.900;CARDBOARD;LENGTHWISE;745124673RN;
29;1450;1140;850;        821.900;CARDBOARD;LENGTHWISE;745124673RN;
30;1450;1140;850;        821.900;CARDBOARD;LENGTHWISE;745124673RN;
31;1450;1140;850;        493.800;CARDBOARD;LENGTHWISE;752626871RN;
32;1450;1140;850;        493.800;CARDBOARD;LENGTHWISE;752626871RN;
33;1740;1140;640;        292.600;CARDBOARD;;755096993RN;
34;1740;1140;640;        292.600;CARDBOARD;;755120019RN;
35;1450;1140;850;        446.425;CARDBOARD;LENGTHWISE;8200210833N;
36;1740;1140;640;        991.000;CARDBOARD;;8200609081N;
37;1740;1140;640;        991.000;CARDBOARD;;8200609081N;
38;1450;1140;850;        218.350;CARDBOARD;LENGTHWISE;8200630332N;
39;1450;1140;850;        218.350;CARDBOARD;LENGTHWISE;8200630332N;
40;1450;1140;850;        218.350;CARDBOARD;LENGTHWISE;8200630332N;
41;1450;1140;850;        218.350;CARDBOARD;LENGTHWISE;8200630332N;
42;1450;1140;850;        218.350;CARDBOARD;LENGTHWISE;8200630332N;
43;1450;1140;850;        218.350;CARDBOARD;LENGTHWISE;8200630332N;
44;1450;1140;850;        218.350;CARDBOARD;LENGTHWISE;8200630332N;
45;1450;1140;850;        218.350;CARDBOARD;LENGTHWISE;8200630332N;
46;1450;1140;850;        218.350;CARDBOARD;LENGTHWISE;8200630332N;
47;1450;1140;850;        218.350;CARDBOARD;LENGTHWISE;8200630332N;
48;1450;1140;850;        218.350;CARDBOARD;LENGTHWISE;8200630332N;
49;1450;1140;850;        218.350;CARDBOARD;LENGTHWISE;8200630332N;
50;1450;1140;850;        218.350;CARDBOARD;LENGTHWISE;8200630332N;
51;1450;1140;640;        185.500;CARDBOARD;;8200763265N;
52;1450;1140;640;        290.600;CARDBOARD;;8200890443N;
53;1450;1140;640;        290.600;CARDBOARD;;8200890443N;
54;1450;1140;640;        290.600;CARDBOARD;;8200890443N;
55;1450;1140;640;        290.600;CARDBOARD;;8200890443N;
56;1450;1140;640;        290.600;CARDBOARD;;8200890443N;
57;1450;1140;640;        290.600;CARDBOARD;;8200890443N;
58;1450;1140;640;        290.600;CARDBOARD;;8200890443N;
59;1450;1140;640;        290.600;CARDBOARD;;8200890443N;
60;1450;1140;640;        290.600;CARDBOARD;;8200890443N;
61;1450;1140;640;        290.380;CARDBOARD;;8200890446N;
62;1450;1140;640;        290.380;CARDBOARD;;8200890446N;
63;1450;1140;640;        290.380;CARDBOARD;;8200890446N;
64;1450;1140;640;        290.380;CARDBOARD;;8200890446N;
65;1140;950;640;        251.380;CARDBOARD;;112224729RN;
66;1200;1000;1050;        411.600;WOOD;;464001394RN;
67;1140;950;850;        288.500;CARDBOARD;;6040096355N;
68;1140;950;850;        288.500;CARDBOARD;;6040096359N;
69;1140;950;850;        288.500;CARDBOARD;;6040096359N;
70;1740;1140;850;        964.000;CARDBOARD;;743108130RN;
71;1740;1140;850;        964.000;CARDBOARD;;743108130RN;
72;1450;1140;850;        821.900;CARDBOARD;LENGTHWISE;745124673RN;
73;1450;1140;850;        821.900;CARDBOARD;LENGTHWISE;745124673RN;
74;1140;475;640;        250.800;CARDBOARD;WIDTHWISE;751520358RN;
75;1740;1140;640;        292.600;CARDBOARD;;755096993RN;
76;1740;1140;640;        292.600;CARDBOARD;;755096993RN;
77;1740;1140;640;        292.600;CARDBOARD;;755096993RN;
78;1740;1140;640;        292.600;CARDBOARD;;755096993RN;
79;1740;1140;640;        292.600;CARDBOARD;;755096993RN;
80;1740;1140;640;        292.600;CARDBOARD;;755120019RN;
81;1140;950;640;        740.500;CARDBOARD;;767629133RN;
82;1140;950;640;        848.600;CARDBOARD;;8200210922N;
83;1140;950;640;        444.000;CARDBOARD;;8200212787N;
84;1140;950;640;        417.220;CARDBOARD;;8200225412N;
85;1140;950;640;        417.220;CARDBOARD;;8200225486N;
86;1140;950;640;        417.220;CARDBOARD;;8200225486N;
87;1450;1140;640;        325.500;CARDBOARD;;8200295126N;
88;1140;950;850;         71.764;CARDBOARD;;8200424155N;
89;1200;1000;1150;        782.750;CARDBOARD;;8200584675N;
90;1200;1000;1150;        782.750;CARDBOARD;;8200584675N;
91;1140;950;850;        125.450;CARDBOARD;;8200588887N;
92;1140;950;850;        125.450;CARDBOARD;;8200588887N;
93;1140;950;850;        109.900;CARDBOARD;;8200588888N;
94;1140;950;640;        309.700;CARDBOARD;;8200648760N;
95;1200;1000;450;        144.000;WOOD;;8200679061N;
96;1140;950;640;        258.500;CARDBOARD;;8200788321N;
97;1450;1140;640;        290.600;CARDBOARD;;8200890443N;
98;1450;1140;640;        290.380;CARDBOARD;;8200890446N;
99;1450;1140;640;        290.380;CARDBOARD;;8200890446N;
100;1450;1140;640;        290.380;CARDBOARD;;8200890446N;
101;1200;1000;1050;        131.880;WOOD;;8200921758N;
102;1200;1000;1050;        131.880;WOOD;;8200921758N;
103;1200;1000;1050;        131.880;WOOD;;8200921758N;
104;1200;1000;1050;        131.880;WOOD;;8200921758N;
105;1200;1000;1050;        131.880;WOOD;;8200921758N;
106;1140;950;640;        180.500;CARDBOARD;;8200930544N;
107;1200;1000;1150;        661.000;CARDBOARD;;926006229RN;
108;1200;1000;1150;        661.000;CARDBOARD;;926006229RN;
109;2270;1170;1270;       1315.920;METAL;WIDTHWISE;117509654RN;
110;2270;1170;1270;       1451.070;METAL;WIDTHWISE;922400590RN;
111;1140;950;640;        251.380;CARDBOARD;;112224729RN;
112;1140;950;850;        426.800;CARDBOARD;;237143110RN;
113;1140;950;640;         84.250;CARDBOARD;;497204828RN;
114;1140;950;640;         84.250;CARDBOARD;;497204828RN;
115;1140;950;640;         84.250;CARDBOARD;;497204828RN;
116;1140;950;850;        434.000;CARDBOARD;;759226164RN;
