item code;length (mm);width (mm);height (mm);weight (kg);Package material;Orientation constrained;Product;
0;2280;1470;990;       1178.400;METAL;;100015425RR;
1;1450;1140;850;         67.840;CARDBOARD;;165556262RR;
2;1200;1000;1050;        234.000;WOOD;;172024388RR;
3;1180;1140;1090;        521.000;METAL;;208024827RR;
4;1140;950;850;        620.400;CARDBOARD;;400140506RR;
5;1180;1140;860;        858.000;METAL;;432004202RR;
6;1140;950;850;        297.960;CARDBOARD;;440001751RR;
7;1140;950;850;        297.960;CARDBOARD;;440006793RR;
8;1140;950;850;        297.960;CARDBOARD;;440101074RR;
9;1140;950;850;        173.280;CARDBOARD;;472105674RR;
10;1450;1140;640;        158.920;CARDBOARD;;488102002RR;
11;1450;1140;640;        158.920;CARDBOARD;;488102002RR;
12;1450;1140;850;        203.000;CARDBOARD;;488104415RR;
13;1450;1140;850;        196.000;CARDBOARD;;490019274RR;
14;1450;1140;850;        196.000;CARDBOARD;;490019274RR;
15;1450;1140;850;        196.000;CARDBOARD;;490019274RR;
16;1140;950;850;        157.840;CARDBOARD;;769230024RR;
17;1800;1460;600;        875.050;WOOD;;8200167926R;
18;1180;1140;860;        255.680;METAL;;8200217216R;
19;1180;1140;860;        278.064;METAL;;8200229565R;
20;1180;1140;860;       1074.900;METAL;;8200303298R;
21;1140;950;850;         80.000;CARDBOARD;;8200343476R;
22;1140;950;850;         80.000;CARDBOARD;;8200343476R;
23;1140;950;850;         80.000;CARDBOARD;;8200343476R;
24;1480;1140;860;       1374.550;METAL;;8200409389R;
25;1140;950;850;        109.200;CARDBOARD;;8200732310R;
26;1140;950;640;        121.850;CARDBOARD;;8200734582R;
27;1450;1140;850;        175.000;CARDBOARD;;8200760429R;
28;1140;950;850;        357.840;CARDBOARD;;8200792969R;
29;1140;950;740;        417.000;CARDBOARD;;8200810621R;
30;1140;950;850;         55.200;CARDBOARD;;8200896012R;
31;1140;950;850;         55.200;CARDBOARD;;8200896012R;
32;1200;1000;545;         97.000;CARDBOARD;;8201068828R;
33;1450;1140;640;        415.000;CARDBOARD;;8201141294R;
34;1450;1140;640;        415.000;CARDBOARD;;8201141294R;
35;1450;1140;640;        415.000;CARDBOARD;;8201141294R;
36;2280;1470;990;       1125.000;METAL;;8201254199R;
37;2280;1470;990;       1125.000;METAL;;8201254199R;
38;2280;1470;990;       1125.000;METAL;;8201254199R;
39;1180;1140;860;        194.450;METAL;;172216856RR;
40;1200;1000;750;        145.000;WOOD;;172285546RR;
41;1140;950;640;         43.600;CARDBOARD;;308510741RR;
42;1140;950;640;         40.000;CARDBOARD;;308517047RR;
43;1740;1140;850;        111.000;CARDBOARD;;349011155RR;
44;1140;950;850;        620.400;CARDBOARD;;400113411RR;
45;1140;950;850;        620.400;CARDBOARD;;400140506RR;
46;1140;950;850;        620.400;CARDBOARD;;400142104RR;
47;1140;950;850;        620.400;CARDBOARD;;400154583RR;
48;1200;1000;750;        652.750;WOOD;;400300003RR;
49;1180;1140;860;        858.000;METAL;;432004202RR;
50;1140;950;850;        297.960;CARDBOARD;;440001751RR;
51;1140;950;850;        297.960;CARDBOARD;;440006793RR;
52;1140;950;850;        297.960;CARDBOARD;;440101074RR;
53;1140;950;850;        297.960;CARDBOARD;;440106622RR;
54;1140;950;850;        138.000;CARDBOARD;;479007637RR;
55;1450;1140;850;        196.000;CARDBOARD;;490013367RR;
56;1450;1140;850;        196.000;CARDBOARD;;490013367RR;
57;1450;1140;850;        196.000;CARDBOARD;;490019274RR;
58;1450;1140;850;        196.000;CARDBOARD;;490019274RR;
59;1450;1140;850;        196.000;CARDBOARD;;490019274RR;
60;1200;1000;1050;        132.000;WOOD;;497173911RR;
61;1140;950;640;        716.000;CARDBOARD;;6040175614R;
62;1140;950;640;        354.500;CARDBOARD;;6040192492R;
63;1140;950;640;        354.500;CARDBOARD;;6040192503R;
64;1480;1140;860;        736.455;METAL;;7700836363R;
65;1140;950;640;        107.000;CARDBOARD;;7700842589R;
66;1140;950;640;        247.250;CARDBOARD;;7701674026R;
67;1180;1140;860;        420.800;METAL;;7701709788R;
68;1140;950;640;        408.000;CARDBOARD;;791A26463RR;
69;1200;1000;345;         73.400;CARDBOARD;;806018733RR;
70;2700;1140;1462;        352.800;WOOD;;8200035764R;
71;2700;1140;1462;        352.800;WOOD;;8200035765R;
72;1180;1140;860;        668.375;METAL;;8200041358R;
73;1800;1460;600;        875.050;WOOD;;8200167926R;
74;1140;950;850;         80.000;CARDBOARD;;8200343476R;
75;1140;950;850;         80.000;CARDBOARD;;8200343476R;
76;1140;950;850;         80.000;CARDBOARD;;8200343476R;
77;1140;950;850;         80.000;CARDBOARD;;8200343476R;
78;1140;950;640;        401.600;CARDBOARD;;8200660044R;
79;1140;950;640;        536.768;CARDBOARD;;8200927687R;
80;1140;950;850;        654.000;CARDBOARD;;926000097RR;
81;1140;950;850;        654.000;CARDBOARD;;926000097RR;
82;1450;1140;640;        158.920;CARDBOARD;;488102002RR;
83;1450;1140;640;        158.920;CARDBOARD;;488102002RR;
84;1450;1140;850;        203.000;CARDBOARD;;488104415RR;
85;1450;1140;850;        203.000;CARDBOARD;;488104415RR;
86;1140;950;850;        601.920;CARDBOARD;;544032307RR;
87;1140;950;640;        318.650;CARDBOARD;;550209436RR;
88;1140;950;850;        157.840;CARDBOARD;;769230024RR;
89;1140;950;850;        157.840;CARDBOARD;;769246051RR;
90;1140;950;850;        157.504;CARDBOARD;;7700430825R;
91;1200;1000;750;        108.520;WOOD;;7700843126R;
92;1200;1000;750;        390.400;WOOD;;804305879RR;
93;1200;1000;1050;        195.060;WOOD;;806068777RR;
94;1200;1000;1050;        195.060;WOOD;;806079580RR;
95;1140;950;850;        156.580;CARDBOARD;;808321867RR;
96;1140;950;850;        156.580;CARDBOARD;;808321867RR;
97;1450;1140;640;        143.400;CARDBOARD;;8200029195R;
98;1450;1140;1460;        546.430;WOOD;;8200037396R;
99;1460;1140;1360;        734.680;WOOD;;8200041319R;
100;1450;1140;640;        708.612;CARDBOARD;;8200047009R;
101;1850;1140;1250;        158.396;WOOD;;8200082359R;
102;1850;1140;1250;        158.396;WOOD;;8200082359R;
103;1180;1140;860;        270.464;METAL;;8200215905R;
104;1180;1140;860;        270.464;METAL;;8200217213R;
105;1180;1140;860;        255.680;METAL;;8200217216R;
106;1180;1140;860;        278.064;METAL;;8200229565R;
107;1180;1140;860;       1074.900;METAL;;8200303298R;
108;1140;950;640;        425.000;CARDBOARD;;8200369521R;
109;1200;1000;750;        367.000;WOOD;;8200438263R;
110;2270;1170;1270;        189.320;METAL;;8200684156R;
111;1140;950;850;         70.800;CARDBOARD;;8200686355R;
112;1140;950;850;        109.200;CARDBOARD;;8200732310R;
113;1140;950;640;        121.850;CARDBOARD;;8200734582R;
114;1140;950;640;        121.850;CARDBOARD;;8200734582R;
115;1140;950;850;        357.840;CARDBOARD;;8200792969R;
116;2270;1170;1270;        943.149;METAL;;7703074685R;
117;2270;1170;1270;       2108.678;METAL;;7703074685R;
118;2270;1170;1270;       1196.127;METAL;;7703074685R;
119;2270;1170;1270;       1661.009;METAL;;7703074685R;
120;2270;1170;1270;       1747.491;METAL;;7703074685R;
121;1450;1140;850;         67.840;CARDBOARD;;165556262RR;
122;1450;1140;850;        203.000;CARDBOARD;;488104415RR;
123;1450;1140;850;        203.000;CARDBOARD;;488104415RR;
124;1450;1140;850;        196.000;CARDBOARD;;490013367RR;
125;1450;1140;850;        196.000;CARDBOARD;;490019274RR;
126;1450;1140;850;        196.000;CARDBOARD;;490019274RR;
127;1140;950;850;        156.580;CARDBOARD;;808321867RR;
128;2700;1140;1462;        352.800;WOOD;;8200035764R;
129;2700;1140;1462;        352.800;WOOD;;8200035765R;
130;1850;1140;1250;        158.396;WOOD;;8200082359R;
131;1140;950;850;         80.000;CARDBOARD;;8200343476R;
132;1140;950;850;         80.000;CARDBOARD;;8200343476R;
133;1140;950;850;         80.000;CARDBOARD;;8200343476R;
134;1140;950;850;         80.000;CARDBOARD;;8200343476R;
135;1140;950;850;        109.200;CARDBOARD;;8200732310R;
136;1140;950;640;        121.850;CARDBOARD;;8200734582R;
137;1140;950;740;        417.000;CARDBOARD;;8200810621R;
138;1140;950;850;         55.200;CARDBOARD;;8200896012R;
139;1450;1140;640;        415.000;CARDBOARD;;8201141294R;
140;1450;1140;640;        415.000;CARDBOARD;;8201141294R;
141;2280;1470;990;       1125.000;METAL;;8201254199R;
142;2280;1470;990;       1125.000;METAL;;8201254199R;
143;1140;950;850;        164.160;CARDBOARD;;908300023RR;
144;1140;950;850;        654.000;CARDBOARD;;926000097RR;
145;2270;1170;1270;       1998.055;METAL;;8200730770R;
146;1450;1140;850;       1133.130;CARDBOARD;;8200730770R;
147;2280;1470;990;       1178.400;METAL;;100015425RR;
148;2280;1470;990;       1178.400;METAL;;100015425RR;
149;1450;1140;850;         67.840;CARDBOARD;;165556262RR;
150;1450;1140;850;         67.840;CARDBOARD;;165556262RR;
151;1200;1000;1050;        234.000;WOOD;;172024388RR;
152;1200;1000;1050;        234.000;WOOD;;172025272RR;
153;1200;1000;750;        301.912;WOOD;;310320167RR;
154;1140;950;850;         51.707;CARDBOARD;;7700435039R;
155;1140;950;850;         51.707;CARDBOARD;;7700435039R;
156;1850;1140;1250;        158.396;WOOD;;8200082359R;
157;1850;1140;1250;        158.396;WOOD;;8200082359R;
158;1450;1140;640;        486.400;CARDBOARD;;8200550980R;
159;1140;950;850;        109.200;CARDBOARD;;8200732310R;
160;1140;950;850;        109.200;CARDBOARD;;8200732310R;
161;1140;950;850;        357.840;CARDBOARD;;8200792969R;
162;1200;1000;870;        673.000;CARDBOARD;;8201018716R;
163;1450;1140;640;        415.000;CARDBOARD;;8201141294R;
164;1450;1140;640;        415.000;CARDBOARD;;8201141294R;
165;1450;1140;640;        415.000;CARDBOARD;;8201141294R;
166;1450;1140;640;        415.000;CARDBOARD;;8201141294R;
167;1450;1140;640;        415.000;CARDBOARD;;8201141294R;
