item code;length (mm);width (mm);height (mm);weight (kg);Package material;Orientation constrained;Product;
0;1140;475;640;        225.750;CARDBOARD;;625113585RN;
1;1140;475;640;        225.750;CARDBOARD;;625113585RN;
2;1140;950;640;         73.044;CARDBOARD;;8200733825N;
3;1140;950;640;         74.132;CARDBOARD;;8200733826N;
4;1140;950;640;        118.108;CARDBOARD;;8200733829N;
5;1140;950;640;        299.000;CARDBOARD;;8200745723N;
6;1720;1140;1550;        353.760;WOOD;;8200211232N;
7;1140;950;850;        186.500;CARDBOARD;;8200412223N;
8;1140;950;640;        329.300;CARDBOARD;;8200569536N;
9;1140;950;640;        329.300;CARDBOARD;;8200569536N;
10;1140;950;640;        329.300;CARDBOARD;;8200569536N;
11;1140;950;640;        330.100;CARDBOARD;;8200569537N;
12;1140;950;640;        330.100;CARDBOARD;;8200569537N;
13;1140;475;640;        309.000;CARDBOARD;;8200571847N;
14;2280;1450;1630;        499.352;WOOD;;8200574939N;
15;1140;475;640;        215.000;CARDBOARD;;8200616821N;
16;1140;950;640;        302.600;CARDBOARD;;8200624989N;
17;1140;950;850;        126.000;CARDBOARD;;747612153RN;
18;1140;950;850;        290.900;CARDBOARD;;8200933753N;
19;1140;950;850;         64.280;CARDBOARD;;215011670RN;
20;1140;950;850;         64.280;CARDBOARD;;215011670RN;
21;1140;950;640;         77.308;CARDBOARD;;8200733830N;
22;1140;950;640;         77.308;CARDBOARD;;8200733831N;
23;2020;1300;880;        910.000;WOOD;;100013103RN;
24;2020;1300;880;        910.000;WOOD;;100013103RN;
25;2020;1300;880;        910.000;WOOD;;100013103RN;
26;2020;1300;880;        910.000;WOOD;;100013103RN;
27;2020;1300;880;        910.000;WOOD;;100013103RN;
28;2020;1300;880;        910.000;WOOD;;100013103RN;
29;1500;1140;1700;        264.576;WOOD;;791025210RN;
30;1720;1140;1550;        353.760;WOOD;;8200211232N;
31;1720;1140;1550;        353.760;WOOD;;8200211232N;
32;1720;1140;1550;        353.760;WOOD;;8200211232N;
33;1140;475;640;        119.280;CARDBOARD;;8200569508N;
34;1740;1140;640;        628.000;CARDBOARD;;8200570875N;
35;1740;1140;850;         82.198;CARDBOARD;LENGTHWISE;8200574599N;
36;1740;1140;850;         82.198;CARDBOARD;LENGTHWISE;8200574599N;
37;1740;1140;850;         82.198;CARDBOARD;LENGTHWISE;8200574599N;
38;1740;1140;850;         82.198;CARDBOARD;LENGTHWISE;8200574599N;
39;1740;1140;850;         82.198;CARDBOARD;LENGTHWISE;8200574599N;
40;1740;1140;850;         82.198;CARDBOARD;LENGTHWISE;8200574600N;
41;1740;1140;850;         82.198;CARDBOARD;LENGTHWISE;8200574600N;
42;1740;1140;850;         82.198;CARDBOARD;LENGTHWISE;8200574600N;
43;1740;1140;850;         82.198;CARDBOARD;LENGTHWISE;8200574600N;
44;1740;1140;850;         82.198;CARDBOARD;LENGTHWISE;8200574600N;
45;1740;1140;850;         82.198;CARDBOARD;LENGTHWISE;8200574600N;
46;1740;1140;850;         82.198;CARDBOARD;LENGTHWISE;8200574600N;
47;1740;1140;850;         82.198;CARDBOARD;LENGTHWISE;8200574600N;
48;1740;1140;850;         82.198;CARDBOARD;LENGTHWISE;8200574600N;
49;1140;950;640;        302.600;CARDBOARD;;8200624988N;
50;1140;950;640;        302.600;CARDBOARD;;8200624989N;
51;2270;1170;1270;       1549.710;METAL;WIDTHWISE;8200802875N;
52;2270;1170;1270;        542.880;METAL;WIDTHWISE;8200832231N;
53;1140;950;640;         74.132;CARDBOARD;;8200733826N;
54;1140;950;640;         77.308;CARDBOARD;;8200733830N;
55;1140;950;640;         77.308;CARDBOARD;;8200733830N;
56;1140;950;640;         77.308;CARDBOARD;;8200733831N;
57;1140;950;640;         77.308;CARDBOARD;;8200733831N;
58;1200;1000;1045;        116.300;CARDBOARD;;215030863RN;
59;1450;1140;1215;        272.440;WOOD;;731125493RN;
60;1450;1140;1215;        272.440;WOOD;;731125493RN;
61;1450;1140;1215;        272.440;WOOD;;731125493RN;
62;1450;1140;1215;        272.440;WOOD;;731125493RN;
63;1500;1140;1700;        264.576;WOOD;;791025210RN;
64;1720;1140;1550;        353.760;WOOD;;8200211232N;
65;1720;1140;1550;        353.760;WOOD;;8200211232N;
66;1140;475;640;        119.280;CARDBOARD;;8200569507N;
67;1140;475;640;        119.280;CARDBOARD;;8200569507N;
68;1140;475;640;        119.280;CARDBOARD;;8200569508N;
69;1140;950;640;        330.100;CARDBOARD;;8200569537N;
70;1450;1140;640;        758.000;CARDBOARD;;8200571760N;
71;1450;1140;640;        758.000;CARDBOARD;;8200571760N;
72;1450;1140;640;        758.000;CARDBOARD;;8200571761N;
73;1450;1140;640;         73.020;CARDBOARD;;8200574601N;
74;1450;1140;640;         73.020;CARDBOARD;;8200574601N;
75;1450;1140;640;         73.020;CARDBOARD;;8200574601N;
76;1450;1140;640;         73.020;CARDBOARD;;8200574601N;
77;1140;950;555;         54.290;CARDBOARD;;8200574646N;
78;1140;950;555;         54.290;CARDBOARD;;8200574646N;
79;1140;950;555;         54.290;CARDBOARD;;8200574646N;
80;1140;950;555;         54.290;CARDBOARD;;8200574646N;
81;1140;950;555;         54.290;CARDBOARD;;8200574646N;
82;1450;1140;640;         61.572;CARDBOARD;;8200574649N;
83;1450;1140;640;         61.572;CARDBOARD;;8200574649N;
84;1450;1140;640;         61.572;CARDBOARD;;8200574649N;
85;1450;1140;640;         61.572;CARDBOARD;;8200574649N;
86;1140;950;640;        302.600;CARDBOARD;;8200624988N;
87;1450;1140;835;        142.368;WOOD;;934125375RN;
88;1450;1140;835;        142.368;WOOD;;934125375RN;
89;1450;1140;835;        142.368;WOOD;;934125375RN;
90;1450;1140;835;        142.368;WOOD;;934125375RN;
91;1450;1140;835;        142.368;WOOD;;934125375RN;
92;1200;1000;295;        154.800;CARDBOARD;;119233042RN;
93;1140;950;850;        126.000;CARDBOARD;;747612153RN;
94;1200;1000;750;        116.700;WOOD;;8200492912N;
95;1200;1000;1050;         75.000;WOOD;;8200750020N;
96;1200;1000;1050;         75.000;WOOD;;8200750020N;
97;1250;1050;850;        449.500;CARDBOARD;;8200904900N;
98;2280;1450;1240;        328.848;WOOD;;801523414RN;
99;2280;1450;1265;        329.848;WOOD;;801537986RN;
100;2280;1450;1265;        329.848;WOOD;;801537986RN;
101;2280;1450;1265;        329.848;WOOD;;801537986RN;
102;1140;475;640;        119.280;CARDBOARD;;8200569507N;
103;1140;475;640;        284.900;CARDBOARD;;8200570855N;
104;1140;475;640;        284.900;CARDBOARD;;8200570855N;
105;1740;1140;850;         82.198;CARDBOARD;LENGTHWISE;8200574599N;
106;1740;1140;850;         82.198;CARDBOARD;LENGTHWISE;8200574599N;
107;1740;1140;850;         82.198;CARDBOARD;LENGTHWISE;8200574599N;
108;1740;1140;850;         82.198;CARDBOARD;LENGTHWISE;8200574599N;
109;1740;1140;850;         82.198;CARDBOARD;LENGTHWISE;8200574600N;
110;1740;1140;850;         82.198;CARDBOARD;LENGTHWISE;8200574600N;
111;2280;1450;1630;        499.352;WOOD;;8200574939N;
112;2280;1450;1630;        499.352;WOOD;;8200574939N;
113;2280;1450;1630;        499.352;WOOD;;8200574939N;
114;2280;1450;1630;        499.352;WOOD;;8200574939N;
115;2280;1450;1630;        499.352;WOOD;;8200574939N;
116;2280;1450;1630;        499.352;WOOD;;8200574939N;
