item code;length (mm);width (mm);height (mm);weight (kg);Package material;Orientation constrained;Product;
0;2280;1170;1250;        900.000;WOOD;;100016431RD;
1;2280;1170;1250;        900.000;WOOD;;100016431RD;
2;2280;1170;1250;        900.000;WOOD;;100016431RD;
3;2280;1170;1250;        900.000;WOOD;;100016845RD;
4;1200;1000;1045;        118.100;CARDBOARD;;497208771RD;
5;1200;1000;1045;        118.100;CARDBOARD;;497208771RD;
6;1740;1140;850;        623.000;CARDBOARD;;6000596144D;
7;1740;1140;850;        623.000;CARDBOARD;;6000596144D;
8;1920;1140;1470;        269.250;WOOD;;731125221RD;
9;1920;1140;1470;        269.250;WOOD;;731125221RD;
10;1920;1140;1470;        269.250;WOOD;;731127706RD;
11;1740;1140;850;        723.070;CARDBOARD;;743701509RD;
12;1740;1140;850;        319.000;CARDBOARD;;751322126RD;
13;1200;1000;1050;         61.050;WOOD;;8200798524D;
14;1140;950;850;        588.375;CARDBOARD;;8200953294D;
15;1450;1140;640;        193.884;CARDBOARD;;430004469RD;
16;1450;1140;640;        193.884;CARDBOARD;;430004469RD;
17;1450;1140;640;        193.884;CARDBOARD;;430004469RD;
18;1200;1000;1150;        383.060;CARDBOARD;;543024989RD;
19;1200;1000;1150;        383.060;CARDBOARD;;543024989RD;
20;1200;1000;1050;         72.120;WOOD;;8200210392D;
21;1740;1140;850;        115.480;CARDBOARD;;8200595794D;
22;1740;1140;850;        115.480;CARDBOARD;;8200595794D;
23;1200;1000;1050;         64.560;WOOD;;8200694498D;
24;1200;1000;1050;         60.000;WOOD;;8200694499D;
25;1140;950;850;        335.540;CARDBOARD;;8200738633D;
26;1200;1000;1050;         82.500;WOOD;;8200848949D;
27;1200;1000;1050;         82.500;WOOD;;8200848950D;
28;1140;950;850;         70.910;CARDBOARD;;8200889766D;
29;1140;950;850;        816.500;CARDBOARD;;432000978RD;
30;1140;950;850;        816.500;CARDBOARD;;432000978RD;
31;1200;1000;1045;        118.100;CARDBOARD;;497208771RD;
32;1200;1000;1045;        118.100;CARDBOARD;;497208771RD;
33;1200;1000;1045;        118.100;CARDBOARD;;497208771RD;
34;1140;950;850;        288.500;CARDBOARD;;545011727RD;
35;1450;1140;850;        219.700;CARDBOARD;LENGTHWISE;555116962RD;
36;1450;1140;850;        173.800;CARDBOARD;LENGTHWISE;648608130RD;
37;1450;1140;850;        356.100;CARDBOARD;LENGTHWISE;751331465RD;
38;1140;950;850;        189.350;CARDBOARD;;765314838RD;
39;1140;950;850;        169.300;CARDBOARD;;8200733126D;
40;1140;950;640;         74.500;CARDBOARD;;8200733152D;
41;1140;950;640;         74.500;CARDBOARD;;8200733152D;
42;1180;1140;660;        118.800;METAL;;8200735038D;
43;1180;1140;660;        118.800;METAL;;8200735038D;
44;1180;1140;660;        118.800;METAL;;8200735038D;
45;1180;1140;660;        118.800;METAL;;8200735038D;
46;1180;1140;660;        118.800;METAL;;8200735038D;
47;1180;1140;660;        118.800;METAL;;8200735038D;
48;1180;1140;660;        118.800;METAL;;8200735039D;
49;1180;1140;660;        118.800;METAL;;8200735039D;
50;1180;1140;660;        118.800;METAL;;8200735039D;
51;1180;1140;660;        118.800;METAL;;8200735039D;
52;1180;1140;660;        118.800;METAL;;8200735039D;
53;1180;1140;660;        118.800;METAL;;8200735039D;
54;1180;1140;660;        118.800;METAL;;8200735039D;
55;1140;950;640;         65.200;CARDBOARD;;8200760257D;
56;1140;950;850;         86.100;CARDBOARD;;8200765566D;
57;1140;950;850;         86.100;CARDBOARD;;8200765566D;
58;1140;950;850;        152.300;CARDBOARD;;8200869036D;
59;1140;950;850;        594.900;CARDBOARD;;402006048RD;
60;1140;950;850;        594.900;CARDBOARD;;402006048RD;
61;1140;950;850;        594.900;CARDBOARD;;402006048RD;
62;1140;950;850;        594.900;CARDBOARD;;402008719RD;
63;1140;950;850;        594.900;CARDBOARD;;402008719RD;
64;1140;950;850;        594.900;CARDBOARD;;402008719RD;
65;1140;950;850;        594.900;CARDBOARD;;402008719RD;
66;1450;1140;640;        193.884;CARDBOARD;;430004469RD;
67;1450;1140;640;        193.884;CARDBOARD;;430004469RD;
68;1450;1140;640;        193.884;CARDBOARD;;430004469RD;
69;1450;1140;640;        193.884;CARDBOARD;;430004469RD;
70;1450;1140;640;        193.884;CARDBOARD;;430004469RD;
71;1450;1140;640;        193.884;CARDBOARD;;430004469RD;
72;1450;1140;640;        193.884;CARDBOARD;;430004469RD;
73;1450;1140;640;        193.884;CARDBOARD;;430004469RD;
74;1450;1140;640;        193.884;CARDBOARD;;430004469RD;
75;1450;1140;640;        193.884;CARDBOARD;;430004469RD;
76;1450;1140;640;        193.884;CARDBOARD;;430004469RD;
77;1450;1140;640;        193.884;CARDBOARD;;430004469RD;
78;1450;1140;640;        193.884;CARDBOARD;;430004469RD;
79;1450;1140;640;        193.884;CARDBOARD;;430004469RD;
80;1450;1140;640;        193.884;CARDBOARD;;430004469RD;
81;1140;950;850;        755.604;CARDBOARD;;432001316RD;
82;1140;950;850;        755.604;CARDBOARD;;432001316RD;
83;1200;1000;750;         71.400;WOOD;;8200273993D;
84;1140;950;850;        594.500;CARDBOARD;;8200383178D;
85;1140;950;850;        377.300;CARDBOARD;;8200390904D;
86;1450;1140;640;         59.964;CARDBOARD;;8200739462D;
87;1140;950;850;        569.600;CARDBOARD;;8200750133D;
88;1450;1140;640;        274.140;CARDBOARD;;8200751640D;
89;1140;950;640;        180.500;CARDBOARD;;8200930544D;
90;1140;950;640;        180.500;CARDBOARD;;8200930544D;
91;1140;950;850;        322.175;CARDBOARD;;934B10525RD;
92;1140;950;640;        251.380;CARDBOARD;;112224729RD;
93;1140;950;850;        594.900;CARDBOARD;;402005537RD;
94;1200;1000;1045;        118.100;CARDBOARD;;497208771RD;
95;1200;1000;1045;        118.100;CARDBOARD;;497208771RD;
96;1200;1000;1045;        118.100;CARDBOARD;;497208771RD;
97;1200;1000;1045;        118.100;CARDBOARD;;497208771RD;
98;1740;1140;850;        967.000;CARDBOARD;;743207103RD;
99;1140;475;640;        207.500;CARDBOARD;WIDTHWISE;743526367RD;
100;1740;1140;850;        723.070;CARDBOARD;;743701509RD;
101;1140;950;850;        904.250;CARDBOARD;;751822802RD;
102;1140;950;850;        904.250;CARDBOARD;;751822802RD;
103;1140;950;640;        441.160;CARDBOARD;;8200284944D;
104;1200;1000;1050;         81.000;WOOD;;8200372693D;
105;1140;950;850;        116.500;CARDBOARD;;8200732368D;
106;1140;950;640;         94.100;CARDBOARD;;8200733161D;
107;1180;1140;660;        118.800;METAL;;8200735038D;
108;1180;1140;660;        118.800;METAL;;8200735038D;
109;1180;1140;660;        118.800;METAL;;8200735039D;
110;1180;1140;660;        118.800;METAL;;8200735039D;
111;1180;1140;660;        118.800;METAL;;8200735039D;
112;1850;1550;850;        115.000;CARDBOARD;;8200847830D;
113;1180;1140;660;        142.740;METAL;;214100598RD;
114;1180;1140;660;        142.740;METAL;;214100598RD;
115;1180;1140;660;        142.740;METAL;;214100598RD;
116;1140;950;850;        594.900;CARDBOARD;;402008719RD;
117;1450;1140;640;        193.884;CARDBOARD;;430004469RD;
118;1450;1140;640;        193.884;CARDBOARD;;430004469RD;
119;1140;950;850;        755.604;CARDBOARD;;432001316RD;
120;1140;950;850;        755.604;CARDBOARD;;432001316RD;
121;1140;950;850;        288.500;CARDBOARD;;545004529RD;
122;1740;1140;850;        744.490;CARDBOARD;;743709613RD;
123;1450;1140;640;        235.150;CARDBOARD;;765161009RD;
124;1140;950;640;        444.000;CARDBOARD;;8200212787D;
125;1450;1140;640;        325.500;CARDBOARD;;8200295126D;
126;1140;950;640;        300.500;CARDBOARD;;8200415004D;
127;1140;475;640;        194.000;CARDBOARD;WIDTHWISE;8200569520D;
128;1450;1140;640;        421.500;CARDBOARD;;8200574964D;
129;1140;475;640;        263.600;CARDBOARD;WIDTHWISE;8200617475D;
130;1140;950;850;        205.700;CARDBOARD;;8200667372D;
131;1140;950;640;        521.500;CARDBOARD;;8200727745D;
132;1140;950;640;        521.500;CARDBOARD;;8200727745D;
133;1140;950;640;        521.500;CARDBOARD;;8200727745D;
134;1140;950;640;        521.500;CARDBOARD;;8200727746D;
135;1140;950;640;        521.500;CARDBOARD;;8200727746D;
136;1140;950;640;        521.500;CARDBOARD;;8200727746D;
137;1140;950;850;        335.540;CARDBOARD;;8200738633D;
138;1140;950;850;        335.540;CARDBOARD;;8200738634D;
139;1140;950;850;        335.540;CARDBOARD;;8200738634D;
140;1140;950;850;        335.540;CARDBOARD;;8200738634D;
141;1140;950;640;        954.900;CARDBOARD;;8200841898D;
142;1180;1140;860;        203.600;METAL;;7703072337D;
143;1180;1140;860;        434.870;METAL;;7703602282D;
144;1140;950;850;        594.900;CARDBOARD;;402005537RD;
145;1140;950;850;        288.500;CARDBOARD;;545011727RD;
146;1740;1140;850;        623.000;CARDBOARD;;6000596144D;
147;1740;1140;850;        623.000;CARDBOARD;;6000596144D;
148;1140;950;850;        202.196;CARDBOARD;;688300538RD;
149;1140;950;850;        202.196;CARDBOARD;;688300538RD;
150;1920;1140;1470;        269.250;WOOD;;731125221RD;
151;1140;475;640;        207.500;CARDBOARD;WIDTHWISE;743526367RD;
152;1140;475;640;        207.500;CARDBOARD;WIDTHWISE;743526367RD;
153;1140;950;850;        904.250;CARDBOARD;;751822802RD;
154;1140;950;640;         74.500;CARDBOARD;;8200733155D;
155;1140;950;640;         74.500;CARDBOARD;;8200733155D;
156;1140;950;640;         94.100;CARDBOARD;;8200733161D;
157;1140;950;640;         94.100;CARDBOARD;;8200733161D;
158;1140;950;850;        187.670;CARDBOARD;;8200733174D;
159;1140;950;850;        187.670;CARDBOARD;;8200733174D;
160;1140;950;850;         86.100;CARDBOARD;;8200765566D;
161;1140;950;850;         86.100;CARDBOARD;;8200765566D;
162;1140;950;850;         86.100;CARDBOARD;;8200765566D;
163;1140;950;850;         86.100;CARDBOARD;;8200765566D;
164;1140;950;850;         86.100;CARDBOARD;;8200765566D;
165;1140;950;850;         86.100;CARDBOARD;;8200765566D;
166;1140;950;850;         86.100;CARDBOARD;;8200765566D;
167;1450;1140;640;        193.884;CARDBOARD;;430004469RD;
168;1450;1140;640;        193.884;CARDBOARD;;430004469RD;
169;1450;1140;640;        193.884;CARDBOARD;;430004469RD;
170;1450;1140;640;        193.884;CARDBOARD;;430004469RD;
171;1450;1140;640;        193.884;CARDBOARD;;430004469RD;
172;1450;1140;640;        193.884;CARDBOARD;;430004469RD;
173;1450;1140;640;        193.884;CARDBOARD;;430004469RD;
174;1450;1140;640;        193.884;CARDBOARD;;430004469RD;
175;1450;1140;640;        193.884;CARDBOARD;;430004469RD;
176;1450;1140;640;        193.884;CARDBOARD;;430004469RD;
177;1450;1140;640;        193.884;CARDBOARD;;430004469RD;
178;1200;1000;1150;        383.060;CARDBOARD;;543024989RD;
179;1140;950;850;        288.500;CARDBOARD;;545004529RD;
180;1140;950;850;        611.300;CARDBOARD;;6040221349D;
181;1140;950;850;        611.300;CARDBOARD;;6040221350D;
182;1140;475;640;        198.000;CARDBOARD;WIDTHWISE;8200396826D;
