item code;length (mm);width (mm);height (mm);weight (kg);Package material;Orientation constrained;Product;
0;2270;1170;1270;       1195.000;METAL;;8201188632R;
1;2270;1170;1270;       1195.000;METAL;;8201188632R;
2;2270;1170;1270;       1195.000;METAL;;8201188632R;
3;2270;1170;1270;       1195.000;METAL;;8201188632R;
4;2270;1170;1270;       1195.000;METAL;;8201188632R;
5;2270;1170;1270;       1195.000;METAL;;8201188632R;
6;2270;1170;1270;       1195.000;METAL;;8201188632R;
7;2270;1170;1270;       1195.000;METAL;;8201188632R;
8;2270;1170;1270;       1195.000;METAL;;8201188632R;
9;2270;1170;1270;       1195.000;METAL;;8201188632R;
10;2270;1170;1270;       1195.000;METAL;;8201188632R;
11;2270;1170;1270;       1195.000;METAL;;8201188632R;
12;2270;1170;1270;       1195.000;METAL;;8201188632R;
13;2270;1170;1270;       1195.000;METAL;;8201188632R;
14;2270;1170;1270;       1195.000;METAL;;8201188632R;
15;2270;1170;1270;       1195.000;METAL;;8201188632R;
16;2270;1170;1270;       1195.000;METAL;;8201188632R;
17;1140;950;640;         48.848;CARDBOARD;;217100014RR;
18;1140;950;640;         48.848;CARDBOARD;;217100014RR;
19;1140;950;640;         48.848;CARDBOARD;;217100014RR;
20;1140;950;640;         48.848;CARDBOARD;;217100014RR;
21;1140;950;850;         53.040;CARDBOARD;;242300002RR;
22;1180;1140;860;        336.500;METAL;;544000011RR;
23;1180;1140;860;        336.500;METAL;;544000017RR;
24;1140;950;850;         66.360;CARDBOARD;;8200792661R;
25;1140;950;640;         80.000;CARDBOARD;;8201047770R;
26;2270;1170;1270;       1195.000;METAL;;8201163725R;
27;2270;1170;1270;       1195.000;METAL;;8201163725R;
28;2270;1170;1270;       1195.000;METAL;;8201188927R;
29;2270;1170;1270;       1195.000;METAL;;8201188927R;
30;2270;1170;1270;       1195.000;METAL;;8201188927R;
31;2270;1170;1270;       1195.000;METAL;;8201188927R;
32;2270;1170;1270;       1195.000;METAL;;8201188927R;
