item code;length (mm);width (mm);height (mm);weight (kg);Package material;Orientation constrained;Product;
0;1140;950;640;        486.700;CARDBOARD;;112381035RC;
1;1180;1140;860;        127.562;METAL;;214107326RC;
2;1180;1140;860;        127.562;METAL;;214107326RC;
3;1180;1140;860;        127.562;METAL;;214107326RC;
4;1180;1140;860;        127.562;METAL;;214107326RC;
5;1180;1140;860;        127.562;METAL;;214107326RC;
6;1180;1140;860;        127.562;METAL;;214107326RC;
7;1180;1140;860;        127.562;METAL;;214107326RC;
8;1180;1140;860;        127.562;METAL;;214107326RC;
9;1180;1140;860;        127.562;METAL;;214107326RC;
10;1180;1140;860;        127.562;METAL;;214107326RC;
11;1180;1140;860;        127.562;METAL;;214107326RC;
12;1180;1140;860;        127.562;METAL;;214107326RC;
13;1180;1140;860;        127.562;METAL;;214107326RC;
14;1180;1140;860;        127.562;METAL;;214107326RC;
15;1180;1140;860;        127.562;METAL;;214107326RC;
16;1180;1140;860;        127.562;METAL;;214107326RC;
17;1180;1140;860;        127.562;METAL;;214107326RC;
18;1180;1140;860;        127.562;METAL;;214107326RC;
19;1180;1140;860;        127.562;METAL;;214107326RC;
20;1180;1140;860;        127.562;METAL;;214107326RC;
21;1180;1140;860;        127.562;METAL;;214107326RC;
22;1180;1140;860;        127.562;METAL;;214107326RC;
23;1200;1000;1150;        119.800;WOOD;;223218193RC;
24;1140;950;850;        166.700;CARDBOARD;;260422277RC;
25;1140;950;850;        166.700;CARDBOARD;;260924984RC;
26;1200;1000;1145;        121.100;CARDBOARD;;261500097RC;
27;1300;1200;1340;        333.640;WOOD;;403003277RC;
28;1200;1000;1050;        426.000;WOOD;;464003741RC;
29;1140;950;850;        275.800;CARDBOARD;;543020952RC;
30;1140;950;850;        275.800;CARDBOARD;;543024260RC;
31;1140;950;850;        275.800;CARDBOARD;;543024260RC;
32;1140;950;850;        275.800;CARDBOARD;;543025333RC;
33;1200;1000;1150;        115.800;WOOD;;687608041RC;
34;1140;950;850;        456.500;CARDBOARD;;732332147RC;
35;1140;950;640;        442.000;CARDBOARD;;732569268RC;
36;1180;1140;860;       1118.300;METAL;;751822802RC;
37;1140;950;850;         46.060;CARDBOARD;;769346057RC;
38;1140;950;850;        486.452;CARDBOARD;;804207876RC;
39;1140;950;640;        213.460;CARDBOARD;;806019745RC;
40;1140;950;640;        213.460;CARDBOARD;;806019745RC;
41;1200;1000;1150;        115.800;WOOD;;8200817791C;
42;1140;950;850;        152.300;CARDBOARD;;8200869036C;
43;1180;1140;660;        249.840;METAL;;888506476RC;
44;1180;1140;660;        249.840;METAL;;888506476RC;
45;1180;1140;660;        249.840;METAL;;888506476RC;
46;1180;1140;860;        127.562;METAL;;214107326RC;
47;1320;1160;1360;        159.000;WOOD;;248102757RC;
48;1450;1140;640;         41.160;CARDBOARD;;668113292RC;
49;1450;1140;640;         41.160;CARDBOARD;;668113292RC;
50;1450;1140;640;         41.160;CARDBOARD;;668113292RC;
51;1450;1140;640;         41.160;CARDBOARD;;668113292RC;
52;1450;1140;640;         41.160;CARDBOARD;;668113292RC;
53;1450;1140;640;         41.160;CARDBOARD;;668113292RC;
54;1450;1140;640;         41.160;CARDBOARD;;668113292RC;
55;1450;1140;640;         41.160;CARDBOARD;;668113292RC;
56;1450;1140;640;         41.160;CARDBOARD;;668113292RC;
57;1450;1140;640;         41.160;CARDBOARD;;668113292RC;
58;1450;1140;640;         41.160;CARDBOARD;;668113292RC;
59;1450;1140;640;         41.160;CARDBOARD;;668113292RC;
60;1450;1140;850;         37.555;CARDBOARD;LENGTHWISE;679001362RC;
61;1200;1000;1150;        115.800;WOOD;;687608041RC;
62;1180;1140;660;        376.500;METAL;;743545868RC;
63;1180;1140;660;        376.500;METAL;;743545868RC;
64;1180;1140;660;        376.500;METAL;;743545868RC;
65;1180;1140;860;       1118.300;METAL;;751822802RC;
66;1180;1140;860;       1118.300;METAL;;751822802RC;
67;1450;1140;850;        502.880;CARDBOARD;LENGTHWISE;752107840RC;
68;1450;1140;850;        502.880;CARDBOARD;LENGTHWISE;752107840RC;
69;1450;1140;850;        502.880;CARDBOARD;LENGTHWISE;752107840RC;
70;1450;1140;850;        502.880;CARDBOARD;LENGTHWISE;752107840RC;
71;1450;1140;1580;        111.536;WOOD;;760323611RC;
72;1450;1140;1580;        111.536;WOOD;;760323611RC;
73;1450;1140;1580;        111.536;WOOD;;760331725RC;
74;1450;1140;1580;        111.536;WOOD;;760331725RC;
75;1450;1140;1580;        111.536;WOOD;;760331725RC;
76;1200;1000;1050;         81.000;WOOD;;8200372692C;
77;1180;1140;660;        303.840;METAL;;868845555RC;
78;1180;1140;660;        303.840;METAL;;868845555RC;
79;1180;1140;660;        303.840;METAL;;868845555RC;
80;1180;1140;660;        241.632;METAL;;888416959RC;
81;1180;1140;660;        249.840;METAL;;888506476RC;
82;1180;1140;660;        249.840;METAL;;888506476RC;
83;1200;1000;1145;         77.000;CARDBOARD;;924409817RC;
84;1450;1140;640;         73.500;CARDBOARD;;963023731RC;
85;1450;1140;640;         73.500;CARDBOARD;;963023731RC;
86;1450;1140;640;         73.500;CARDBOARD;;963023731RC;
87;1140;950;850;         95.060;CARDBOARD;;214816812RC;
88;1140;950;850;         95.060;CARDBOARD;;214816812RC;
89;1140;950;850;         95.060;CARDBOARD;;214816812RC;
90;1140;950;850;        166.700;CARDBOARD;;260422277RC;
91;1140;950;850;         60.500;CARDBOARD;;260608494RC;
92;1140;950;850;         62.900;CARDBOARD;;265554085RC;
93;1140;950;850;         62.900;CARDBOARD;;265554085RC;
94;1140;950;640;         32.380;CARDBOARD;;278708786RC;
95;1140;950;640;        239.700;CARDBOARD;;364005982RC;
96;1140;950;640;        239.700;CARDBOARD;;364005982RC;
97;1140;950;850;        430.100;CARDBOARD;;391011434RC;
98;1140;950;850;        208.500;CARDBOARD;;465014380RC;
99;1140;950;850;        275.800;CARDBOARD;;543020952RC;
100;1140;950;850;        594.875;CARDBOARD;;562106313RC;
101;1140;950;640;         48.500;CARDBOARD;;620729362RC;
102;1140;950;640;         48.500;CARDBOARD;;620729362RC;
103;1140;950;640;         48.500;CARDBOARD;;620729362RC;
104;1140;950;640;         48.500;CARDBOARD;;620729362RC;
105;1140;950;850;         43.742;CARDBOARD;;622544633RC;
106;1140;950;850;         43.742;CARDBOARD;;622544633RC;
107;1140;950;850;         43.742;CARDBOARD;;622544633RC;
108;1140;950;850;         43.742;CARDBOARD;;622544633RC;
109;1140;950;850;         43.742;CARDBOARD;;622544633RC;
110;1140;950;640;        630.900;CARDBOARD;;641963769RC;
111;1140;950;640;        630.900;CARDBOARD;;641963769RC;
112;1140;475;640;         22.400;CARDBOARD;WIDTHWISE;682408103RC;
113;1920;1140;1470;        247.028;WOOD;;731125786RC;
114;1140;950;640;        616.750;CARDBOARD;;732109256RC;
115;1140;475;640;        279.050;CARDBOARD;WIDTHWISE;745613055RC;
116;1140;950;850;        405.380;CARDBOARD;;764413927RC;
117;1140;950;850;        405.380;CARDBOARD;;764413927RC;
118;1140;950;850;        655.850;CARDBOARD;;764540612RC;
119;1140;950;640;        101.230;CARDBOARD;;768603998RC;
120;1140;475;640;         20.800;CARDBOARD;WIDTHWISE;769117516RC;
121;1140;475;640;         20.800;CARDBOARD;WIDTHWISE;769117516RC;
122;1140;475;640;         20.800;CARDBOARD;WIDTHWISE;769117516RC;
123;1140;475;640;         20.800;CARDBOARD;WIDTHWISE;769117516RC;
124;1140;475;640;         20.800;CARDBOARD;WIDTHWISE;769124132RC;
125;1140;475;640;         20.800;CARDBOARD;WIDTHWISE;769124132RC;
126;1140;475;640;         20.800;CARDBOARD;WIDTHWISE;769124132RC;
127;1140;475;640;         21.980;CARDBOARD;WIDTHWISE;769131666RC;
128;1140;475;640;         21.980;CARDBOARD;WIDTHWISE;769131666RC;
129;1140;475;640;         21.980;CARDBOARD;WIDTHWISE;769131666RC;
130;1140;475;640;         21.980;CARDBOARD;WIDTHWISE;769142765RC;
131;1140;475;640;         21.980;CARDBOARD;WIDTHWISE;769142765RC;
132;1140;475;640;         21.980;CARDBOARD;WIDTHWISE;769142765RC;
133;1140;475;640;         21.980;CARDBOARD;WIDTHWISE;769142765RC;
134;1140;950;850;         39.060;CARDBOARD;;769158968RC;
135;1140;950;850;         39.060;CARDBOARD;;769158968RC;
136;1140;950;850;         39.060;CARDBOARD;;769158968RC;
137;1140;950;850;         39.060;CARDBOARD;;769163634RC;
138;1140;950;850;         39.060;CARDBOARD;;769163634RC;
139;1140;950;850;         39.060;CARDBOARD;;769163634RC;
140;1140;950;850;         46.060;CARDBOARD;;769346057RC;
141;1140;950;850;         46.060;CARDBOARD;;769346057RC;
142;1140;950;850;         46.060;CARDBOARD;;769357750RC;
143;1140;950;850;         46.060;CARDBOARD;;769357750RC;
144;1140;475;640;        577.040;CARDBOARD;WIDTHWISE;781715055RC;
145;1140;475;640;        272.000;CARDBOARD;WIDTHWISE;794303894RC;
146;1140;950;850;        641.000;CARDBOARD;;801436774RC;
147;1140;475;640;        335.000;CARDBOARD;WIDTHWISE;801B07832RC;
148;1140;950;850;        486.452;CARDBOARD;;804207876RC;
149;1140;950;640;        213.460;CARDBOARD;;806019745RC;
