item code;length (mm);width (mm);height (mm);weight (kg);Package material;Orientation constrained;Product;
0;2280;1470;990;       1193.500;METAL;;100017072RT;
1;1720;1140;1260;        256.220;CARDBOARD;;214819617RT;
2;1720;1140;1260;        256.220;CARDBOARD;;214819617RT;
3;1720;1140;1260;        256.220;CARDBOARD;;214819617RT;
4;1720;1140;1260;        256.220;CARDBOARD;;214819617RT;
5;1720;1140;1260;        256.220;CARDBOARD;;214819617RT;
6;1720;1140;1260;        256.220;CARDBOARD;;214819617RT;
7;1720;1140;1260;        256.220;CARDBOARD;;214819617RT;
8;1720;1140;1260;        256.220;CARDBOARD;;214819617RT;
9;1720;1140;1260;        256.220;CARDBOARD;;214819617RT;
10;1200;1000;1050;        172.500;WOOD;;223216007RT;
11;1200;1000;1050;        115.800;WOOD;;648944029RT;
12;1140;950;640;        216.340;CARDBOARD;;806014257RT;
13;1140;950;640;        216.340;CARDBOARD;;806014257RT;
14;1140;950;640;        216.340;CARDBOARD;;806014522RT;
15;1450;1140;640;         62.040;CARDBOARD;;8200756961T;
16;1450;1140;640;         62.040;CARDBOARD;;8200756961T;
17;1450;1140;640;         62.040;CARDBOARD;;8200756961T;
18;1450;1140;640;         62.040;CARDBOARD;;8200756961T;
19;1450;1140;640;         62.040;CARDBOARD;;8200756961T;
20;1450;1140;640;        127.900;CARDBOARD;;921006454RT;
21;1450;1140;640;        127.900;CARDBOARD;;921006454RT;
22;1450;1140;640;        127.900;CARDBOARD;;921006454RT;
23;2270;1170;1270;        625.300;METAL;WIDTHWISE;112531966RT;
24;2270;1170;1270;       1108.440;METAL;WIDTHWISE;805030711RT;
25;2270;1170;1270;        582.120;METAL;WIDTHWISE;805034470RT;
26;1140;950;640;        398.500;CARDBOARD;;641004035RT;
27;2270;1170;1270;       1123.200;METAL;WIDTHWISE;8200380965T;
28;1180;1140;860;        127.562;METAL;;214107326RT;
29;1180;1140;860;        127.562;METAL;;214107326RT;
30;1140;475;640;         51.800;CARDBOARD;WIDTHWISE;223675328RT;
31;1140;475;640;         51.800;CARDBOARD;WIDTHWISE;223675328RT;
32;1200;1000;750;         64.800;WOOD;;308512100RT;
33;1140;950;850;        708.380;CARDBOARD;;410004658RT;
34;1140;950;850;        708.380;CARDBOARD;;410107518RT;
35;1140;950;850;        708.380;CARDBOARD;;410107518RT;
36;1140;950;850;        708.380;CARDBOARD;;410107518RT;
37;1140;950;640;        598.000;CARDBOARD;;432007320RT;
38;1140;950;640;        598.000;CARDBOARD;;432007320RT;
39;1140;950;640;        598.000;CARDBOARD;;432007320RT;
40;1140;950;640;        598.000;CARDBOARD;;432007320RT;
41;1140;950;640;        598.000;CARDBOARD;;432007320RT;
42;1140;950;640;        598.000;CARDBOARD;;432007320RT;
43;1140;950;640;        598.000;CARDBOARD;;432007320RT;
44;1140;950;640;        598.000;CARDBOARD;;432007320RT;
45;1140;950;640;        598.000;CARDBOARD;;432007320RT;
46;1140;950;850;        181.300;CARDBOARD;;465016578RT;
47;1140;950;850;        181.300;CARDBOARD;;465016578RT;
48;1140;950;850;        181.300;CARDBOARD;;465016578RT;
