item code;length (mm);width (mm);height (mm);weight (kg);Package material;Orientation constrained;Product;
0;1450;1140;640;        730.000;CARDBOARD;;112842287RO;
1;1140;950;850;        381.240;CARDBOARD;;440003647RO;
2;1000;850;800;        621.900;WOOD;;6040002963O;
3;1000;850;800;        621.900;WOOD;;6040002963O;
4;1000;850;800;        621.900;WOOD;;6040002963O;
5;1000;850;800;        621.900;WOOD;;6040002967O;
6;1000;850;800;        621.900;WOOD;;6040002967O;
7;1000;850;800;        621.900;WOOD;;6040002967O;
8;1000;850;800;        621.900;WOOD;;6040002967O;
9;1000;850;800;        621.900;WOOD;;6040002967O;
10;1000;850;800;        621.900;WOOD;;6040002967O;
11;1000;850;800;        621.900;WOOD;;6040002967O;
12;1000;850;800;        621.900;WOOD;;6040002967O;
13;1140;950;850;        594.000;CARDBOARD;;751096374RO;
14;1140;950;850;        594.000;CARDBOARD;;751096374RO;
15;1450;1140;640;        730.000;CARDBOARD;;112842287RO;
16;1450;1140;640;        730.000;CARDBOARD;;112842287RO;
17;1450;1140;640;        730.000;CARDBOARD;;112842287RO;
18;1450;1140;640;        730.000;CARDBOARD;;112842287RO;
19;1450;1140;640;        730.000;CARDBOARD;;112842287RO;
20;1140;950;850;        381.240;CARDBOARD;;440003647RO;
21;1140;950;850;        381.240;CARDBOARD;;440003647RO;
22;1140;950;850;        381.240;CARDBOARD;;440003647RO;
23;1140;950;850;        381.240;CARDBOARD;;440003647RO;
24;1140;950;850;        381.240;CARDBOARD;;440003647RO;
25;1140;950;850;        381.240;CARDBOARD;;440003647RO;
26;1140;950;850;        381.240;CARDBOARD;;440003647RO;
27;1140;950;850;        381.240;CARDBOARD;;440003647RO;
28;1140;950;850;        381.240;CARDBOARD;;440106789RO;
29;1140;950;850;        381.240;CARDBOARD;;440106789RO;
30;1140;950;850;        381.240;CARDBOARD;;440106789RO;
31;1140;950;850;        381.240;CARDBOARD;;440106789RO;
32;1140;950;850;        381.240;CARDBOARD;;440106789RO;
33;1140;950;850;        381.240;CARDBOARD;;440106789RO;
34;1140;950;850;        381.240;CARDBOARD;;440106789RO;
35;1140;950;850;        381.240;CARDBOARD;;440106789RO;
36;1140;950;640;        412.280;CARDBOARD;;551103020RO;
37;1140;950;640;        412.280;CARDBOARD;;551103020RO;
38;1140;950;640;        412.280;CARDBOARD;;551103020RO;
39;1140;950;640;        412.280;CARDBOARD;;551103020RO;
40;1140;950;640;        412.280;CARDBOARD;;551103020RO;
41;1140;950;640;        412.280;CARDBOARD;;551103020RO;
42;1000;850;800;        621.900;WOOD;;6040002963O;
43;1000;850;800;        621.900;WOOD;;6040002967O;
44;1140;950;850;        645.500;CARDBOARD;;6040192096O;
45;1140;950;850;        645.500;CARDBOARD;;6040192096O;
46;1140;950;850;        645.500;CARDBOARD;;6040192096O;
47;1140;950;850;        594.000;CARDBOARD;;751096374RO;
48;1140;950;850;        594.000;CARDBOARD;;751096374RO;
49;1140;950;850;        512.000;CARDBOARD;;8200215962O;
50;1140;950;850;        512.000;CARDBOARD;;8200215962O;
51;1140;950;850;        512.000;CARDBOARD;;8200215962O;
52;1140;950;640;        340.000;CARDBOARD;;8200760202O;
53;1140;950;640;        340.000;CARDBOARD;;8200760202O;
54;1140;950;640;        340.000;CARDBOARD;;8200760202O;
55;1140;950;555;        252.820;CARDBOARD;;479703074RO;
56;1450;1140;640;        730.000;CARDBOARD;;112842287RO;
57;1450;1140;640;        730.000;CARDBOARD;;112842287RO;
58;1450;1140;640;        730.000;CARDBOARD;;112842287RO;
59;1140;950;850;        381.240;CARDBOARD;;440003647RO;
60;1140;950;850;        381.240;CARDBOARD;;440003647RO;
61;1140;950;850;        381.240;CARDBOARD;;440003647RO;
62;1450;1140;640;        730.000;CARDBOARD;;112842287RO;
63;1450;1140;640;        730.000;CARDBOARD;;112842287RO;
64;1450;1140;640;        730.000;CARDBOARD;;112842287RO;
65;1450;1140;640;        730.000;CARDBOARD;;112842287RO;
66;1450;1140;640;        730.000;CARDBOARD;;112842287RO;
67;1140;950;850;        381.240;CARDBOARD;;440106789RO;
68;1140;950;640;        412.280;CARDBOARD;;551103020RO;
69;1140;950;640;        412.280;CARDBOARD;;551103020RO;
70;1140;950;640;        412.280;CARDBOARD;;551103020RO;
71;1140;950;640;        412.280;CARDBOARD;;551103020RO;
72;1000;850;800;        621.900;WOOD;;6040002963O;
73;1000;850;800;        621.900;WOOD;;6040002963O;
74;1000;850;800;        621.900;WOOD;;6040002963O;
75;1000;850;800;        621.900;WOOD;;6040002963O;
76;1000;850;800;        621.900;WOOD;;6040002963O;
77;1000;850;800;        621.900;WOOD;;6040002963O;
78;1000;850;800;        621.900;WOOD;;6040002963O;
79;1000;850;800;        621.900;WOOD;;6040002963O;
80;1000;850;800;        621.900;WOOD;;6040002963O;
81;1000;850;800;        621.900;WOOD;;6040002963O;
82;1000;850;800;        621.900;WOOD;;6040002963O;
83;1000;850;800;        621.900;WOOD;;6040002963O;
84;1000;850;800;        621.900;WOOD;;6040002967O;
85;1000;850;800;        621.900;WOOD;;6040002967O;
86;1000;850;800;        621.900;WOOD;;6040002967O;
87;1000;850;800;        621.900;WOOD;;6040002967O;
88;1000;850;800;        621.900;WOOD;;6040002967O;
89;1000;850;800;        621.900;WOOD;;6040002967O;
90;1000;850;800;        621.900;WOOD;;6040002967O;
91;1000;850;800;        621.900;WOOD;;6040002967O;
92;1000;850;800;        621.900;WOOD;;6040002967O;
