item code;length (mm);width (mm);height (mm);weight (kg);Package material;Orientation constrained;Product;
0;1740;1140;850;         56.500;CARDBOARD;;829A08652RZ;
1;1740;1140;850;         56.500;CARDBOARD;;829A08652RZ;
2;1740;1140;850;         56.500;CARDBOARD;;829A08652RZ;
3;1740;1140;850;         56.500;CARDBOARD;;829A08652RZ;
4;1450;1140;640;        189.000;CARDBOARD;;849507781RZ;
5;1450;1140;640;        189.000;CARDBOARD;;849514739RZ;
6;1140;950;640;         29.900;CARDBOARD;;849514775RZ;
7;1140;950;640;         29.900;CARDBOARD;;849514775RZ;
8;1140;950;640;         29.900;CARDBOARD;;849514775RZ;
9;1140;950;640;         29.900;CARDBOARD;;849514775RZ;
10;1140;950;640;         29.900;CARDBOARD;;849514775RZ;
11;1815;1140;670;         38.510;CARDBOARD;;850100184RZ;
12;1815;1140;670;         38.510;CARDBOARD;;850100184RZ;
13;1815;1140;670;         38.510;CARDBOARD;;850101792RZ;
14;1815;1140;670;         38.510;CARDBOARD;;850101792RZ;
15;1815;1140;670;         38.510;CARDBOARD;;850101792RZ;
16;1815;1140;670;         38.510;CARDBOARD;;850101792RZ;
17;1815;1140;670;         38.510;CARDBOARD;;850101792RZ;
18;1815;1140;670;         38.510;CARDBOARD;;850101792RZ;
19;1815;1140;670;         38.510;CARDBOARD;;850101792RZ;
20;1815;1140;670;         38.510;CARDBOARD;;850101792RZ;
21;1815;1140;670;         38.510;CARDBOARD;;850101792RZ;
22;1815;1140;670;         38.510;CARDBOARD;;850101792RZ;
23;1815;1140;670;         38.510;CARDBOARD;;850101792RZ;
24;1815;1140;670;         38.510;CARDBOARD;;850101792RZ;
25;1815;1140;670;         38.510;CARDBOARD;;850101792RZ;
26;1815;1140;670;         38.510;CARDBOARD;;850101792RZ;
27;1815;1140;670;         38.510;CARDBOARD;;850101792RZ;
28;1815;1140;670;         38.510;CARDBOARD;;850101792RZ;
29;1815;1140;670;         38.510;CARDBOARD;;850101792RZ;
30;1815;1140;670;         38.510;CARDBOARD;;850101792RZ;
31;1815;1140;670;         38.510;CARDBOARD;;850101792RZ;
32;1815;1140;670;         38.510;CARDBOARD;;850101792RZ;
33;1815;1140;670;         38.510;CARDBOARD;;850101792RZ;
34;1815;1140;670;         38.510;CARDBOARD;;850101792RZ;
35;1815;1140;670;         38.510;CARDBOARD;;850103707RZ;
36;1815;1140;670;         38.510;CARDBOARD;;850103707RZ;
37;1815;1140;670;         38.510;CARDBOARD;;850103707RZ;
38;1815;1140;670;         38.510;CARDBOARD;;850103707RZ;
39;1815;1140;670;         38.510;CARDBOARD;;850103707RZ;
40;1140;950;640;        186.320;CARDBOARD;;868845555RZ;
41;1140;950;640;        186.320;CARDBOARD;;868857909RZ;
42;1140;950;640;        137.600;CARDBOARD;;888416959RZ;
43;1140;950;640;        137.600;CARDBOARD;;888416959RZ;
44;1140;950;640;         36.500;CARDBOARD;;969107157RZ;
45;1140;950;640;         36.500;CARDBOARD;;969107157RZ;
46;1140;950;640;         36.500;CARDBOARD;;969107157RZ;
47;1140;950;640;         36.500;CARDBOARD;;969107157RZ;
48;1140;950;640;         36.500;CARDBOARD;;969107157RZ;
49;1450;1140;850;         48.460;CARDBOARD;LENGTHWISE;681009833RZ;
