item code;length (mm);width (mm);height (mm);weight (kg);Package material;Orientation constrained;Product;
0;1140;950;850;        192.000;CARDBOARD;;260427218RA;
1;1140;950;850;        690.640;CARDBOARD;;391009882RA;
2;1140;950;850;        715.600;CARDBOARD;;391017275RA;
3;1370;1150;1110;        442.000;WOOD;;403002241RA;
4;1370;1150;1110;        442.000;WOOD;;403002241RA;
5;1370;1150;1110;        442.000;WOOD;;403002241RA;
6;1370;1150;1110;        442.000;WOOD;;403002241RA;
7;1370;1150;1110;        442.000;WOOD;;403002241RA;
8;1370;1150;1110;        442.000;WOOD;;403002241RA;
9;1370;1150;1110;        442.000;WOOD;;403002241RA;
10;1370;1150;1110;        442.000;WOOD;;403002241RA;
11;1370;1150;1110;        442.000;WOOD;;403002241RA;
12;1370;1150;1110;        442.000;WOOD;;403002241RA;
13;1370;1150;1110;        442.000;WOOD;;403002241RA;
14;1370;1150;1110;        442.000;WOOD;;403002241RA;
15;1370;1150;1110;        442.000;WOOD;;403002241RA;
16;1370;1150;1110;        442.000;WOOD;;403002241RA;
17;1370;1150;1110;        442.000;WOOD;;403002241RA;
18;1370;1150;1110;        442.000;WOOD;;403002241RA;
19;2270;1170;1270;        681.600;METAL;WIDTHWISE;544010119RA;
20;1180;1140;860;        276.800;METAL;;544C48921RA;
21;1180;1140;860;        291.200;METAL;;625205718RA;
22;1140;475;640;        264.000;CARDBOARD;WIDTHWISE;631400038RA;
23;1140;475;640;        288.560;CARDBOARD;WIDTHWISE;676009336RA;
24;2270;1170;1270;       1264.040;METAL;WIDTHWISE;745140030RA;
25;1140;475;640;        321.800;CARDBOARD;WIDTHWISE;755253251RA;
26;1140;475;640;        134.000;CARDBOARD;WIDTHWISE;759480700RA;
27;1140;475;640;        638.000;CARDBOARD;WIDTHWISE;763925098RA;
28;1140;475;640;        248.000;CARDBOARD;WIDTHWISE;767147204RA;
29;1140;475;640;        274.000;CARDBOARD;WIDTHWISE;767C10001RA;
30;1180;1140;860;        509.000;METAL;;8200467040A;
31;1180;1140;860;        616.000;METAL;;8200665529A;
32;1180;1140;860;        308.600;METAL;;8200733140A;
33;1180;1140;860;        180.800;METAL;;8200739450A;
34;1140;950;850;        168.000;CARDBOARD;;8200760256A;
35;1140;950;640;        156.800;CARDBOARD;;8200814828A;
36;1140;950;640;        156.800;CARDBOARD;;8200814830A;
37;1140;950;640;        156.800;CARDBOARD;;8200814830A;
38;1480;1140;860;        190.900;METAL;;8200823418A;
39;1140;475;640;        236.000;CARDBOARD;WIDTHWISE;821547179RA;
40;1140;475;640;        236.000;CARDBOARD;WIDTHWISE;821556011RA;
41;1140;950;850;        126.000;CARDBOARD;;828201118RA;
