item code;length (mm);width (mm);height (mm);weight (kg);Package material;Orientation constrained;Product;
0;1140;950;640;        380.000;CARDBOARD;;8200303290V;
1;1140;950;640;        380.000;CARDBOARD;;8200303290V;
2;1140;950;640;        380.000;CARDBOARD;;8200303290V;
3;1140;950;640;        380.000;CARDBOARD;;8200303290V;
4;1140;950;640;        380.000;CARDBOARD;;8200303290V;
5;1140;950;640;        380.000;CARDBOARD;;8200303290V;
6;1140;950;850;         63.820;CARDBOARD;;8200517765V;
7;1140;950;850;         63.820;CARDBOARD;;8200517765V;
8;1200;1000;1050;        116.400;WOOD;;8200673687V;
9;1200;1000;1050;         64.800;WOOD;;8200694498V;
10;2270;1170;1270;        903.440;METAL;WIDTHWISE;8200295186V;
11;2270;1170;1270;        439.940;METAL;WIDTHWISE;8200295186V;
12;2270;1170;1270;        488.880;METAL;WIDTHWISE;8200295186V;
13;2270;1170;1270;        435.320;METAL;WIDTHWISE;8200295186V;
14;2270;1170;1270;        435.320;METAL;WIDTHWISE;8200295186V;
15;2270;1170;1270;        958.450;METAL;WIDTHWISE;8200295186V;
16;2270;1170;1270;       2415.870;METAL;WIDTHWISE;8200295186V;
17;2270;1170;1270;       1185.680;METAL;WIDTHWISE;8200295186V;
18;2270;1170;1270;       1154.300;METAL;WIDTHWISE;8200295186V;
19;2270;1170;1270;       1739.820;METAL;WIDTHWISE;8200295186V;
20;2270;1170;1270;        602.800;METAL;WIDTHWISE;8200295186V;
21;2270;1170;1270;       2092.340;METAL;WIDTHWISE;8200295186V;
22;2270;1170;1270;        993.600;METAL;WIDTHWISE;8200295186V;
23;2270;1170;1270;       1470.960;METAL;WIDTHWISE;8200295186V;
24;2270;1170;1270;       1575.050;METAL;WIDTHWISE;8200295186V;
25;1140;950;640;        190.420;CARDBOARD;;8200295186V;
26;1180;1140;860;        161.600;METAL;;265501454RV;
27;1180;1140;860;        161.600;METAL;;265501454RV;
28;1180;1140;860;        161.600;METAL;;265501454RV;
