item code;length (mm);width (mm);height (mm);weight (kg);Package material;Orientation constrained;Product;
0;1140;950;850;        196.510;CARDBOARD;;402009135RR;
1;1140;950;850;        196.510;CARDBOARD;;402009135RR;
2;1140;950;850;        196.510;CARDBOARD;;402009135RR;
3;1140;950;850;        196.510;CARDBOARD;;402009135RR;
4;1140;950;850;        196.510;CARDBOARD;;402009135RR;
5;1140;950;850;        196.510;CARDBOARD;;402009135RR;
6;1140;950;850;        196.510;CARDBOARD;;402009135RR;
7;1140;950;850;        196.510;CARDBOARD;;402009135RR;
8;1140;950;850;        196.510;CARDBOARD;;402009135RR;
9;1140;950;850;        196.510;CARDBOARD;;402009135RR;
10;1140;950;850;        196.510;CARDBOARD;;402009135RR;
11;1140;950;850;        196.510;CARDBOARD;;402009135RR;
12;1140;950;850;        196.510;CARDBOARD;;402009135RR;
13;1140;950;850;        196.510;CARDBOARD;;402009135RR;
14;1200;1000;1045;         88.000;CARDBOARD;;460915817RR;
15;1200;1000;1045;         88.000;CARDBOARD;;460915817RR;
16;1200;1000;1050;        540.000;WOOD;;476608845RR;
17;1450;1140;850;        183.000;CARDBOARD;;488104216RR;
18;1450;1140;850;        183.000;CARDBOARD;;488104216RR;
19;1450;1140;850;        183.000;CARDBOARD;;488104216RR;
20;1450;1140;850;        183.000;CARDBOARD;;488104216RR;
21;1450;1140;850;        183.000;CARDBOARD;;488104216RR;
22;1450;1140;850;        183.000;CARDBOARD;;488104216RR;
23;1450;1140;850;        183.000;CARDBOARD;;488104216RR;
24;1450;1140;850;        183.000;CARDBOARD;;488104216RR;
25;1450;1140;850;        183.000;CARDBOARD;;488104216RR;
26;1450;1140;850;        179.500;CARDBOARD;;488104969RR;
27;1450;1140;850;        179.500;CARDBOARD;;488104969RR;
28;1450;1140;850;        179.500;CARDBOARD;;488104969RR;
29;1450;1140;850;        179.500;CARDBOARD;;488104969RR;
30;1450;1140;850;        179.500;CARDBOARD;;488104969RR;
31;1450;1140;850;        179.500;CARDBOARD;;488104969RR;
32;1450;1140;850;        196.000;CARDBOARD;;490018048RR;
33;1450;1140;850;        196.000;CARDBOARD;;490018048RR;
34;1450;1140;850;        196.000;CARDBOARD;;490018048RR;
35;1450;1140;850;        196.000;CARDBOARD;;490018048RR;
36;1450;1140;850;        196.000;CARDBOARD;;490018048RR;
37;1450;1140;850;        196.000;CARDBOARD;;490018048RR;
38;1450;1140;850;        196.000;CARDBOARD;;490018048RR;
39;1450;1140;850;        196.000;CARDBOARD;;490018048RR;
40;1450;1140;850;        196.000;CARDBOARD;;490018048RR;
41;1450;1140;850;        196.000;CARDBOARD;;490018048RR;
42;1450;1140;850;        196.000;CARDBOARD;;490018048RR;
43;1140;950;850;        203.200;CARDBOARD;;491103919RR;
44;1140;950;850;        203.200;CARDBOARD;;491103919RR;
45;1140;950;850;        203.200;CARDBOARD;;491103919RR;
46;1140;950;850;        203.200;CARDBOARD;;491103919RR;
47;1140;950;850;        203.200;CARDBOARD;;491103919RR;
48;1140;950;850;        203.200;CARDBOARD;;491103919RR;
49;1140;950;850;        203.200;CARDBOARD;;491103919RR;
50;1140;950;850;        203.200;CARDBOARD;;491103919RR;
51;1450;1140;640;         28.500;CARDBOARD;;540502745RR;
52;1140;950;640;        277.931;CARDBOARD;;550202720RR;
53;1200;1000;745;        412.000;CARDBOARD;;55419JD60CR;
54;1140;950;640;        623.750;CARDBOARD;;6040166904R;
55;1200;1000;745;        214.000;CARDBOARD;;806015881RR;
56;1140;475;640;        447.840;CARDBOARD;;8200281654R;
57;1140;475;640;        433.936;CARDBOARD;;8200281656R;
58;1140;475;640;        362.000;CARDBOARD;;8200812134R;
59;1200;1000;1045;        127.840;CARDBOARD;;164001149RR;
60;2280;950;320;         52.420;CARDBOARD;;175061869RR;
61;1200;1000;750;         81.700;WOOD;;308508123RR;
62;1200;1200;895;        114.000;CARDBOARD;;308511810RR;
63;1140;950;850;        196.510;CARDBOARD;;402009135RR;
64;1140;950;850;        196.510;CARDBOARD;;402009135RR;
65;1140;950;850;        196.510;CARDBOARD;;402009135RR;
66;1140;950;850;        196.510;CARDBOARD;;402009135RR;
67;1140;950;850;        196.510;CARDBOARD;;402009135RR;
68;1140;950;850;        196.510;CARDBOARD;;402009135RR;
69;1140;950;850;        196.510;CARDBOARD;;402009135RR;
70;1450;1140;850;        196.000;CARDBOARD;;490018048RR;
71;1450;1140;850;        196.000;CARDBOARD;;490018048RR;
72;1450;1140;850;        196.000;CARDBOARD;;490018048RR;
73;1450;1140;850;        196.000;CARDBOARD;;490018048RR;
74;1450;1140;850;        196.000;CARDBOARD;;490018048RR;
75;1450;1140;850;        196.000;CARDBOARD;;490018048RR;
76;1450;1140;850;        196.000;CARDBOARD;;490018048RR;
77;1450;1140;850;        196.000;CARDBOARD;;490018048RR;
78;1450;1140;850;        196.000;CARDBOARD;;490018048RR;
79;1140;950;850;        203.200;CARDBOARD;;491103919RR;
80;1140;950;850;        203.200;CARDBOARD;;491103919RR;
81;1140;950;850;        203.200;CARDBOARD;;491103919RR;
82;1140;950;850;        203.200;CARDBOARD;;491103919RR;
83;1140;950;850;        203.200;CARDBOARD;;491103919RR;
84;1140;950;850;        203.200;CARDBOARD;;491103919RR;
85;1140;950;850;        203.200;CARDBOARD;;491103919RR;
86;1140;950;850;        203.200;CARDBOARD;;491103919RR;
87;1450;1140;640;         28.500;CARDBOARD;;540502745RR;
88;1450;1140;640;         81.000;CARDBOARD;;731861489RR;
89;1450;1140;640;         63.500;CARDBOARD;;731865727RR;
90;1450;1140;640;         52.000;CARDBOARD;;738823726RR;
91;1450;1140;640;         52.000;CARDBOARD;;738838603RR;
92;1140;950;640;         61.328;CARDBOARD;;905463597RR;
93;1200;1000;645;         52.000;CARDBOARD;;963740208RR;
94;1450;1140;850;         60.000;CARDBOARD;;969351067RR;
95;1450;1140;640;        234.362;CARDBOARD;;8200454482R;
96;1200;1000;1045;        127.840;CARDBOARD;;164001149RR;
97;1200;1000;1045;        127.840;CARDBOARD;;164001149RR;
98;1200;1000;1045;        127.840;CARDBOARD;;164001149RR;
99;1200;1000;1045;        127.840;CARDBOARD;;164001149RR;
100;1200;1000;1045;        127.840;CARDBOARD;;164001149RR;
101;1200;1000;1045;        127.840;CARDBOARD;;164001149RR;
102;1200;1000;1045;        127.840;CARDBOARD;;164001149RR;
103;1200;1000;1045;        127.840;CARDBOARD;;164001149RR;
104;1200;1000;1045;        127.840;CARDBOARD;;164002091RR;
105;1200;1000;1045;        127.840;CARDBOARD;;164002091RR;
106;2280;950;320;         52.420;CARDBOARD;;175061869RR;
107;2280;950;320;         52.420;CARDBOARD;;175061869RR;
108;2280;950;320;         52.420;CARDBOARD;;175061869RR;
109;2280;950;320;         52.420;CARDBOARD;;175061869RR;
110;2280;950;320;         52.420;CARDBOARD;;175061869RR;
111;2280;950;320;         52.420;CARDBOARD;;175061869RR;
112;2280;950;320;         52.420;CARDBOARD;;175061869RR;
113;2280;950;320;         52.420;CARDBOARD;;175061869RR;
114;2280;950;320;         52.420;CARDBOARD;;175061869RR;
115;2280;950;320;         52.420;CARDBOARD;;175061869RR;
116;2280;950;320;         52.420;CARDBOARD;;175061869RR;
117;2280;950;320;         52.420;CARDBOARD;;175061869RR;
118;2280;950;320;         52.420;CARDBOARD;;175061869RR;
119;2280;950;320;         52.420;CARDBOARD;;175061869RR;
120;2280;950;320;         52.420;CARDBOARD;;175061869RR;
121;2280;950;320;         52.420;CARDBOARD;;175061869RR;
122;2280;950;320;         52.420;CARDBOARD;;175061869RR;
123;2280;950;320;         52.420;CARDBOARD;;175061869RR;
124;2280;950;320;         52.420;CARDBOARD;;175061869RR;
125;2280;950;320;         52.420;CARDBOARD;;175061869RR;
126;2280;950;320;         52.420;CARDBOARD;;175061869RR;
127;1140;950;640;        150.900;CARDBOARD;;200286806RR;
128;1200;1200;895;        114.000;CARDBOARD;;308511810RR;
129;1200;1200;895;        114.000;CARDBOARD;;308511810RR;
130;1140;950;850;        196.510;CARDBOARD;;402009135RR;
131;1140;950;850;        196.510;CARDBOARD;;402009135RR;
132;1140;950;850;        196.510;CARDBOARD;;402009135RR;
133;1140;950;850;        196.510;CARDBOARD;;402009135RR;
134;1140;950;850;        196.510;CARDBOARD;;402009135RR;
135;1450;1140;850;        605.710;CARDBOARD;;540418433RR;
136;1450;1140;850;        628.642;CARDBOARD;;641224602RR;
137;1740;1140;850;        212.350;CARDBOARD;;738200815RR;
138;1740;1140;850;        212.350;CARDBOARD;;738200815RR;
139;1740;1140;850;        212.350;CARDBOARD;;738200815RR;
140;1740;1140;850;        212.350;CARDBOARD;;738200815RR;
141;1740;1140;850;        212.350;CARDBOARD;;738200815RR;
142;1740;1140;850;        212.350;CARDBOARD;;738200815RR;
143;1740;1140;850;        212.350;CARDBOARD;;738200815RR;
144;1740;1140;850;        212.350;CARDBOARD;;738200815RR;
145;1740;1140;850;        212.350;CARDBOARD;;738211027RR;
146;1740;1140;850;        212.350;CARDBOARD;;738211027RR;
147;1740;1140;850;        212.350;CARDBOARD;;738211027RR;
148;1140;950;850;        282.000;CARDBOARD;;112100627RR;
149;1140;950;850;        282.000;CARDBOARD;;112100627RR;
150;1140;950;850;        282.000;CARDBOARD;;112100627RR;
151;1140;950;850;        282.000;CARDBOARD;;112100627RR;
152;1140;950;850;        282.000;CARDBOARD;;112100627RR;
153;1140;950;850;        282.000;CARDBOARD;;112100627RR;
154;1140;950;850;        282.000;CARDBOARD;;112100627RR;
155;1140;950;850;        282.000;CARDBOARD;;112100627RR;
156;1200;1000;1045;        127.840;CARDBOARD;;164001149RR;
157;1200;1000;1045;        127.840;CARDBOARD;;164001149RR;
158;1200;1000;1045;        127.840;CARDBOARD;;164001149RR;
159;1200;1000;750;        145.000;WOOD;;172285546RR;
160;1140;950;850;         48.000;CARDBOARD;;175751FE0BR;
161;1140;950;850;         49.542;CARDBOARD;;175B14760RR;
162;1140;950;850;         49.542;CARDBOARD;;175B14760RR;
163;1140;950;850;         49.542;CARDBOARD;;175B14760RR;
164;1140;950;850;         49.542;CARDBOARD;;175B14760RR;
165;1140;475;640;        356.000;CARDBOARD;;200280018RR;
166;1140;950;640;        150.900;CARDBOARD;;200286806RR;
167;1140;950;640;        255.872;CARDBOARD;;200600032RR;
168;1180;1140;1090;        521.000;METAL;;208020785RR;
169;1140;950;850;         61.400;CARDBOARD;;217107259RR;
170;1140;950;850;         61.400;CARDBOARD;;217107259RR;
171;1140;950;850;         61.400;CARDBOARD;;217107259RR;
172;1140;950;850;         61.400;CARDBOARD;;217107259RR;
173;1200;1000;545;        184.200;CARDBOARD;;237104454RR;
174;1200;1000;445;        100.000;CARDBOARD;;255522448RR;
175;1200;1000;1045;        108.400;CARDBOARD;;255672316RR;
176;1200;1000;1045;        108.400;CARDBOARD;;255679157RR;
177;1200;1000;1045;        108.400;CARDBOARD;;255679157RR;
178;1200;1000;1045;        108.400;CARDBOARD;;255679326RR;
179;1200;1000;1045;        108.400;CARDBOARD;;255679326RR;
180;1200;1000;1045;        108.400;CARDBOARD;;255679326RR;
181;1200;1000;1045;        108.400;CARDBOARD;;255679605RR;
182;1200;1000;1045;        108.400;CARDBOARD;;255679605RR;
183;1140;950;640;        101.900;CARDBOARD;;287102467RR;
184;1140;950;640;        101.900;CARDBOARD;;287102467RR;
185;1140;950;640;        101.900;CARDBOARD;;287102467RR;
186;1140;950;640;        101.900;CARDBOARD;;287102467RR;
187;1140;950;640;        101.900;CARDBOARD;;287102467RR;
188;1450;1140;850;        168.000;CARDBOARD;;341080304RR;
189;1450;1140;850;        168.000;CARDBOARD;;341080304RR;
190;1450;1140;850;        168.000;CARDBOARD;;341080304RR;
191;1450;1140;850;        140.000;CARDBOARD;;341088375RR;
192;1450;1140;850;        217.000;CARDBOARD;;349011400RR;
193;1140;950;850;        196.510;CARDBOARD;;402009135RR;
194;1140;950;850;        196.510;CARDBOARD;;402009135RR;
195;1140;950;850;        196.510;CARDBOARD;;402009135RR;
196;1140;950;850;        196.510;CARDBOARD;;402009135RR;
197;1140;950;850;        196.510;CARDBOARD;;402009135RR;
198;1140;950;850;        196.510;CARDBOARD;;402009135RR;
199;1450;1140;850;        183.000;CARDBOARD;;488104216RR;
200;1200;1000;345;         73.000;CARDBOARD;;489707934RR;
201;1140;950;640;        812.000;CARDBOARD;;6040100903R;
202;1140;950;640;        812.000;CARDBOARD;;6040100903R;
203;1140;950;640;        812.000;CARDBOARD;;6040100903R;
204;1140;950;640;        812.000;CARDBOARD;;6040100903R;
205;1140;950;640;        812.000;CARDBOARD;;6040100903R;
