item code;length (mm);width (mm);height (mm);weight (kg);Package material;Orientation constrained;Product;
0;1140;950;850;         75.000;CARDBOARD;;144600661RU;
1;1140;950;850;         75.000;CARDBOARD;;144600661RU;
2;1140;950;850;         75.000;CARDBOARD;;144600661RU;
3;1140;950;850;         75.000;CARDBOARD;;144600661RU;
4;1140;950;850;         75.000;CARDBOARD;;144600661RU;
5;1140;950;850;         83.760;CARDBOARD;;144965154RU;
6;1140;950;850;         83.760;CARDBOARD;;144965154RU;
7;1140;950;850;         83.760;CARDBOARD;;144965154RU;
8;1140;950;850;         83.760;CARDBOARD;;144965154RU;
9;1140;950;850;         83.760;CARDBOARD;;144965154RU;
10;1140;950;850;         83.760;CARDBOARD;;144965154RU;
11;1140;950;850;         83.760;CARDBOARD;;144965154RU;
12;1140;950;850;         83.760;CARDBOARD;;144965154RU;
13;1140;950;850;         83.760;CARDBOARD;;144965154RU;
14;1140;950;850;         83.760;CARDBOARD;;144965154RU;
15;1140;950;850;         83.760;CARDBOARD;;144965154RU;
16;1140;950;850;         83.760;CARDBOARD;;144965154RU;
17;1200;1000;1045;        178.000;CARDBOARD;;165753131RU;
18;1200;1000;1045;        178.000;CARDBOARD;;165753131RU;
19;1140;950;640;         52.000;CARDBOARD;;260602162RU;
20;1140;950;640;         52.000;CARDBOARD;;260602162RU;
21;1140;950;640;         52.000;CARDBOARD;;260602162RU;
22;1140;950;640;         52.000;CARDBOARD;;260602162RU;
23;1140;950;640;         52.000;CARDBOARD;;260602162RU;
24;1140;950;640;         52.000;CARDBOARD;;260602162RU;
25;1140;950;640;         52.000;CARDBOARD;;260602162RU;
26;1140;950;640;         52.000;CARDBOARD;;260602162RU;
27;1140;950;640;         52.000;CARDBOARD;;260602162RU;
28;1140;950;640;         52.000;CARDBOARD;;260602162RU;
29;1140;950;640;         52.000;CARDBOARD;;260602162RU;
30;1140;950;640;         52.000;CARDBOARD;;260602162RU;
31;1140;950;640;         52.000;CARDBOARD;;260602162RU;
32;1140;950;640;         52.000;CARDBOARD;;260602162RU;
33;1140;950;640;         52.000;CARDBOARD;;260602162RU;
34;1140;950;640;         52.000;CARDBOARD;;260602162RU;
35;1140;950;640;         52.000;CARDBOARD;;260602162RU;
36;1140;950;640;         52.000;CARDBOARD;;260602162RU;
37;1140;950;640;         52.000;CARDBOARD;;260602162RU;
38;1140;950;640;         52.000;CARDBOARD;;260602162RU;
39;1140;950;640;         52.000;CARDBOARD;;260602162RU;
40;1140;950;640;         52.000;CARDBOARD;;260602162RU;
41;1140;950;640;         52.000;CARDBOARD;;260602162RU;
42;1140;950;640;         52.000;CARDBOARD;;260602162RU;
43;1140;950;640;         52.000;CARDBOARD;;260602162RU;
44;1140;950;640;         52.000;CARDBOARD;;260602162RU;
45;1140;950;640;         52.000;CARDBOARD;;260602162RU;
46;1140;950;640;         52.000;CARDBOARD;;260602162RU;
47;1140;950;640;         52.000;CARDBOARD;;260602162RU;
48;1140;950;640;         52.000;CARDBOARD;;260602162RU;
49;1450;1140;850;        399.250;CARDBOARD;LENGTHWISE;751114133RU;
50;1450;1140;850;        399.250;CARDBOARD;LENGTHWISE;751114133RU;
51;1450;1140;850;        562.240;CARDBOARD;LENGTHWISE;752107840RU;
52;1450;1140;850;        562.240;CARDBOARD;LENGTHWISE;752107840RU;
53;1140;475;640;         89.900;CARDBOARD;WIDTHWISE;929A25746RU;
54;2270;1170;1270;        841.610;METAL;WIDTHWISE;825701579RU;
55;1140;950;640;         52.000;CARDBOARD;;260602162RU;
56;1140;950;640;         52.000;CARDBOARD;;260602162RU;
57;1140;950;640;         52.000;CARDBOARD;;260602162RU;
58;1140;950;640;         52.000;CARDBOARD;;260602162RU;
59;1140;950;640;         52.000;CARDBOARD;;260602162RU;
60;1140;950;640;         52.000;CARDBOARD;;260602162RU;
