item code;length (mm);width (mm);height (mm);weight (kg);Package material;Orientation constrained;Product;
0;2270;1170;1270;        982.000;METAL;;100010383RK;
1;2270;1170;1270;        982.000;METAL;;100010383RK;
2;2270;1170;1270;        982.000;METAL;;100010383RK;
3;2270;1170;1270;        982.000;METAL;;100010383RK;
4;2270;1170;1270;        982.000;METAL;;100010383RK;
5;2270;1170;1270;        982.000;METAL;;100010383RK;
6;2270;1170;1270;        982.000;METAL;;100010383RK;
7;2270;1170;1270;        982.000;METAL;;100010383RK;
8;2270;1170;1270;        982.000;METAL;;100010383RK;
9;2270;1170;1270;        982.000;METAL;;100010383RK;
10;2270;1170;1270;        982.000;METAL;;100010383RK;
11;2270;1170;1270;        982.000;METAL;;100010383RK;
12;2270;1170;1270;        982.000;METAL;;100010383RK;
13;2270;1170;1270;        982.000;METAL;;100010383RK;
14;2270;1170;1270;        982.000;METAL;;100010383RK;
15;2270;1170;1270;        982.000;METAL;;100010383RK;
16;2270;1170;1270;        982.000;METAL;;100010383RK;
17;2270;1170;1270;        982.000;METAL;;100010383RK;
18;2270;1170;1270;        987.800;METAL;;100019997RK;
19;2270;1170;1270;        805.300;METAL;WIDTHWISE;8201013040K;
20;2270;1170;1270;        982.000;METAL;;100010383RK;
21;2270;1170;1270;        982.000;METAL;;100010383RK;
22;2270;1170;1270;        982.000;METAL;;100010383RK;
23;2270;1170;1270;        982.000;METAL;;100010383RK;
24;2270;1170;1270;        982.000;METAL;;100010383RK;
25;2270;1170;1270;        982.000;METAL;;100010383RK;
26;2270;1170;1270;        982.000;METAL;;100010383RK;
27;2270;1170;1270;        982.000;METAL;;100010383RK;
28;2270;1170;1270;        982.000;METAL;;100010383RK;
29;2270;1170;1270;        982.000;METAL;;100010383RK;
30;2270;1170;1270;        982.000;METAL;;100010383RK;
31;2270;1170;1270;        982.000;METAL;;100010383RK;
32;2270;1170;1270;        982.000;METAL;;100010383RK;
33;2270;1170;1270;        982.000;METAL;;100010383RK;
34;2270;1170;1270;        982.000;METAL;;100010383RK;
35;2294;1484;1140;       1023.000;CARDBOARD;;100010817RK;
36;2270;1170;1270;       1042.000;METAL;;100013559RK;
37;2294;1484;1140;       1023.000;CARDBOARD;;100015489RK;
38;2270;1170;1270;        987.800;METAL;;100019997RK;
39;2270;1170;1270;        987.800;METAL;;100019997RK;
40;600;400;300;         11.000;CARDBOARD;;172964572RK;
41;2270;1170;1270;        982.000;METAL;;100010383RK;
42;2270;1170;1270;        982.000;METAL;;100010383RK;
43;2270;1170;1270;        982.000;METAL;;100010383RK;
44;2270;1170;1270;        982.000;METAL;;100010383RK;
45;2270;1170;1270;        982.000;METAL;;100010383RK;
46;2270;1170;1270;        982.000;METAL;;100010383RK;
47;2270;1170;1270;        982.000;METAL;;100010383RK;
48;2270;1170;1270;        982.000;METAL;;100010383RK;
49;2270;1170;1270;        982.000;METAL;;100010383RK;
50;2294;1484;1140;       1023.000;CARDBOARD;;100010817RK;
51;2294;1484;1140;       1023.000;CARDBOARD;;100010817RK;
52;2270;1170;1270;       1042.000;METAL;;100013559RK;
53;2270;1170;1270;       1042.000;METAL;;100013559RK;
54;2270;1170;1270;        987.800;METAL;;100019997RK;
55;2270;1170;1270;        987.800;METAL;;100019997RK;
56;1140;950;850;        142.100;CARDBOARD;;403155090RK;
57;1200;1000;400;        302.300;CARDBOARD;;7703002772K;
58;600;400;300;          9.400;CARDBOARD;;8200034907K;
59;600;400;300;          9.400;CARDBOARD;;8200034907K;
60;600;400;300;         14.800;CARDBOARD;;8200043899K;
61;600;400;300;          9.400;CARDBOARD;;8200079983K;
62;600;400;300;          9.400;CARDBOARD;;8200079983K;
63;600;400;300;          9.400;CARDBOARD;;8200079983K;
64;600;400;300;          9.400;CARDBOARD;;8200079983K;
65;1140;950;850;        234.800;CARDBOARD;;8200309487K;
66;1140;950;850;        234.800;CARDBOARD;;8200309487K;
67;1140;950;850;        234.800;CARDBOARD;;8200309487K;
68;1140;950;850;        234.800;CARDBOARD;;8200309487K;
69;1140;950;850;        234.800;CARDBOARD;;8200309487K;
70;1140;950;850;        242.000;CARDBOARD;;8200859243K;
71;1140;950;640;        228.500;CARDBOARD;;8201095687K;
72;1140;950;850;        404.900;CARDBOARD;;844002517RK;
73;2270;1170;1270;        864.300;METAL;WIDTHWISE;7703035048K;
74;2270;1170;1270;        982.000;METAL;;100010383RK;
75;2270;1170;1270;        982.000;METAL;;100010383RK;
76;2270;1170;1270;        982.000;METAL;;100010383RK;
77;2270;1170;1270;        982.000;METAL;;100010383RK;
78;2270;1170;1270;        982.000;METAL;;100010383RK;
79;2270;1170;1270;        982.000;METAL;;100010383RK;
80;2270;1170;1270;        982.000;METAL;;100010383RK;
81;2270;1170;1270;        982.000;METAL;;100010383RK;
82;2270;1170;1270;        982.000;METAL;;100010383RK;
83;2270;1170;1270;        982.000;METAL;;100010383RK;
84;2270;1170;1270;        982.000;METAL;;100010383RK;
85;2270;1170;1270;        982.000;METAL;;100010383RK;
86;2270;1170;1270;        982.000;METAL;;100010383RK;
87;1140;950;850;        329.300;CARDBOARD;;641303261RK;
88;1140;475;640;        562.400;CARDBOARD;WIDTHWISE;759436246RK;
