item code;length (mm);width (mm);height (mm);weight (kg);Package material;Orientation constrained;Product;
0;1140;950;850;        267.600;CARDBOARD;;112101351RR;
1;1140;950;850;        267.600;CARDBOARD;;112101351RR;
2;1140;950;850;        267.600;CARDBOARD;;112101351RR;
3;1140;950;850;        317.600;CARDBOARD;;112228932RR;
4;1140;950;850;        317.600;CARDBOARD;;112228932RR;
5;1140;950;850;         61.400;CARDBOARD;;217107259RR;
6;1140;950;850;         61.400;CARDBOARD;;217107259RR;
7;1140;950;850;         61.400;CARDBOARD;;217107259RR;
8;1140;950;850;         61.400;CARDBOARD;;217107259RR;
9;1140;950;740;        101.640;CARDBOARD;;287105483RR;
10;1140;950;740;        101.640;CARDBOARD;;287105483RR;
11;1140;950;740;        101.640;CARDBOARD;;287105483RR;
12;1140;950;740;        101.640;CARDBOARD;;287105483RR;
13;1140;950;740;        101.640;CARDBOARD;;287105483RR;
14;1140;950;740;        101.640;CARDBOARD;;287105483RR;
15;1140;950;740;        101.640;CARDBOARD;;287105483RR;
16;1140;950;740;        101.640;CARDBOARD;;287105483RR;
17;1140;950;740;        101.640;CARDBOARD;;287105483RR;
18;1140;950;740;        101.640;CARDBOARD;;287105483RR;
19;1140;950;740;        101.640;CARDBOARD;;287105483RR;
20;1140;950;740;        101.640;CARDBOARD;;287105483RR;
21;1140;950;740;        101.640;CARDBOARD;;287105483RR;
22;1140;950;640;         72.360;CARDBOARD;;287807006RR;
23;1140;950;640;         72.360;CARDBOARD;;287807006RR;
24;1140;950;640;         72.360;CARDBOARD;;287807006RR;
25;1140;950;640;         72.360;CARDBOARD;;287807006RR;
26;1140;950;640;         40.000;CARDBOARD;;308517047RR;
27;1140;950;850;         60.000;CARDBOARD;;341041220RR;
28;1140;950;850;        390.660;CARDBOARD;;391007857RR;
29;1140;475;640;        310.000;CARDBOARD;;755826742RR;
30;1140;475;640;        310.000;CARDBOARD;;755826742RR;
31;1140;475;640;        310.000;CARDBOARD;;755826742RR;
32;1140;475;640;        310.000;CARDBOARD;;755826742RR;
33;2280;950;640;        622.004;WOOD;;764122472RR;
34;2280;950;640;        646.160;WOOD;;764299162RR;
35;1200;1200;895;        213.000;CARDBOARD;;7700795347R;
36;1200;1000;750;        308.200;WOOD;;8200025937R;
37;1140;950;850;        355.280;CARDBOARD;;8200225362R;
38;1140;950;850;        355.280;CARDBOARD;;8200225362R;
39;1140;950;850;        355.280;CARDBOARD;;8200225362R;
40;1140;950;850;        355.280;CARDBOARD;;8200225362R;
41;1140;950;850;        355.280;CARDBOARD;;8200225362R;
42;1140;950;850;        355.280;CARDBOARD;;8200225362R;
43;1140;950;850;        355.280;CARDBOARD;;8200225362R;
44;1140;950;850;        578.000;CARDBOARD;;8200257895R;
45;1140;475;640;        447.840;CARDBOARD;;8200281654R;
46;1140;475;640;        447.840;CARDBOARD;;8200281654R;
47;1140;475;640;        433.936;CARDBOARD;;8200281656R;
48;1140;950;850;        343.160;CARDBOARD;;8200396823R;
49;1140;950;640;        273.760;CARDBOARD;;8200583305R;
50;1140;950;640;        273.760;CARDBOARD;;8200583305R;
51;1140;950;640;        273.760;CARDBOARD;;8200583305R;
52;1140;950;640;        273.760;CARDBOARD;;8200583305R;
53;1140;950;850;        323.792;CARDBOARD;;8200631310R;
54;1140;950;850;        323.792;CARDBOARD;;8200631310R;
