item code;length (mm);width (mm);height (mm);weight (kg);Package material;Orientation constrained;Product;
0;2280;1470;990;       1536.600;METAL;;100013050RR;
1;2280;1470;990;       1536.600;METAL;;100013050RR;
2;2280;1470;990;       1536.600;METAL;;100019172RR;
3;2280;1470;990;       1533.000;METAL;;100019204RR;
4;2280;1470;990;       1533.000;METAL;;100019204RR;
5;2280;1470;990;       1533.000;METAL;;100019204RR;
6;2280;1470;990;       1533.000;METAL;;100019204RR;
7;2280;1470;990;       1533.000;METAL;;100019204RR;
8;2280;1470;990;       1533.000;METAL;;100019204RR;
9;2280;1470;990;       1533.000;METAL;;100019204RR;
10;1740;1140;850;         52.000;CARDBOARD;;681000035RR;
11;2280;1450;1850;        270.300;WOOD;;760130002RR;
12;2280;1450;640;        374.360;WOOD;;801110016RR;
13;2690;1140;850;        318.540;WOOD;;8200747894R;
14;3190;1140;850;        402.000;WOOD;;8200783693R;
15;2280;1470;990;       1536.600;METAL;;100013050RR;
16;2280;1470;990;       1533.000;METAL;;100019204RR;
17;2280;1470;990;       1533.000;METAL;;100019204RR;
18;2280;1470;990;       1533.000;METAL;;100019204RR;
19;2280;1740;1250;        634.300;WOOD;;8200654462R;
20;2280;1740;1250;        634.300;WOOD;;8200654487R;
21;3190;1140;850;        380.360;WOOD;;8200747649R;
22;3190;1140;850;        380.360;WOOD;;8200747649R;
23;3190;1140;850;        380.360;WOOD;;8200747885R;
24;3190;1140;850;        402.000;WOOD;;8200784364R;
25;2280;1740;1250;        278.000;WOOD;;8200784409R;
26;2280;1740;1250;        278.000;WOOD;;8200784409R;
27;2280;1740;1250;        278.000;WOOD;;8200784409R;
28;1180;1140;860;        135.400;METAL;;175060574RR;
29;1180;1140;860;        117.300;METAL;;206061694RR;
30;1450;1140;640;        135.700;CARDBOARD;;214812564RR;
31;1450;1140;640;        135.700;CARDBOARD;;214812564RR;
32;1180;1140;860;        134.000;METAL;;260600049RR;
33;1180;1140;860;        134.800;METAL;;265500023RR;
34;1180;1140;860;        134.800;METAL;;265550023RR;
35;1180;1140;860;        134.800;METAL;;265550023RR;
36;1450;1140;640;         53.662;CARDBOARD;;278400002RR;
37;1450;1140;850;        666.000;CARDBOARD;;391002176RR;
38;1180;1140;860;        804.000;METAL;;440003613RR;
39;1180;1140;860;        804.000;METAL;;440101951RR;
40;1180;1140;860;        500.000;METAL;;543207065RR;
41;1180;1140;860;        210.416;METAL;;552020006RR;
42;1180;1140;860;        210.416;METAL;;552020006RR;
43;1140;475;640;         52.004;CARDBOARD;;572112497RR;
44;1180;1140;860;        508.250;METAL;;641967455RR;
45;1450;1140;850;        442.000;CARDBOARD;;657710006RR;
46;1180;1140;660;        186.000;METAL;;732200001RR;
47;1180;1140;860;        370.640;METAL;;743307946RR;
48;1180;1140;860;        353.750;METAL;;744620001RR;
49;1180;1140;660;        263.898;METAL;;745964310RR;
50;1180;1140;860;        840.960;METAL;;754220001RR;
51;1180;1140;860;        265.382;METAL;;756C08949RR;
52;1180;1140;860;        265.382;METAL;;756C18542RR;
53;1180;1140;660;        477.300;METAL;;765170011RR;
54;1180;1140;660;        391.000;METAL;;765330004RR;
55;1180;1140;660;        302.346;METAL;;767130005RR;
56;1180;1140;860;        154.820;METAL;;767G63878RR;
57;1180;1140;860;        154.820;METAL;;767G63878RR;
58;1180;1140;860;        154.820;METAL;;767G67434RR;
59;1180;1140;660;        412.434;METAL;;804000006RR;
60;1180;1140;660;        110.040;METAL;;808210166RR;
61;1140;950;640;         25.852;CARDBOARD;;808640012RR;
62;1200;1000;1050;         35.760;WOOD;;809600028RR;
63;1180;1140;660;        432.000;METAL;;8200655829R;
64;1450;1140;640;         86.290;CARDBOARD;;8200658538R;
65;1450;1140;640;         86.290;CARDBOARD;;8200658538R;
66;1450;1140;640;         86.290;CARDBOARD;;8200658539R;
67;1450;1140;850;        107.800;CARDBOARD;;8200661170R;
68;1450;1140;850;        111.754;CARDBOARD;;8200665931R;
69;1140;475;640;         94.620;CARDBOARD;;8200725741R;
70;1450;1140;850;         80.960;CARDBOARD;;8200729935R;
71;1180;1140;860;        120.000;METAL;;8200729938R;
72;1140;950;850;         76.200;CARDBOARD;;8200730576R;
73;1180;1140;860;        388.400;METAL;;8200739374R;
74;1180;1140;1145;        288.200;CARDBOARD;;8200766473R;
75;1450;1140;850;        107.800;CARDBOARD;;8200766888R;
76;1180;1140;860;        248.000;METAL;;8200778280R;
77;1180;1140;860;        221.000;METAL;;8200785137R;
78;1140;475;640;         54.250;CARDBOARD;;8200837561R;
79;1140;475;640;        383.720;CARDBOARD;;844000013RR;
80;1450;1140;640;        112.500;CARDBOARD;;921005824RR;
81;1180;1140;660;        109.280;METAL;;963010146RR;
82;1180;1140;660;        109.280;METAL;;963010146RR;
83;1180;1140;660;        109.280;METAL;;963010146RR;
84;1180;1140;660;        109.280;METAL;;963020133RR;
85;1180;1140;660;        109.280;METAL;;963020133RR;
86;1180;1140;660;        109.280;METAL;;963020133RR;
87;1180;1140;660;        109.280;METAL;;963020133RR;
88;1200;1000;750;         32.200;WOOD;;969100039RR;
89;1740;1140;1250;        150.000;CARDBOARD;;172027576RR;
90;1200;1000;1045;         65.992;CARDBOARD;;214760020RR;
91;1450;1140;640;        135.700;CARDBOARD;;214812564RR;
92;1200;1000;1050;         74.955;WOOD;;217100015RR;
93;1140;950;640;         20.640;CARDBOARD;;240146408RR;
94;1140;950;640;         20.640;CARDBOARD;;240146408RR;
95;1140;950;850;        772.800;CARDBOARD;;402000670RR;
96;1180;1140;860;        773.375;METAL;;432023388RR;
97;1740;1140;850;        181.000;CARDBOARD;;490018112RR;
98;1740;1140;850;        181.000;CARDBOARD;;490018112RR;
99;1740;1140;850;        181.000;CARDBOARD;;490018112RR;
100;1740;1140;850;        181.000;CARDBOARD;;490018112RR;
101;1740;1140;850;         52.000;CARDBOARD;;681000035RR;
102;1740;1140;850;         52.000;CARDBOARD;;681000035RR;
103;1740;1140;850;         52.000;CARDBOARD;;681000035RR;
104;1740;1140;850;         52.000;CARDBOARD;;681000035RR;
105;1740;1140;850;         52.000;CARDBOARD;;681000035RR;
106;1740;1140;850;         52.000;CARDBOARD;;681000035RR;
107;1740;1140;850;         52.000;CARDBOARD;;681000035RR;
108;1740;1140;850;         52.000;CARDBOARD;;681000035RR;
109;1740;1140;850;         52.000;CARDBOARD;;681000035RR;
110;1740;1140;850;         52.000;CARDBOARD;;681000035RR;
111;1740;1140;850;         52.000;CARDBOARD;;681000035RR;
112;1740;1140;850;         52.000;CARDBOARD;;681000035RR;
113;1740;1140;850;         52.000;CARDBOARD;;681000035RR;
114;1480;1140;860;        210.152;METAL;;738100307RR;
115;1480;1140;860;        210.152;METAL;;738100307RR;
116;1180;1140;860;        499.900;METAL;;743307879RR;
117;1180;1140;860;        370.640;METAL;;743307946RR;
118;1480;1140;860;        274.072;METAL;;745900004RR;
119;1180;1140;860;        265.382;METAL;;756C18542RR;
120;1480;1140;860;        310.350;METAL;;764406520RR;
121;1480;1140;860;        265.750;METAL;;764419311RR;
122;1480;1140;860;        292.000;METAL;;768609229RR;
123;1480;1140;860;        170.640;METAL;;769150015RR;
124;1140;950;640;         25.852;CARDBOARD;;808650014RR;
125;1480;1140;860;        460.000;METAL;;8200685178R;
126;1740;1140;850;        233.230;CARDBOARD;;8200747533R;
127;1480;1140;860;        227.180;METAL;;8200784271R;
128;1180;1140;860;        221.000;METAL;;8200785137R;
129;1180;1140;660;        109.280;METAL;;963010146RR;
130;1180;1140;660;        109.280;METAL;;963010146RR;
131;1180;1140;660;        109.280;METAL;;963010146RR;
132;1180;1140;660;        109.280;METAL;;963010146RR;
133;1180;1140;660;        109.280;METAL;;963020133RR;
134;1180;1140;660;        109.280;METAL;;963020133RR;
135;1180;1140;660;        109.280;METAL;;963020133RR;
136;1180;1140;660;        109.280;METAL;;963020133RR;
137;1180;1140;660;        109.280;METAL;;963020133RR;
138;1140;950;640;        100.000;CARDBOARD;;164009963RR;
139;1140;950;850;         47.680;CARDBOARD;;165554107RR;
140;1140;950;850;         55.275;CARDBOARD;;175122628RR;
141;1200;1000;1150;        691.000;CARDBOARD;;231001822RR;
142;1140;950;640;         20.640;CARDBOARD;;240141666RR;
143;1140;950;640;         20.640;CARDBOARD;;240141666RR;
144;1140;950;640;         20.640;CARDBOARD;;240141666RR;
