item code;length (mm);width (mm);height (mm);weight (kg);Package material;Orientation constrained;Product;
0;1140;950;850;        294.500;CARDBOARD;;112333988RK;
1;1450;1140;640;         60.700;CARDBOARD;;484300031RK;
2;1450;1140;640;         60.700;CARDBOARD;;484300031RK;
3;1140;950;640;        255.400;CARDBOARD;;8200656495K;
4;1450;1140;640;        507.500;CARDBOARD;;8200657043K;
5;1450;1140;640;        613.500;CARDBOARD;;8200657046K;
6;1140;950;640;        347.900;CARDBOARD;;8200659564K;
7;1140;950;850;        289.700;CARDBOARD;;8200675217K;
8;1140;950;640;        512.200;CARDBOARD;;8200683186K;
9;1450;1140;850;        373.800;CARDBOARD;WIDTHWISE;8200685577K;
10;1450;1140;850;        373.800;CARDBOARD;WIDTHWISE;8200685578K;
11;1140;475;640;        187.600;CARDBOARD;WIDTHWISE;8200709255K;
12;1140;475;640;        100.800;CARDBOARD;WIDTHWISE;8200709256K;
13;1140;475;640;        100.800;CARDBOARD;WIDTHWISE;8200709256K;
14;1450;1140;640;        118.800;CARDBOARD;;8200715100K;
15;1180;1140;660;        258.700;METAL;;8200729741K;
16;1180;1140;660;        258.700;METAL;;8200729741K;
17;1180;1140;660;        258.700;METAL;;8200729741K;
18;1180;1140;660;        258.700;METAL;;8200729741K;
19;1180;1140;660;        258.700;METAL;;8200729741K;
20;1180;1140;660;        258.700;METAL;;8200729741K;
21;1180;1140;660;        258.700;METAL;;8200729741K;
22;1180;1140;660;        258.700;METAL;;8200729741K;
23;1180;1140;660;        258.700;METAL;;8200729741K;
24;1180;1140;660;        258.700;METAL;;8200729741K;
25;1180;1140;660;        258.700;METAL;;8200729741K;
26;1180;1140;660;        258.700;METAL;;8200729741K;
27;1180;1140;660;        258.700;METAL;;8200729741K;
28;1180;1140;660;        258.700;METAL;;8200729741K;
29;1180;1140;660;        258.700;METAL;;8200729741K;
30;1180;1140;660;        258.700;METAL;;8200729741K;
31;1180;1140;660;        258.700;METAL;;8200729741K;
32;1180;1140;660;        258.700;METAL;;8200729741K;
33;1450;1140;640;        104.000;CARDBOARD;;8200735312K;
34;1450;1140;640;        104.000;CARDBOARD;;8200735312K;
35;1140;950;640;         35.500;CARDBOARD;;8200735337K;
36;1450;1140;640;        147.800;CARDBOARD;;8200740643K;
37;1450;1140;640;        147.800;CARDBOARD;;8200740643K;
38;1450;1140;640;        147.800;CARDBOARD;;8200740643K;
39;1140;950;850;        332.100;CARDBOARD;;8200740645K;
40;1140;950;850;        332.100;CARDBOARD;;8200740645K;
41;1140;950;850;        332.100;CARDBOARD;;8200740645K;
42;1140;475;640;        181.900;CARDBOARD;WIDTHWISE;8200740658K;
43;1140;475;640;        181.900;CARDBOARD;WIDTHWISE;8200740658K;
44;1450;1140;640;        148.800;CARDBOARD;;8200740659K;
45;1450;1140;640;        148.800;CARDBOARD;;8200740659K;
46;1450;1140;640;        148.800;CARDBOARD;;8200740659K;
