item code;length (mm);width (mm);height (mm);weight (kg);Package material;Orientation constrained;Product;
0;1200;1000;750;        193.000;WOOD;;237101808RR;
1;1740;1140;1250;        244.500;CARDBOARD;;490010683RR;
2;1450;1140;850;         55.600;CARDBOARD;;769533703RR;
3;1740;1140;1250;        412.000;CARDBOARD;;7700301254R;
4;1450;1140;850;        222.400;CARDBOARD;;7700303097R;
5;1140;475;640;        389.000;CARDBOARD;;7700303246R;
6;1450;1140;740;        730.296;CARDBOARD;;7700309892R;
7;1450;1140;850;        105.000;CARDBOARD;;7700354636R;
8;1450;1140;850;        105.000;CARDBOARD;;7700354637R;
9;1450;1140;740;        177.600;CARDBOARD;;7700354718R;
10;1450;1140;740;        177.600;CARDBOARD;;7700354718R;
11;1450;1140;740;        177.600;CARDBOARD;;7700354718R;
12;1200;1200;745;        104.000;CARDBOARD;;7700414664R;
13;1450;1140;640;        880.750;CARDBOARD;;7700431462R;
14;1450;1140;740;        912.000;CARDBOARD;;7700836632R;
15;1140;475;640;        184.520;CARDBOARD;;7701693419R;
16;1140;475;640;         68.600;CARDBOARD;;8200035778R;
17;1450;1140;850;        150.400;CARDBOARD;;8200096172R;
18;1450;1140;740;         67.800;CARDBOARD;;8200101808R;
19;2150;800;750;         84.760;WOOD;;8200113049R;
20;2150;800;750;         84.760;WOOD;;8200113050R;
21;1140;950;850;         82.660;CARDBOARD;;8200150625R;
22;1480;1140;860;        172.000;METAL;;8200199296R;
23;1480;1140;860;        172.000;METAL;;8200199298R;
24;1140;475;640;         82.380;CARDBOARD;;8200200778R;
25;1450;1140;850;        118.300;CARDBOARD;;8200267289R;
26;1480;1140;860;        356.800;METAL;;8200313793R;
27;1200;1000;345;        126.300;CARDBOARD;;8200499303R;
28;1450;1140;850;        546.550;CARDBOARD;;8200840770R;
29;1450;1140;850;        546.550;CARDBOARD;;8200840770R;
30;1200;1000;545;         82.300;CARDBOARD;;8201068825R;
31;1450;1140;850;         74.200;CARDBOARD;;969107779RR;
32;2270;1170;1270;        819.676;METAL;;7700436481R;
33;2270;1170;1270;       1029.814;METAL;;7700436481R;
34;2270;1170;1270;        920.066;METAL;;7700436481R;
35;2270;1170;1270;        778.399;METAL;;7700436481R;
36;1450;1140;640;        189.508;CARDBOARD;;7700436481R;
37;1180;1140;1090;        521.000;METAL;;208026731RR;
38;1200;1000;1045;        113.200;CARDBOARD;;243225158RR;
39;1200;1000;1145;         92.000;CARDBOARD;;281764294RR;
40;1200;1000;1145;         92.000;CARDBOARD;;281775234RR;
41;1200;1200;895;        150.000;CARDBOARD;;479105431RR;
42;1200;1000;1050;        132.000;WOOD;;497173911RR;
43;1200;1000;750;        233.200;WOOD;;543256557RR;
44;1140;950;640;        430.278;CARDBOARD;;545009207RR;
45;1140;950;640;        417.600;CARDBOARD;;545014055RR;
46;1200;1000;1045;         72.700;CARDBOARD;;681042626RR;
47;1180;1140;860;        406.400;METAL;;743575650RR;
48;1180;1140;860;        514.640;METAL;;7700301242R;
49;1180;1140;860;        968.000;METAL;;7700301811R;
50;1180;1140;860;        242.000;METAL;;7700355069R;
51;1200;1200;745;        104.000;CARDBOARD;;7700414664R;
52;1200;1000;745;        428.200;CARDBOARD;;7700415087R;
53;1140;950;850;        157.504;CARDBOARD;;7700430825R;
54;1140;950;850;        157.504;CARDBOARD;;7700430825R;
55;1140;950;850;        326.500;CARDBOARD;;7700836472R;
56;1140;475;640;        144.000;CARDBOARD;;7700836663R;
57;1180;1140;860;        232.700;METAL;;7700842245R;
58;1140;950;640;        784.400;CARDBOARD;;7700842342R;
59;1180;1140;660;        661.482;METAL;;7700842365R;
60;1200;1000;345;        130.520;CARDBOARD;;7700842857R;
61;1180;1140;860;        245.120;METAL;;7700843271R;
62;1140;950;640;        256.500;CARDBOARD;;7701691060R;
63;1140;950;850;         82.800;CARDBOARD;;7701694459R;
64;1180;1140;860;        480.200;METAL;;7701709787R;
