item code;length (mm);width (mm);height (mm);weight (kg);Package material;Orientation constrained;Product;
0;1140;950;640;        287.100;CARDBOARD;;504170002RZ;
1;1140;950;850;        542.400;CARDBOARD;;562107256RZ;
2;1140;950;850;        395.600;CARDBOARD;;641010004RZ;
3;1140;950;640;        250.500;CARDBOARD;;641260002RZ;
4;1140;950;640;         87.000;CARDBOARD;;663A00006RZ;
5;1140;950;640;        261.700;CARDBOARD;;762E27137RZ;
6;1140;950;640;        238.100;CARDBOARD;;765300009RZ;
7;1140;950;640;        238.100;CARDBOARD;;765310009RZ;
8;1740;1140;640;        873.000;CARDBOARD;;7700301235Z;
9;1740;1140;640;        873.000;CARDBOARD;;7700301235Z;
10;3300;2260;1760;        659.100;CARDBOARD;;7700301801Z;
11;1450;1140;640;        459.100;CARDBOARD;;7700301825Z;
12;1740;1140;850;        777.800;CARDBOARD;WIDTHWISE;7700354726Z;
13;1740;1140;850;        777.800;CARDBOARD;WIDTHWISE;7700354726Z;
14;1480;1140;860;        727.600;METAL;;7700355064Z;
15;1480;1140;860;        506.200;METAL;;8200035772Z;
16;1480;1140;860;        506.200;METAL;;8200035772Z;
17;1480;1140;860;        506.200;METAL;;8200035773Z;
18;1480;1140;860;        506.200;METAL;;8200035773Z;
19;1450;1140;640;        835.500;CARDBOARD;;8200057060Z;
20;1450;1140;640;        225.000;CARDBOARD;;8200057073Z;
21;1450;1140;850;        212.000;CARDBOARD;WIDTHWISE;8200097848Z;
22;1450;1140;850;        212.000;CARDBOARD;WIDTHWISE;8200097848Z;
23;1450;1140;850;        212.000;CARDBOARD;WIDTHWISE;8200097848Z;
24;1450;1140;850;        212.000;CARDBOARD;WIDTHWISE;8200097848Z;
25;1480;1140;860;        635.900;METAL;;8200163882Z;
26;1450;1140;640;        442.500;CARDBOARD;;8200244776Z;
27;1180;1140;860;        427.800;METAL;;8200385923Z;
28;1180;1140;860;        427.800;METAL;;8200385923Z;
29;1180;1140;860;        427.800;METAL;;8200385926Z;
30;1740;1140;850;        804.800;CARDBOARD;WIDTHWISE;8200396602Z;
31;1740;1140;850;        804.800;CARDBOARD;WIDTHWISE;8200396602Z;
32;1450;1140;850;        234.500;CARDBOARD;WIDTHWISE;8200479334Z;
33;1450;1140;850;        234.500;CARDBOARD;WIDTHWISE;8200479334Z;
34;1450;1140;850;        234.500;CARDBOARD;WIDTHWISE;8200479334Z;
35;1450;1140;850;        234.500;CARDBOARD;WIDTHWISE;8200479334Z;
36;600;400;300;          9.700;CARDBOARD;;924100063RZ;
37;2280;1450;625;        730.900;CARDBOARD;;7700301230Z;
38;2280;1450;625;        730.900;CARDBOARD;;7700301230Z;
39;2280;1450;625;        730.900;CARDBOARD;;7700301230Z;
40;2280;1450;625;        732.600;CARDBOARD;;7700301232Z;
41;1740;1140;640;        873.000;CARDBOARD;;7700301235Z;
42;1740;1140;640;        873.000;CARDBOARD;;7700301235Z;
43;1740;1140;640;        873.000;CARDBOARD;;7700301235Z;
44;1740;1140;640;        873.000;CARDBOARD;;7700301235Z;
45;1450;1140;640;        387.000;CARDBOARD;;7700301737Z;
46;3300;2260;1760;        659.100;CARDBOARD;;7700301801Z;
47;1450;1140;640;        459.100;CARDBOARD;;7700301825Z;
48;1480;1140;860;        541.200;METAL;;7700307351Z;
49;1480;1140;860;        520.000;METAL;;7700307360Z;
50;1480;1140;860;        520.000;METAL;;7700307360Z;
51;1480;1140;860;        520.000;METAL;;7700307360Z;
52;1480;1140;860;        484.000;METAL;;7700307361Z;
53;1480;1140;860;        484.000;METAL;;7700307361Z;
54;1480;1140;860;        356.100;METAL;;7700307825Z;
55;1480;1140;860;        356.100;METAL;;7700307825Z;
56;600;400;300;         14.300;CARDBOARD;;7700313181Z;
57;600;400;300;         14.300;CARDBOARD;;7700313181Z;
58;600;400;300;         14.300;CARDBOARD;;7700313181Z;
59;1480;1140;860;        727.600;METAL;;7700355064Z;
60;1480;1140;860;        727.600;METAL;;7700355064Z;
61;600;400;300;         11.700;CARDBOARD;;7700417752Z;
