item code;length (mm);width (mm);height (mm);weight (kg);Package material;Orientation constrained;Product;
0;1140;950;640;         53.600;CARDBOARD;;214103250RI;
1;1140;950;640;         53.600;CARDBOARD;;214103250RI;
2;1140;950;640;         53.600;CARDBOARD;;214103250RI;
3;1140;950;640;         53.600;CARDBOARD;;214103250RI;
4;1140;950;640;         53.600;CARDBOARD;;214103250RI;
5;1140;950;640;         53.600;CARDBOARD;;214103250RI;
6;1140;950;640;         53.600;CARDBOARD;;214103250RI;
7;1140;950;640;         53.600;CARDBOARD;;214103250RI;
8;1140;950;640;         53.600;CARDBOARD;;214103250RI;
9;1140;950;640;         53.600;CARDBOARD;;214103250RI;
10;1140;950;640;         53.600;CARDBOARD;;214103250RI;
11;1450;1140;850;         88.900;CARDBOARD;;243800196RI;
12;1320;1160;1360;        177.000;WOOD;;248109591RI;
13;1740;1140;850;        615.000;CARDBOARD;;320108066RI;
14;1740;1140;850;        615.000;CARDBOARD;;320108066RI;
15;1740;1140;850;        615.000;CARDBOARD;;320108066RI;
16;1740;1140;850;        615.000;CARDBOARD;;320108066RI;
17;1740;1140;850;        615.000;CARDBOARD;;320108066RI;
18;1740;1140;850;        615.000;CARDBOARD;;320108066RI;
19;1740;1140;850;        615.000;CARDBOARD;;320108066RI;
20;1740;1140;850;        615.000;CARDBOARD;;320108066RI;
21;1740;1140;850;        615.000;CARDBOARD;;320108066RI;
22;1740;1140;850;        615.000;CARDBOARD;;320108066RI;
23;1740;1140;850;        615.000;CARDBOARD;;320108066RI;
24;1740;1140;850;        615.000;CARDBOARD;;320108066RI;
25;1740;1140;850;        615.000;CARDBOARD;;320108066RI;
26;1740;1140;850;        615.000;CARDBOARD;;320108066RI;
27;1740;1140;850;        615.000;CARDBOARD;;320108066RI;
28;1450;1140;850;        239.400;CARDBOARD;;490013367RI;
29;1450;1140;850;        239.400;CARDBOARD;;490013367RI;
30;1450;1140;850;        239.400;CARDBOARD;;490013367RI;
31;1450;1140;850;        239.400;CARDBOARD;;490013367RI;
32;1450;1140;850;        239.400;CARDBOARD;;490013367RI;
33;1450;1140;850;        239.400;CARDBOARD;;490013367RI;
34;1450;1140;850;        239.400;CARDBOARD;;490013367RI;
35;1450;1140;850;        239.400;CARDBOARD;;490013367RI;
36;1450;1140;850;        239.400;CARDBOARD;;490013367RI;
37;1450;1140;850;        239.400;CARDBOARD;;490013367RI;
38;1450;1140;640;        223.720;CARDBOARD;;8200250991I;
39;1140;950;640;        425.000;CARDBOARD;;8200266777I;
40;1140;950;640;        425.000;CARDBOARD;;8200266777I;
41;1200;1000;750;         91.000;WOOD;;8200368730I;
42;1200;1000;1050;         84.000;WOOD;;8200372692I;
43;1200;1000;1050;         84.000;WOOD;;8200372693I;
44;1200;1000;1050;        102.000;WOOD;;8200411278I;
45;1140;950;850;        290.000;CARDBOARD;;8200605732I;
46;1200;1000;1050;        108.000;WOOD;;8200750975I;
47;1140;950;850;        523.200;CARDBOARD;;8200810621I;
48;2270;1170;1270;       1118.580;METAL;LENGTHWISE;8200765567I;
49;2270;1170;1270;        953.550;METAL;LENGTHWISE;8200765567I;
50;1450;1140;850;        278.060;CARDBOARD;;8200765567I;
51;1140;950;640;         53.600;CARDBOARD;;214103250RI;
52;1140;950;640;         53.600;CARDBOARD;;214103250RI;
53;1140;950;640;         53.600;CARDBOARD;;214103250RI;
54;1140;950;640;         53.600;CARDBOARD;;214103250RI;
55;1140;950;640;         53.600;CARDBOARD;;214103250RI;
56;1140;950;640;         53.600;CARDBOARD;;214103250RI;
57;1140;950;640;         53.600;CARDBOARD;;214103250RI;
58;1450;1140;850;         88.900;CARDBOARD;;243800196RI;
59;1740;1140;850;        615.000;CARDBOARD;;320108066RI;
60;1740;1140;850;        615.000;CARDBOARD;;320108066RI;
61;1740;1140;850;        615.000;CARDBOARD;;320108066RI;
62;1740;1140;850;        615.000;CARDBOARD;;320108066RI;
63;1740;1140;850;        615.000;CARDBOARD;;320108066RI;
64;1140;950;850;        356.100;CARDBOARD;;391009963RI;
65;1140;950;850;        356.100;CARDBOARD;;391009963RI;
66;1450;1140;850;        239.400;CARDBOARD;;490013367RI;
67;1450;1140;850;        239.400;CARDBOARD;;490013367RI;
68;1450;1140;850;        239.400;CARDBOARD;;490013367RI;
69;1140;950;850;        136.000;CARDBOARD;;7711426421I;
70;1140;950;850;        136.000;CARDBOARD;;7711426421I;
71;1140;950;850;        371.200;CARDBOARD;;8200212868I;
72;1140;950;640;        425.000;CARDBOARD;;8200266777I;
73;1140;950;850;         70.800;CARDBOARD;;8200686355I;
74;1200;800;1140;         51.800;CARDBOARD;;8200750974I;
75;1140;950;850;         85.600;CARDBOARD;;8200765566I;
76;1140;950;850;         85.600;CARDBOARD;;8200765566I;
77;1140;950;850;         85.600;CARDBOARD;;8200765566I;
78;1140;950;850;         85.600;CARDBOARD;;8200765566I;
79;1740;1140;1250;        423.320;CARDBOARD;;7703602090I;
80;1140;950;640;         53.600;CARDBOARD;;214103250RI;
81;1140;950;640;         53.600;CARDBOARD;;214103250RI;
82;1140;950;640;         53.600;CARDBOARD;;214103250RI;
83;1140;950;640;         53.600;CARDBOARD;;214103250RI;
84;1140;950;640;         53.600;CARDBOARD;;214103250RI;
85;1140;950;850;        356.100;CARDBOARD;;391009963RI;
86;1140;950;850;        356.100;CARDBOARD;;391009963RI;
87;1140;950;850;        219.750;CARDBOARD;;391014626RI;
88;1140;950;850;        219.750;CARDBOARD;;391014626RI;
89;1140;950;850;        219.750;CARDBOARD;;391014626RI;
90;1140;950;850;        167.100;CARDBOARD;;465106970RI;
91;1140;950;850;        167.100;CARDBOARD;;465106970RI;
92;1140;950;850;        167.100;CARDBOARD;;465106970RI;
93;1140;950;850;        106.600;CARDBOARD;;747513586RI;
94;1140;950;850;        136.000;CARDBOARD;;7711426421I;
95;1140;950;850;        136.000;CARDBOARD;;7711426421I;
96;1140;950;850;        371.200;CARDBOARD;;8200212868I;
97;1140;950;640;        181.500;CARDBOARD;;8200213277I;
98;1140;950;640;        181.500;CARDBOARD;;8200213278I;
99;1450;1140;640;        223.720;CARDBOARD;;8200250991I;
100;1140;950;640;        425.000;CARDBOARD;;8200266777I;
101;1200;1000;750;         91.000;WOOD;;8200368730I;
102;1140;950;850;         70.800;CARDBOARD;;8200686355I;
