item code;length (mm);width (mm);height (mm);weight (kg);Package material;Orientation constrained;Product;
0;1450;1140;850;         74.480;CARDBOARD;;165556262RR;
1;1450;1140;850;         74.480;CARDBOARD;;165556262RR;
2;1200;1000;645;        232.000;CARDBOARD;;172022047RR;
3;1200;1000;1145;        242.000;CARDBOARD;;172024388RR;
4;1200;1000;1045;        108.400;CARDBOARD;;255670754RR;
5;1200;1000;1045;        108.400;CARDBOARD;;255678570RR;
6;2200;1170;950;        613.480;CARDBOARD;;320003602RR;
7;1140;950;640;        560.000;CARDBOARD;;410009478RR;
8;1140;950;850;        423.360;CARDBOARD;;440009027RR;
9;1140;950;850;        297.600;CARDBOARD;;440104049RR;
10;1140;950;850;         94.500;CARDBOARD;;7701695154R;
11;1200;1000;750;        390.400;WOOD;;804305879RR;
12;1200;1000;1050;        195.060;WOOD;;806079580RR;
13;2700;1140;1462;        352.800;WOOD;;8200035764R;
14;2700;1140;1462;        352.800;WOOD;;8200035765R;
15;1850;1140;1250;        158.396;WOOD;;8200082359R;
16;1850;1140;1250;        158.396;WOOD;;8200082359R;
17;1480;1140;860;       1374.550;METAL;;8200409389R;
18;2270;1170;1270;        189.320;METAL;;8200684156R;
19;1140;950;850;         70.800;CARDBOARD;;8200686355R;
20;1480;1140;860;        806.320;METAL;;8200708061R;
21;1200;1000;745;        205.000;CARDBOARD;;8200856659R;
22;1140;950;850;         55.200;CARDBOARD;;8200896012R;
23;1200;1000;545;         97.000;CARDBOARD;;8201068828R;
24;1200;1000;545;         97.000;CARDBOARD;;8201068828R;
25;1140;950;850;        274.560;CARDBOARD;;886020125RR;
26;1140;950;850;        274.560;CARDBOARD;;886021983RR;
27;1140;950;850;        224.640;CARDBOARD;;886022067RR;
28;2270;1170;1270;       2179.776;METAL;;8200379950R;
29;2270;1170;1270;       1324.481;METAL;;8200379950R;
30;2270;1170;1270;       1748.911;METAL;;8200379950R;
31;1740;1140;1250;        951.042;CARDBOARD;;8200379950R;
32;1200;1200;745;        231.500;CARDBOARD;;117207944RR;
33;1200;1200;745;        377.600;CARDBOARD;;117507271RR;
34;1180;1140;860;        194.450;METAL;;172216856RR;
35;1180;1140;1090;        521.000;METAL;;208029958RR;
36;1450;1140;850;        140.000;CARDBOARD;;349011155RR;
37;1180;1140;860;        858.000;METAL;;432004202RR;
38;1180;1140;860;        858.000;METAL;;432004202RR;
39;1450;1140;640;        158.920;CARDBOARD;;488102002RR;
40;1450;1140;640;        158.920;CARDBOARD;;488102002RR;
41;1450;1140;640;        158.920;CARDBOARD;;488102002RR;
42;1450;1140;850;        224.000;CARDBOARD;;490013367RR;
43;1450;1140;850;        224.000;CARDBOARD;;490013367RR;
44;1450;1140;850;        224.000;CARDBOARD;;490013367RR;
45;1450;1140;850;        224.000;CARDBOARD;;490019274RR;
46;1450;1140;850;        224.000;CARDBOARD;;490019274RR;
47;1450;1140;850;        224.000;CARDBOARD;;490019274RR;
48;1200;1000;1045;         94.000;CARDBOARD;;7700413964R;
49;1200;1200;895;        213.000;CARDBOARD;;7700795347R;
50;1480;1140;860;        736.455;METAL;;7700836363R;
51;1180;1140;860;        620.000;METAL;;7701707313R;
52;1450;1140;1460;        546.430;WOOD;;8200037396R;
53;1460;1140;1360;        734.680;WOOD;;8200041319R;
54;1180;1140;860;        386.072;METAL;;8200149612R;
55;1450;1140;850;        344.920;CARDBOARD;;8200213856R;
56;1180;1140;860;        360.770;METAL;;8200214457R;
57;1180;1140;860;        270.464;METAL;;8200215905R;
58;1180;1140;860;        270.464;METAL;;8200217213R;
59;1180;1140;860;        255.680;METAL;;8200217216R;
60;1180;1140;860;       1074.900;METAL;;8200303298R;
61;1480;1140;860;       1374.550;METAL;;8200409389R;
62;1180;1140;1250;        501.080;PLASTIC;;8200414226R;
63;1140;950;850;         70.800;CARDBOARD;;8200686355R;
64;1480;1140;860;        666.989;METAL;;8200708056R;
65;1480;1140;860;        680.992;METAL;;8200708057R;
66;1480;1140;860;        806.320;METAL;;8200708061R;
67;1450;1140;850;        217.000;CARDBOARD;;8200760429R;
68;1450;1140;850;        546.550;CARDBOARD;;8200840770R;
69;1140;950;850;         55.200;CARDBOARD;;8200896012R;
70;1180;1140;860;        749.000;METAL;;8200942407R;
71;1740;1140;1250;        735.262;CARDBOARD;;8200637308R;
72;1450;1140;850;         74.480;CARDBOARD;;165556262RR;
73;1140;950;640;        560.000;CARDBOARD;;410009478RR;
74;1140;950;640;        560.000;CARDBOARD;;410109816RR;
75;1180;1140;860;        858.000;METAL;;432004202RR;
76;1180;1140;860;        858.000;METAL;;432004202RR;
77;1140;950;850;        173.280;CARDBOARD;;472105674RR;
78;1140;950;850;        173.280;CARDBOARD;;472105674RR;
79;1450;1140;640;        158.920;CARDBOARD;;488102002RR;
80;1450;1140;640;        158.920;CARDBOARD;;488102002RR;
81;1450;1140;640;        158.920;CARDBOARD;;488102002RR;
82;1450;1140;850;        224.000;CARDBOARD;;490013367RR;
83;1450;1140;850;        224.000;CARDBOARD;;490013367RR;
84;1450;1140;850;        224.000;CARDBOARD;;490013367RR;
85;1450;1140;850;        224.000;CARDBOARD;;490019274RR;
86;1450;1140;850;        224.000;CARDBOARD;;490019274RR;
87;1450;1140;850;        224.000;CARDBOARD;;490019274RR;
88;1140;950;850;        601.920;CARDBOARD;;544032307RR;
89;1140;950;850;        157.840;CARDBOARD;;769230024RR;
90;1140;950;850;        156.580;CARDBOARD;;808321867RR;
91;1480;1140;860;       1374.550;METAL;;8200409389R;
92;1140;950;850;         70.800;CARDBOARD;;8200686355R;
93;1140;950;850;        109.200;CARDBOARD;;8200732310R;
94;1140;950;850;        109.200;CARDBOARD;;8200732310R;
95;1140;950;640;        121.850;CARDBOARD;;8200734582R;
96;1140;950;640;        121.850;CARDBOARD;;8200734582R;
97;1140;950;850;        357.840;CARDBOARD;;8200792969R;
98;1200;1000;1000;        670.000;CARDBOARD;;8201018716R;
99;1140;950;850;        164.160;CARDBOARD;;908300023RR;
100;1140;950;850;        654.000;CARDBOARD;;926000097RR;
101;1183;1134;545;        334.705;METAL;;7703072050R;
102;2280;1470;990;       1178.400;METAL;;100015425RR;
103;2280;1470;990;       1178.400;METAL;;100015425RR;
104;2280;1470;990;       1178.400;METAL;;100015425RR;
105;2280;1470;990;       1178.400;METAL;;100015425RR;
106;2280;1470;990;       1178.400;METAL;;100015425RR;
107;2280;1470;990;       1178.400;METAL;;100015425RR;
108;2280;1470;990;       1125.000;METAL;;8201254199R;
109;2280;1470;990;       1125.000;METAL;;8201254199R;
110;2280;1470;990;       1125.000;METAL;;8201254199R;
111;2280;1470;990;       1125.000;METAL;;8201254199R;
112;2280;1470;990;       1125.000;METAL;;8201254199R;
113;2280;1470;990;       1125.000;METAL;;8201254199R;
114;2280;1470;990;       1125.000;METAL;;8201254199R;
115;2280;1470;990;       1125.000;METAL;;8201254199R;
116;2280;1470;990;       1125.000;METAL;;8201254199R;
117;2280;1470;990;       1125.000;METAL;;8201254199R;
118;2280;1470;990;       1178.400;METAL;;100015425RR;
119;2280;1470;990;       1178.400;METAL;;100015425RR;
120;2280;1470;990;       1178.400;METAL;;100015425RR;
121;2280;1470;990;       1125.000;METAL;;8201254199R;
122;2280;1470;990;       1125.000;METAL;;8201254199R;
123;2280;1470;990;       1125.000;METAL;;8201254199R;
124;2280;1470;990;       1125.000;METAL;;8201254199R;
125;2280;1470;990;       1125.000;METAL;;8201254199R;
126;2280;1470;990;       1125.000;METAL;;8201254199R;
127;2280;1470;990;       1125.000;METAL;;8201254199R;
128;2280;1470;990;       1125.000;METAL;;8201254199R;
129;2280;1470;990;       1125.000;METAL;;8201254199R;
