item code;length (mm);width (mm);height (mm);weight (kg);Package material;Orientation constrained;Product;
0;1500;1130;1120;        330.000;CARDBOARD;;490013552RX;
1;1500;1130;1120;        330.000;CARDBOARD;;490013552RX;
2;1500;1130;1120;        330.000;CARDBOARD;;490013552RX;
3;1500;1130;1120;        330.000;CARDBOARD;;490013552RX;
4;1140;950;640;        387.700;CARDBOARD;;231008593RX;
5;1140;950;640;        387.700;CARDBOARD;;231008593RX;
6;1140;950;640;        387.700;CARDBOARD;;231008593RX;
7;1140;950;850;         86.200;CARDBOARD;;252103678RX;
8;1140;475;640;         31.600;CARDBOARD;;252907372RX;
9;1140;475;640;         31.600;CARDBOARD;;252907372RX;
10;1140;950;850;        126.700;CARDBOARD;;281150198RX;
11;1140;950;850;        126.700;CARDBOARD;;281150198RX;
12;1140;950;850;        126.700;CARDBOARD;;281150198RX;
13;1140;950;850;        126.700;CARDBOARD;;281150198RX;
14;1140;950;850;        126.700;CARDBOARD;;281150198RX;
15;1140;950;740;        143.200;CARDBOARD;;281156127RX;
16;1140;950;850;        591.500;CARDBOARD;;430429377RX;
17;1140;950;850;        591.500;CARDBOARD;;430429377RX;
18;1140;950;850;        591.500;CARDBOARD;;430429377RX;
19;1500;1130;1120;        330.000;CARDBOARD;;490013552RX;
20;1500;1130;1120;        330.000;CARDBOARD;;490013552RX;
21;1500;1130;1120;        330.000;CARDBOARD;;490013552RX;
22;1500;1130;1120;        330.000;CARDBOARD;;490013552RX;
23;1500;1130;1120;        330.000;CARDBOARD;;490013552RX;
24;1500;1130;1120;        330.000;CARDBOARD;;490013552RX;
25;1500;1130;1120;        330.000;CARDBOARD;;490013552RX;
26;1500;1130;1120;        330.000;CARDBOARD;;490013552RX;
27;1500;1130;1120;        330.000;CARDBOARD;;490013552RX;
28;1500;1130;1120;        330.000;CARDBOARD;;490013552RX;
29;1500;1130;1120;        330.000;CARDBOARD;;490013552RX;
30;1500;1130;1120;        330.000;CARDBOARD;;490013552RX;
31;1500;1130;1120;        330.000;CARDBOARD;;490013552RX;
32;1500;1130;1120;        330.000;CARDBOARD;;490013552RX;
33;1500;1130;1120;        330.000;CARDBOARD;;490013552RX;
34;1500;1130;1120;        330.000;CARDBOARD;;490013552RX;
35;1500;1130;1120;        330.000;CARDBOARD;;490013552RX;
36;1500;1130;1120;        330.000;CARDBOARD;;490013552RX;
37;1500;1130;1120;        330.000;CARDBOARD;;490013552RX;
38;1500;1130;1120;        330.000;CARDBOARD;;490013552RX;
39;1500;1130;1120;        330.000;CARDBOARD;;490013552RX;
40;1500;1130;1120;        330.000;CARDBOARD;;490013552RX;
41;1500;1130;1120;        330.000;CARDBOARD;;490013552RX;
42;1500;1130;1120;        330.000;CARDBOARD;;490013552RX;
43;1500;1130;1120;        330.000;CARDBOARD;;490013552RX;
44;1500;1130;1120;        330.000;CARDBOARD;;490013552RX;
45;1500;1130;1120;        330.000;CARDBOARD;;490013552RX;
46;1500;1130;1120;        330.000;CARDBOARD;;490013552RX;
47;1140;950;850;        285.900;CARDBOARD;;656011705RX;
48;1140;950;850;        277.900;CARDBOARD;;656015563RX;
49;1140;950;850;        105.100;CARDBOARD;;656231342RX;
