item code;length (mm);width (mm);height (mm);weight (kg);Package material;Orientation constrained;Product;
0;1140;950;850;        823.680;CARDBOARD;;432003429RD;
1;1200;1000;1150;        383.600;CARDBOARD;;543024989RD;
2;2270;1170;1270;        593.960;METAL;WIDTHWISE;544013322RD;
3;2270;1170;1270;        593.960;METAL;WIDTHWISE;544013322RD;
4;2270;1170;1270;        593.960;METAL;WIDTHWISE;544013322RD;
5;2270;1170;1270;        593.960;METAL;WIDTHWISE;544013322RD;
6;1450;1140;850;        173.800;CARDBOARD;LENGTHWISE;648604163RD;
7;1450;1140;850;        173.800;CARDBOARD;LENGTHWISE;648604163RD;
8;1740;1140;850;        745.000;CARDBOARD;;743709613RD;
9;1140;950;640;        578.000;CARDBOARD;;758903726RD;
10;1450;1140;640;        233.600;CARDBOARD;;765179197RD;
11;1450;1140;640;        233.600;CARDBOARD;;765179197RD;
12;1140;950;850;        315.600;CARDBOARD;;8200574975D;
13;1740;1140;850;        115.480;CARDBOARD;;8200595794D;
14;2270;1170;1270;        258.600;METAL;WIDTHWISE;8200620958D;
15;2270;1170;1270;        258.600;METAL;WIDTHWISE;8200620958D;
16;2270;1170;1270;        258.600;METAL;WIDTHWISE;8200620958D;
17;2270;1170;1270;        258.600;METAL;WIDTHWISE;8200620958D;
18;1740;1140;850;         93.400;CARDBOARD;;8200720244D;
19;1740;1140;850;         93.400;CARDBOARD;;8200720248D;
20;1740;1140;850;         93.400;CARDBOARD;;8200720248D;
21;1180;1140;660;        118.800;METAL;;8200735038D;
22;1180;1140;660;        118.800;METAL;;8200735038D;
23;1180;1140;660;        118.800;METAL;;8200735038D;
24;1180;1140;660;        118.800;METAL;;8200735039D;
25;1450;1140;850;        568.160;CARDBOARD;LENGTHWISE;8200883917D;
26;1450;1140;850;         48.640;CARDBOARD;LENGTHWISE;8200924370D;
27;2270;1170;1270;       1683.820;METAL;WIDTHWISE;8200211263D;
28;2270;1170;1270;       1291.370;METAL;WIDTHWISE;8200211263D;
29;1740;1140;850;        538.400;CARDBOARD;;8200211263D;
30;2270;1170;1270;        986.000;METAL;;100014401RD;
31;2270;1170;1270;        986.000;METAL;;100014401RD;
32;2270;1170;1270;        986.000;METAL;;100014401RD;
33;2270;1170;1270;        986.000;METAL;;100014401RD;
34;2270;1170;1270;        986.000;METAL;;100014401RD;
35;2270;1170;1270;        986.000;METAL;;100014401RD;
36;1180;1140;660;        142.740;METAL;;214100598RD;
37;1140;950;850;         67.200;CARDBOARD;;260107592RD;
38;1200;1000;1045;        117.400;CARDBOARD;;497208771RD;
39;1200;1000;1150;        383.600;CARDBOARD;;543024989RD;
40;1180;1140;860;        363.000;METAL;;688300538RD;
41;1450;1140;640;        235.000;CARDBOARD;;765161009RD;
42;1140;475;640;         20.300;CARDBOARD;WIDTHWISE;8200684156D;
43;1180;1140;660;        118.800;METAL;;8200735038D;
44;1140;950;850;         85.600;CARDBOARD;;8200765566D;
45;1140;950;850;         85.600;CARDBOARD;;8200765566D;
46;1140;950;640;         95.000;CARDBOARD;;8200773272D;
47;1140;950;640;         95.000;CARDBOARD;;8200773274D;
48;1140;950;850;         92.400;CARDBOARD;;8200800402D;
49;1140;950;850;         92.400;CARDBOARD;;8200800404D;
50;1140;950;850;         79.200;CARDBOARD;;8200805326D;
51;1140;950;850;         79.200;CARDBOARD;;8200805326D;
52;1140;950;850;         79.200;CARDBOARD;;8200805333D;
53;1140;950;850;         79.200;CARDBOARD;;8200805333D;
54;1450;1140;850;        142.000;CARDBOARD;LENGTHWISE;8200869179D;
55;1140;950;850;        794.000;CARDBOARD;;8200871588D;
56;1140;950;850;        450.000;CARDBOARD;;8200871591D;
57;1450;1140;850;        568.160;CARDBOARD;LENGTHWISE;8200883917D;
58;1140;950;850;        162.600;CARDBOARD;;8200889351D;
59;1140;950;850;        162.600;CARDBOARD;;8200889819D;
60;1450;1140;850;         48.640;CARDBOARD;LENGTHWISE;8200924370D;
61;1450;1140;850;         48.640;CARDBOARD;LENGTHWISE;8200924370D;
62;1450;1140;850;         48.640;CARDBOARD;LENGTHWISE;8200924370D;
63;1450;1140;850;         48.640;CARDBOARD;LENGTHWISE;8200924371D;
64;1450;1140;850;         48.640;CARDBOARD;LENGTHWISE;8200924371D;
65;1450;1140;850;         48.640;CARDBOARD;LENGTHWISE;8200924371D;
66;1450;1140;850;         48.640;CARDBOARD;LENGTHWISE;8200924371D;
67;1450;1140;850;         48.640;CARDBOARD;LENGTHWISE;8200924371D;
68;1200;1000;1150;         58.800;WOOD;;924406765RD;
69;1140;950;850;        323.250;CARDBOARD;;934B10525RD;
70;1450;1140;640;         97.000;CARDBOARD;;963014780RD;
71;1450;1140;640;         97.000;CARDBOARD;;963028587RD;
72;1450;1140;850;        727.300;CARDBOARD;LENGTHWISE;995504629RD;
73;2270;1170;1270;        986.000;METAL;;100014401RD;
74;2270;1170;1270;        986.000;METAL;;100014401RD;
75;2270;1170;1270;        986.000;METAL;;100014401RD;
76;2270;1170;1270;        986.000;METAL;;100014401RD;
77;2270;1170;1270;        986.000;METAL;;100014401RD;
78;2270;1170;1270;        986.000;METAL;;100014401RD;
79;1140;950;850;        594.400;CARDBOARD;;402008719RD;
80;1140;950;850;        823.680;CARDBOARD;;432003429RD;
81;1140;950;850;        180.480;CARDBOARD;;472102641RD;
82;1200;1000;1150;        383.600;CARDBOARD;;543024989RD;
83;2270;1170;1270;        593.960;METAL;WIDTHWISE;544013322RD;
84;2270;1170;1270;        593.960;METAL;WIDTHWISE;544013322RD;
