item code;length (mm);width (mm);height (mm);weight (kg);Package material;Orientation constrained;Product;
0;2280;1200;640;        641.000;CARDBOARD;;320100694RR;
1;2280;1200;640;        641.000;CARDBOARD;;320100694RR;
2;2280;1200;640;        641.000;CARDBOARD;;320100694RR;
3;2280;1200;640;        641.000;CARDBOARD;;320100694RR;
4;2280;1200;640;        641.000;CARDBOARD;;320100694RR;
5;2280;1200;640;        641.000;CARDBOARD;;320100694RR;
6;2280;1200;640;        641.000;CARDBOARD;;320100694RR;
7;2280;1200;640;        641.000;CARDBOARD;;320100694RR;
8;2280;1200;640;        641.000;CARDBOARD;;320100694RR;
9;2280;1200;640;        641.000;CARDBOARD;;320100694RR;
10;2280;1200;640;        641.000;CARDBOARD;;320100694RR;
11;2280;1200;640;        641.000;CARDBOARD;;320100694RR;
12;2280;1200;640;        641.000;CARDBOARD;;320100694RR;
13;2280;1200;640;        641.000;CARDBOARD;;320100694RR;
14;2280;1200;640;        641.000;CARDBOARD;;320100694RR;
15;2280;1200;640;        641.000;CARDBOARD;;320100694RR;
16;1140;950;850;         54.810;CARDBOARD;;8200686267R;
17;1140;950;850;         54.810;CARDBOARD;;8200686267R;
18;1140;950;850;         54.810;CARDBOARD;;8200686267R;
19;1140;950;850;         54.810;CARDBOARD;;8200686267R;
20;1140;950;850;         54.810;CARDBOARD;;8200686267R;
21;1140;950;850;         54.810;CARDBOARD;;8200686267R;
22;1140;950;850;         54.810;CARDBOARD;;8200686267R;
23;1140;950;640;         63.200;CARDBOARD;;8200911877R;
24;2270;1170;1270;        560.831;METAL;;762H25339RR;
25;2270;1170;1270;       1068.378;METAL;;762H25339RR;
26;2270;1170;1270;       2559.711;METAL;;762H25339RR;
27;2270;1170;1270;        882.395;METAL;;762H25339RR;
28;1100;470;555;         22.202;CARDBOARD;;762H25339RR;
29;1140;950;850;         49.542;CARDBOARD;;175B14760RR;
30;1140;950;850;         54.810;CARDBOARD;;8200686267R;
31;1140;950;850;         54.810;CARDBOARD;;8200686267R;
32;1140;950;850;         66.960;CARDBOARD;;8200787623R;
33;1140;950;850;         66.960;CARDBOARD;;8200787623R;
34;2270;1170;1270;       1195.000;METAL;;8201188927R;
35;2270;1170;1270;       1195.000;METAL;;8201188927R;
36;1200;1000;745;         78.840;CARDBOARD;;144606143RR;
37;1140;950;640;         48.848;CARDBOARD;;217100014RR;
38;2280;1200;640;        641.000;CARDBOARD;;320100694RR;
39;2280;1200;640;        641.000;CARDBOARD;;320100694RR;
40;1140;950;640;         80.000;CARDBOARD;;8201047770R;
41;2270;1170;1270;       1195.000;METAL;;8201188632R;
42;2270;1170;1270;       1195.000;METAL;;8201188632R;
43;2270;1170;1270;       1195.000;METAL;;8201188632R;
44;2270;1170;1270;       1195.000;METAL;;8201188632R;
45;2270;1170;1270;       1195.000;METAL;;8201188632R;
46;2270;1170;1270;       1195.000;METAL;;8201188632R;
47;2270;1170;1270;       1195.000;METAL;;8201188632R;
48;2270;1170;1270;       1195.000;METAL;;8201188632R;
49;2270;1170;1270;       1195.000;METAL;;8201188632R;
50;2270;1170;1270;       1195.000;METAL;;8201188632R;
51;2270;1170;1270;       1195.000;METAL;;8201188632R;
52;2270;1170;1270;       1195.000;METAL;;8201188927R;
53;2270;1170;1270;       1195.000;METAL;;8201188927R;
54;2270;1170;1270;       1195.000;METAL;;8201188927R;
55;2270;1170;1270;       1195.000;METAL;;8201188927R;
56;2270;1170;1270;        855.000;METAL;;242100001RR;
57;1140;950;740;        150.156;CARDBOARD;;242100001RR;
58;1140;950;640;         78.950;CARDBOARD;;112533245RR;
59;1200;1000;745;         78.840;CARDBOARD;;144606143RR;
60;1140;950;850;         49.542;CARDBOARD;;175B14760RR;
61;1140;475;640;         45.000;CARDBOARD;;215030053RR;
62;1140;475;640;         45.000;CARDBOARD;;215030053RR;
63;1140;950;850;         53.040;CARDBOARD;;242300002RR;
64;2280;1200;640;        641.000;CARDBOARD;;320100694RR;
65;2280;1200;640;        641.000;CARDBOARD;;320100694RR;
66;2280;1200;640;        641.000;CARDBOARD;;320100694RR;
67;2280;1200;640;        641.000;CARDBOARD;;320100694RR;
68;2280;1200;640;        641.000;CARDBOARD;;320100694RR;
69;2280;1200;640;        641.000;CARDBOARD;;320100694RR;
70;1140;950;850;         54.810;CARDBOARD;;8200686267R;
71;1140;950;850;         54.810;CARDBOARD;;8200686267R;
72;1140;950;640;         80.000;CARDBOARD;;8201047770R;
73;2270;1170;1270;       1195.000;METAL;;8201188632R;
74;2270;1170;1270;       1195.000;METAL;;8201188632R;
75;2270;1170;1270;       1195.000;METAL;;8201188632R;
76;2270;1170;1270;       1195.000;METAL;;8201188632R;
77;2270;1170;1270;       1195.000;METAL;;8201188632R;
78;2270;1170;1270;       1195.000;METAL;;8201188632R;
79;2270;1170;1270;       1195.000;METAL;;8201188632R;
80;2270;1170;1270;       1195.000;METAL;;8201188632R;
81;2270;1170;1270;       1195.000;METAL;;8201188927R;
82;2270;1170;1270;       1195.000;METAL;;8201188927R;
83;1200;1000;645;         91.120;CARDBOARD;;922002126RR;
84;1140;950;850;         93.210;CARDBOARD;;924000059RR;
85;1740;1140;1250;        416.620;CARDBOARD;;8200011650R;
86;1140;475;640;         45.000;CARDBOARD;;215030053RR;
87;1140;475;640;         45.000;CARDBOARD;;215030053RR;
88;2280;1200;640;        641.000;CARDBOARD;;320100694RR;
89;2280;1200;640;        641.000;CARDBOARD;;320100694RR;
90;2280;1200;640;        641.000;CARDBOARD;;320100694RR;
91;2280;1200;640;        641.000;CARDBOARD;;320100694RR;
92;2280;1200;640;        641.000;CARDBOARD;;320100694RR;
93;2280;1200;640;        641.000;CARDBOARD;;320100694RR;
94;1200;1000;1000;        122.000;CARDBOARD;;8200682558R;
95;1140;950;850;         66.960;CARDBOARD;;8200787623R;
96;1140;950;850;         66.960;CARDBOARD;;8200787623R;
97;1140;950;850;         66.960;CARDBOARD;;8200787623R;
98;1140;950;850;         66.960;CARDBOARD;;8200787623R;
99;1140;950;850;         66.960;CARDBOARD;;8200787623R;
100;1140;950;850;         66.960;CARDBOARD;;8200787623R;
101;1140;950;640;         80.000;CARDBOARD;;8201047770R;
102;1140;950;640;         80.000;CARDBOARD;;8201047770R;
103;1140;950;640;         80.000;CARDBOARD;;8201047770R;
104;1140;950;640;         80.000;CARDBOARD;;8201047770R;
105;1140;950;640;         80.000;CARDBOARD;;8201047770R;
106;2270;1170;1270;       1195.000;METAL;;8201188632R;
107;2270;1170;1270;       1195.000;METAL;;8201188632R;
108;2270;1170;1270;       1195.000;METAL;;8201188632R;
109;2270;1170;1270;       1195.000;METAL;;8201188927R;
110;2270;1170;1270;       1195.000;METAL;;8201188927R;
111;2270;1170;1270;       1195.000;METAL;;8201188927R;
112;1200;1000;645;         91.120;CARDBOARD;;922002126RR;
113;1200;1000;645;         91.120;CARDBOARD;;922002126RR;
114;1140;950;850;         93.210;CARDBOARD;;924000059RR;
115;1140;950;850;         93.210;CARDBOARD;;924000059RR;
116;1200;1000;750;         24.095;CARDBOARD;;924400810RR;
117;1200;1000;750;         24.095;CARDBOARD;;924400810RR;
118;1200;1000;750;         24.095;CARDBOARD;;924400810RR;
