item code;length (mm);width (mm);height (mm);weight (kg);Package material;Orientation constrained;Product;
0;2300;1600;930;       1091.200;CARDBOARD;;100010419RR;
1;2300;1600;930;       1091.200;CARDBOARD;;100010419RR;
2;2300;1600;930;       1091.200;CARDBOARD;;100010419RR;
3;2300;1600;930;       1041.600;CARDBOARD;;100016224RR;
4;2300;1600;930;       1041.600;CARDBOARD;;100016224RR;
5;2300;1600;930;       1041.600;CARDBOARD;;100016224RR;
6;2300;1600;930;       1041.600;CARDBOARD;;100016224RR;
7;2300;1600;930;       1041.600;CARDBOARD;;100016224RR;
8;2300;1600;930;       1041.600;CARDBOARD;;100016224RR;
9;2300;1600;930;       1041.600;CARDBOARD;;100016224RR;
10;2300;1420;950;       1051.600;CARDBOARD;;100019646RR;
11;2300;1420;950;       1051.600;CARDBOARD;;100019646RR;
12;2300;1420;950;       1051.600;CARDBOARD;;100019646RR;
13;2300;1420;950;       1051.600;CARDBOARD;;100019646RR;
14;1650;1150;1018;        572.400;CARDBOARD;;320104244RR;
15;1650;1150;1018;        572.400;CARDBOARD;;320104244RR;
16;600;400;300;          6.500;CARDBOARD;;479454698RR;
17;600;400;300;          6.500;CARDBOARD;;479454698RR;
18;600;400;300;          6.500;CARDBOARD;;479454698RR;
19;600;400;300;          6.500;CARDBOARD;;479454698RR;
20;600;400;300;         14.000;CARDBOARD;;483828592RR;
21;2300;1600;930;       1091.200;CARDBOARD;;100010419RR;
22;2300;1600;930;       1091.200;CARDBOARD;;100010419RR;
23;2300;1600;930;       1041.600;CARDBOARD;;100016224RR;
24;2300;1600;930;       1041.600;CARDBOARD;;100016224RR;
25;1140;950;850;         74.600;CARDBOARD;;165001258RR;
26;1140;950;850;         74.600;CARDBOARD;;165001258RR;
27;1140;950;850;         95.800;CARDBOARD;;165757148RR;
28;1470;1160;1085;         83.900;CARDBOARD;;803308958RR;
29;1140;950;850;        298.500;CARDBOARD;;8200781501R;
30;1140;950;850;        300.000;CARDBOARD;;8200781502R;
31;1140;950;850;        170.400;CARDBOARD;;822304066RR;
32;1140;950;850;        170.400;CARDBOARD;;822312401RR;
33;1470;1160;1085;         69.100;CARDBOARD;;823306087RR;
34;1470;1160;1085;         69.100;CARDBOARD;;823306087RR;
35;1470;1160;1085;         69.100;CARDBOARD;;823306087RR;
36;1470;1160;1085;         69.100;CARDBOARD;;823306087RR;
37;1470;1160;1085;         69.100;CARDBOARD;;823306087RR;
38;1200;1000;750;        147.100;CARDBOARD;;823307566RR;
39;1470;1160;1085;         69.100;CARDBOARD;;823311892RR;
40;1470;1160;1085;         69.100;CARDBOARD;;823311892RR;
41;1470;1160;1085;         69.100;CARDBOARD;;823311892RR;
42;1470;1160;1085;         69.100;CARDBOARD;;823311892RR;
43;1470;1160;1085;         69.100;CARDBOARD;;823311892RR;
44;1200;1000;750;        147.100;CARDBOARD;;823318626RR;
45;1450;1140;850;         81.300;CARDBOARD;WIDTHWISE;963016848RR;
46;1450;1140;850;         81.300;CARDBOARD;WIDTHWISE;963016848RR;
47;1450;1140;850;         81.300;CARDBOARD;WIDTHWISE;963016848RR;
48;1450;1140;850;         81.300;CARDBOARD;WIDTHWISE;963016853RR;
49;1450;1140;850;         81.300;CARDBOARD;WIDTHWISE;963020587RR;
50;1450;1140;850;         81.300;CARDBOARD;WIDTHWISE;963025411RR;
51;1450;1140;850;         81.300;CARDBOARD;WIDTHWISE;963025411RR;
52;2300;1420;950;       1051.600;CARDBOARD;;100019175RR;
53;2300;1420;950;       1051.600;CARDBOARD;;100019175RR;
54;2300;1420;950;       1051.600;CARDBOARD;;100019175RR;
55;2300;1420;950;       1051.600;CARDBOARD;;100019175RR;
56;2300;1420;950;       1051.600;CARDBOARD;;100019175RR;
57;2300;1420;950;       1051.600;CARDBOARD;;100019175RR;
58;2300;1420;950;       1051.600;CARDBOARD;;100019175RR;
59;2300;1420;950;       1051.600;CARDBOARD;;100019175RR;
60;2300;1420;950;       1051.600;CARDBOARD;;100019175RR;
61;2300;1420;950;       1051.600;CARDBOARD;;100019175RR;
62;2300;1420;950;       1051.600;CARDBOARD;;100019175RR;
63;2300;1420;950;       1051.600;CARDBOARD;;100019175RR;
64;2300;1420;950;       1051.600;CARDBOARD;;100019175RR;
65;2300;1420;950;       1051.600;CARDBOARD;;100019175RR;
66;2300;1420;950;       1051.600;CARDBOARD;;100019175RR;
67;2300;1420;950;       1051.600;CARDBOARD;;100019175RR;
68;1800;1200;700;        402.100;CARDBOARD;;320109641RR;
69;1800;1200;700;        402.100;CARDBOARD;;320109641RR;
70;1800;1200;700;        402.100;CARDBOARD;;320109641RR;
71;1800;1200;700;        402.100;CARDBOARD;;320109641RR;
72;1800;1200;700;        402.100;CARDBOARD;;320109641RR;
73;1450;1140;850;        175.000;CARDBOARD;WIDTHWISE;349017122RR;
74;1600;1200;1200;       1277.600;CARDBOARD;;402000614RR;
75;1600;1200;1200;       1315.200;CARDBOARD;;402007918RR;
76;1600;1200;1200;       1315.200;CARDBOARD;;402007918RR;
77;1600;1200;1200;       1315.200;CARDBOARD;;402007918RR;
78;1600;1200;1200;       1315.200;CARDBOARD;;402007918RR;
79;1600;1200;1200;       1315.200;CARDBOARD;;402007918RR;
80;1600;1200;1200;       1315.200;CARDBOARD;;402007918RR;
81;1200;1000;550;        118.100;CARDBOARD;;462102786RR;
82;1200;1000;550;        142.100;CARDBOARD;;462109718RR;
83;2280;950;320;        194.000;CARDBOARD;;462402668RR;
84;1200;1000;550;        131.900;CARDBOARD;;462500309RR;
85;1200;1000;550;        139.900;CARDBOARD;;462522692RR;
86;2280;950;320;        176.000;CARDBOARD;;462828152RR;
87;2280;950;320;        170.000;CARDBOARD;;462834966RR;
88;1140;950;850;        264.500;CARDBOARD;;540100332RR;
89;1140;950;850;        264.500;CARDBOARD;;540103774RR;
90;1140;950;850;        264.500;CARDBOARD;;540103774RR;
91;1140;950;850;        264.500;CARDBOARD;;540103774RR;
92;1200;1000;1025;        241.000;CARDBOARD;;543021807RR;
93;1200;1000;1025;        241.000;CARDBOARD;;543021807RR;
94;1200;1000;1025;        241.000;CARDBOARD;;543021807RR;
95;1200;1000;1025;        241.000;CARDBOARD;;543021807RR;
96;1200;1000;1025;        241.000;CARDBOARD;;543021807RR;
97;1140;950;850;        370.100;CARDBOARD;;550202497RR;
98;1140;950;850;        370.100;CARDBOARD;;550202497RR;
99;1470;1160;1085;         83.900;CARDBOARD;;803308958RR;
100;1470;1160;1085;         83.900;CARDBOARD;;803308958RR;
101;1470;1160;1085;         83.900;CARDBOARD;;803308958RR;
102;2300;1420;950;       1051.600;CARDBOARD;;100010640RR;
103;2300;1420;950;       1051.600;CARDBOARD;;100010640RR;
104;2300;1420;950;       1051.600;CARDBOARD;;100010640RR;
105;2300;1420;950;       1051.600;CARDBOARD;;100010640RR;
106;2300;1420;950;       1051.600;CARDBOARD;;100019175RR;
107;2300;1420;950;       1051.600;CARDBOARD;;100019175RR;
108;2300;1420;950;       1051.600;CARDBOARD;;100019175RR;
109;2300;1420;950;       1051.600;CARDBOARD;;100019175RR;
110;2300;1420;950;       1051.600;CARDBOARD;;100019175RR;
111;2300;1420;950;       1051.600;CARDBOARD;;100019175RR;
112;2300;1420;950;       1051.600;CARDBOARD;;100019175RR;
