item code;length (mm);width (mm);height (mm);weight (kg);Package material;Orientation constrained;Product;
0;1200;1000;1400;        193.000;WOOD;;172023616RO;
1;1200;1000;1400;        193.000;WOOD;;172023616RO;
2;1140;950;850;         56.160;CARDBOARD;;172214902RO;
3;1140;950;850;         56.160;CARDBOARD;;172214902RO;
4;1140;950;850;         56.160;CARDBOARD;;172214902RO;
5;1140;950;850;         56.160;CARDBOARD;;172214902RO;
6;1140;950;850;         56.160;CARDBOARD;;172214902RO;
7;1140;950;850;         56.160;CARDBOARD;;172214902RO;
8;1140;950;850;         56.160;CARDBOARD;;172214902RO;
9;1140;950;850;         56.160;CARDBOARD;;172214902RO;
10;1140;950;850;         56.160;CARDBOARD;;172214902RO;
11;1140;950;850;         56.160;CARDBOARD;;172214902RO;
12;1140;950;850;         70.200;CARDBOARD;;172216692RO;
13;1140;950;850;         70.200;CARDBOARD;;172216692RO;
14;1140;950;850;         70.200;CARDBOARD;;172216692RO;
15;1140;950;850;         70.200;CARDBOARD;;172216692RO;
16;1140;950;850;         70.200;CARDBOARD;;172216692RO;
17;1140;950;850;         70.200;CARDBOARD;;172216692RO;
18;1140;950;850;         70.200;CARDBOARD;;172216692RO;
19;1100;470;555;         42.202;CARDBOARD;;8200747642O;
20;1200;1000;1400;        193.000;WOOD;;172023616RO;
21;1200;1000;1400;        193.000;WOOD;;172023616RO;
22;1200;1000;1400;        193.000;WOOD;;172023616RO;
23;1140;950;850;         56.160;CARDBOARD;;172214902RO;
24;1140;950;850;         56.160;CARDBOARD;;172214902RO;
25;1140;950;850;         56.160;CARDBOARD;;172214902RO;
26;1140;950;850;         56.160;CARDBOARD;;172214902RO;
27;1140;950;850;         56.160;CARDBOARD;;172214902RO;
28;1140;950;850;         56.160;CARDBOARD;;172214902RO;
29;1140;950;850;         56.160;CARDBOARD;;172214902RO;
30;1140;950;850;         56.160;CARDBOARD;;172214902RO;
31;1140;950;850;         56.160;CARDBOARD;;172214902RO;
32;1140;950;850;         56.160;CARDBOARD;;172214902RO;
33;1140;950;850;         70.200;CARDBOARD;;172216692RO;
34;1140;950;850;         70.200;CARDBOARD;;172216692RO;
35;1140;950;850;         70.200;CARDBOARD;;172216692RO;
36;1140;950;850;         70.200;CARDBOARD;;172216692RO;
37;1140;950;850;         70.200;CARDBOARD;;172216692RO;
38;1140;950;850;         70.200;CARDBOARD;;172216692RO;
39;1140;950;850;         70.200;CARDBOARD;;172216692RO;
40;1450;1140;850;        124.000;CARDBOARD;;8200386495O;
41;1140;950;555;         88.000;CARDBOARD;;7700807094O;
42;1200;1000;1400;        193.000;WOOD;;172023616RO;
43;1200;1000;1400;        193.000;WOOD;;172023616RO;
44;1140;950;850;         56.160;CARDBOARD;;172214902RO;
45;1140;950;850;         56.160;CARDBOARD;;172214902RO;
46;1140;950;850;         56.160;CARDBOARD;;172214902RO;
47;1140;950;850;         56.160;CARDBOARD;;172214902RO;
48;1140;950;850;         56.160;CARDBOARD;;172214902RO;
49;1140;950;850;         56.160;CARDBOARD;;172214902RO;
50;1140;950;850;         56.160;CARDBOARD;;172214902RO;
51;1140;950;850;         56.160;CARDBOARD;;172214902RO;
52;1140;950;850;         56.160;CARDBOARD;;172214902RO;
53;1140;950;850;         56.160;CARDBOARD;;172214902RO;
54;1140;950;850;         70.200;CARDBOARD;;172216692RO;
55;1140;950;850;         70.200;CARDBOARD;;172216692RO;
56;1140;950;850;         70.200;CARDBOARD;;172216692RO;
57;1140;950;850;         70.200;CARDBOARD;;172216692RO;
58;1140;950;850;         70.200;CARDBOARD;;172216692RO;
59;1140;950;850;         70.200;CARDBOARD;;172216692RO;
60;1140;950;850;         70.200;CARDBOARD;;172216692RO;
61;1100;470;555;         48.202;CARDBOARD;;7700807094O;
62;1200;1000;1400;        193.000;WOOD;;172023616RO;
63;1200;1000;1400;        193.000;WOOD;;172023616RO;
64;1200;1000;1400;        193.000;WOOD;;172023616RO;
65;1140;950;850;         56.160;CARDBOARD;;172214902RO;
66;1140;950;850;         56.160;CARDBOARD;;172214902RO;
67;1140;950;850;         56.160;CARDBOARD;;172214902RO;
68;1140;950;850;         56.160;CARDBOARD;;172214902RO;
69;1140;950;850;         56.160;CARDBOARD;;172214902RO;
70;1140;950;850;         56.160;CARDBOARD;;172214902RO;
71;1140;950;850;         56.160;CARDBOARD;;172214902RO;
72;1140;950;850;         56.160;CARDBOARD;;172214902RO;
73;1140;950;850;         56.160;CARDBOARD;;172214902RO;
74;1140;950;850;         56.160;CARDBOARD;;172214902RO;
75;1140;950;850;         70.200;CARDBOARD;;172216692RO;
76;1140;950;850;         70.200;CARDBOARD;;172216692RO;
77;1140;950;850;         70.200;CARDBOARD;;172216692RO;
78;1140;950;850;         70.200;CARDBOARD;;172216692RO;
79;1140;950;850;         70.200;CARDBOARD;;172216692RO;
80;1140;950;850;         70.200;CARDBOARD;;172216692RO;
81;1140;950;850;         70.200;CARDBOARD;;172216692RO;
82;1450;1140;850;        124.000;CARDBOARD;;8200386495O;
83;1140;950;555;         88.000;CARDBOARD;;8200585010O;
84;1200;1000;1400;        193.000;WOOD;;172023616RO;
85;1200;1000;1400;        193.000;WOOD;;172023616RO;
86;1140;950;850;         56.160;CARDBOARD;;172214902RO;
87;1140;950;850;         56.160;CARDBOARD;;172214902RO;
88;1140;950;850;         56.160;CARDBOARD;;172214902RO;
89;1140;950;850;         56.160;CARDBOARD;;172214902RO;
90;1140;950;850;         56.160;CARDBOARD;;172214902RO;
91;1140;950;850;         56.160;CARDBOARD;;172214902RO;
92;1140;950;850;         56.160;CARDBOARD;;172214902RO;
93;1140;950;850;         56.160;CARDBOARD;;172214902RO;
94;1140;950;850;         56.160;CARDBOARD;;172214902RO;
95;1140;950;850;         56.160;CARDBOARD;;172214902RO;
96;1140;950;850;         70.200;CARDBOARD;;172216692RO;
97;1140;950;850;         70.200;CARDBOARD;;172216692RO;
98;1140;950;850;         70.200;CARDBOARD;;172216692RO;
99;1140;950;850;         70.200;CARDBOARD;;172216692RO;
100;1140;950;850;         70.200;CARDBOARD;;172216692RO;
101;1140;950;850;         70.200;CARDBOARD;;172216692RO;
102;1140;950;850;         70.200;CARDBOARD;;172216692RO;
103;1100;470;555;         48.202;CARDBOARD;;7700807094O;
104;1200;1000;1400;        193.000;WOOD;;172023616RO;
105;1200;1000;1400;        193.000;WOOD;;172023616RO;
106;1140;950;850;         56.160;CARDBOARD;;172214902RO;
107;1140;950;850;         56.160;CARDBOARD;;172214902RO;
108;1140;950;850;         56.160;CARDBOARD;;172214902RO;
109;1140;950;850;         56.160;CARDBOARD;;172214902RO;
110;1140;950;850;         56.160;CARDBOARD;;172214902RO;
111;1140;950;850;         56.160;CARDBOARD;;172214902RO;
112;1140;950;850;         56.160;CARDBOARD;;172214902RO;
113;1140;950;850;         56.160;CARDBOARD;;172214902RO;
114;1140;950;850;         56.160;CARDBOARD;;172214902RO;
115;1140;950;850;         56.160;CARDBOARD;;172214902RO;
116;1140;950;850;         70.200;CARDBOARD;;172216692RO;
117;1140;950;850;         70.200;CARDBOARD;;172216692RO;
118;1140;950;850;         70.200;CARDBOARD;;172216692RO;
119;1140;950;850;         70.200;CARDBOARD;;172216692RO;
120;1140;950;850;         70.200;CARDBOARD;;172216692RO;
121;1140;950;850;         70.200;CARDBOARD;;172216692RO;
122;1140;950;850;         70.200;CARDBOARD;;172216692RO;
123;1100;470;555;         48.202;CARDBOARD;;172285546RO;
124;1200;1000;1400;        193.000;WOOD;;172023616RO;
125;1200;1000;1400;        193.000;WOOD;;172023616RO;
126;1140;950;850;         56.160;CARDBOARD;;172214902RO;
127;1140;950;850;         56.160;CARDBOARD;;172214902RO;
128;1140;950;850;         56.160;CARDBOARD;;172214902RO;
129;1140;950;850;         56.160;CARDBOARD;;172214902RO;
130;1140;950;850;         56.160;CARDBOARD;;172214902RO;
131;1140;950;850;         56.160;CARDBOARD;;172214902RO;
132;1140;950;850;         56.160;CARDBOARD;;172214902RO;
133;1140;950;850;         56.160;CARDBOARD;;172214902RO;
134;1140;950;850;         56.160;CARDBOARD;;172214902RO;
135;1140;950;850;         56.160;CARDBOARD;;172214902RO;
136;1140;950;850;         70.200;CARDBOARD;;172216692RO;
137;1140;950;850;         70.200;CARDBOARD;;172216692RO;
138;1140;950;850;         70.200;CARDBOARD;;172216692RO;
139;1140;950;850;         70.200;CARDBOARD;;172216692RO;
140;1140;950;850;         70.200;CARDBOARD;;172216692RO;
141;1140;950;850;         70.200;CARDBOARD;;172216692RO;
142;1140;950;850;         70.200;CARDBOARD;;172216692RO;
143;1100;470;555;         42.202;CARDBOARD;;7700807094O;
144;1200;1000;1400;        193.000;WOOD;;172023616RO;
145;1200;1000;1400;        193.000;WOOD;;172023616RO;
146;1200;1000;1400;        193.000;WOOD;;172023616RO;
147;1140;950;850;         56.160;CARDBOARD;;172214902RO;
148;1140;950;850;         56.160;CARDBOARD;;172214902RO;
149;1140;950;850;         56.160;CARDBOARD;;172214902RO;
150;1140;950;850;         56.160;CARDBOARD;;172214902RO;
151;1140;950;850;         56.160;CARDBOARD;;172214902RO;
152;1140;950;850;         56.160;CARDBOARD;;172214902RO;
153;1140;950;850;         56.160;CARDBOARD;;172214902RO;
154;1140;950;850;         56.160;CARDBOARD;;172214902RO;
155;1140;950;850;         56.160;CARDBOARD;;172214902RO;
156;1140;950;850;         56.160;CARDBOARD;;172214902RO;
157;1140;950;850;         70.200;CARDBOARD;;172216692RO;
158;1140;950;850;         70.200;CARDBOARD;;172216692RO;
159;1140;950;850;         70.200;CARDBOARD;;172216692RO;
160;1140;950;850;         70.200;CARDBOARD;;172216692RO;
161;1140;950;850;         70.200;CARDBOARD;;172216692RO;
162;1140;950;850;         70.200;CARDBOARD;;172216692RO;
163;1140;950;850;         70.200;CARDBOARD;;172216692RO;
164;1450;1140;850;        124.000;CARDBOARD;;8200386495O;
165;1140;950;555;         80.000;CARDBOARD;;7700807094O;
166;1200;1000;1400;        193.000;WOOD;;172023616RO;
167;1200;1000;1400;        193.000;WOOD;;172023616RO;
168;1140;950;850;         56.160;CARDBOARD;;172214902RO;
169;1140;950;850;         56.160;CARDBOARD;;172214902RO;
170;1140;950;850;         56.160;CARDBOARD;;172214902RO;
171;1140;950;850;         56.160;CARDBOARD;;172214902RO;
172;1140;950;850;         56.160;CARDBOARD;;172214902RO;
173;1140;950;850;         56.160;CARDBOARD;;172214902RO;
174;1140;950;850;         56.160;CARDBOARD;;172214902RO;
175;1140;950;850;         56.160;CARDBOARD;;172214902RO;
176;1140;950;850;         56.160;CARDBOARD;;172214902RO;
177;1140;950;850;         56.160;CARDBOARD;;172214902RO;
178;1140;950;850;         70.200;CARDBOARD;;172216692RO;
179;1140;950;850;         70.200;CARDBOARD;;172216692RO;
180;1140;950;850;         70.200;CARDBOARD;;172216692RO;
181;1140;950;850;         70.200;CARDBOARD;;172216692RO;
182;1140;950;850;         70.200;CARDBOARD;;172216692RO;
183;1140;950;850;         70.200;CARDBOARD;;172216692RO;
184;1140;950;850;         70.200;CARDBOARD;;172216692RO;
185;1100;470;555;         42.202;CARDBOARD;;8200747642O;
186;1200;1000;1400;        193.000;WOOD;;172023616RO;
187;1200;1000;1400;        193.000;WOOD;;172023616RO;
188;1200;1000;1400;        193.000;WOOD;;172023616RO;
189;1140;950;850;         56.160;CARDBOARD;;172214902RO;
190;1140;950;850;         56.160;CARDBOARD;;172214902RO;
191;1140;950;850;         56.160;CARDBOARD;;172214902RO;
192;1140;950;850;         56.160;CARDBOARD;;172214902RO;
193;1140;950;850;         56.160;CARDBOARD;;172214902RO;
194;1140;950;850;         56.160;CARDBOARD;;172214902RO;
195;1140;950;850;         56.160;CARDBOARD;;172214902RO;
196;1140;950;850;         56.160;CARDBOARD;;172214902RO;
197;1140;950;850;         56.160;CARDBOARD;;172214902RO;
198;1140;950;850;         56.160;CARDBOARD;;172214902RO;
199;1140;950;850;         70.200;CARDBOARD;;172216692RO;
200;1140;950;850;         70.200;CARDBOARD;;172216692RO;
201;1140;950;850;         70.200;CARDBOARD;;172216692RO;
202;1140;950;850;         70.200;CARDBOARD;;172216692RO;
203;1140;950;850;         70.200;CARDBOARD;;172216692RO;
204;1140;950;850;         70.200;CARDBOARD;;172216692RO;
205;1140;950;850;         70.200;CARDBOARD;;172216692RO;
206;1450;1140;850;        124.000;CARDBOARD;;8200386495O;
207;1140;950;555;         74.000;CARDBOARD;;172285546RO;
