item code;length (mm);width (mm);height (mm);weight (kg);Package material;Orientation constrained;Product;
0;1450;1140;640;         30.520;CARDBOARD;;749415552RZ;
1;1450;1140;640;         30.520;CARDBOARD;;749415552RZ;
2;1450;1140;640;         30.520;CARDBOARD;;749415552RZ;
3;1450;1140;640;         30.520;CARDBOARD;;749415552RZ;
4;1450;1140;640;         30.520;CARDBOARD;;749415552RZ;
5;1450;1140;640;         30.520;CARDBOARD;;749415552RZ;
6;1450;1140;640;         30.520;CARDBOARD;;749415552RZ;
7;1450;1140;640;         30.520;CARDBOARD;;749415552RZ;
8;1450;1140;640;         30.520;CARDBOARD;;749415552RZ;
9;1450;1140;640;         30.520;CARDBOARD;;749415552RZ;
10;1450;1140;640;         30.520;CARDBOARD;;749415552RZ;
11;1140;950;850;         40.800;CARDBOARD;;749489241RZ;
12;1140;950;850;         40.800;CARDBOARD;;749489241RZ;
13;1140;475;640;         26.750;CARDBOARD;WIDTHWISE;769117516RZ;
14;1140;475;640;         26.750;CARDBOARD;WIDTHWISE;769117516RZ;
15;1140;475;640;         26.750;CARDBOARD;WIDTHWISE;769117516RZ;
16;1140;475;640;         26.750;CARDBOARD;WIDTHWISE;769124132RZ;
17;1140;475;640;         26.750;CARDBOARD;WIDTHWISE;769124132RZ;
18;1140;475;640;         26.750;CARDBOARD;WIDTHWISE;769124132RZ;
19;1140;475;640;         25.400;CARDBOARD;WIDTHWISE;769131666RZ;
20;1140;475;640;         25.400;CARDBOARD;WIDTHWISE;769131666RZ;
21;1140;475;640;         25.400;CARDBOARD;WIDTHWISE;769131666RZ;
22;1140;475;640;         25.400;CARDBOARD;WIDTHWISE;769131666RZ;
23;1140;475;640;         25.400;CARDBOARD;WIDTHWISE;769131666RZ;
24;1140;475;640;         25.400;CARDBOARD;WIDTHWISE;769142765RZ;
25;1140;475;640;         25.400;CARDBOARD;WIDTHWISE;769142765RZ;
26;1140;475;640;         25.400;CARDBOARD;WIDTHWISE;769142765RZ;
27;1140;475;640;         25.400;CARDBOARD;WIDTHWISE;769142765RZ;
28;1140;475;640;         25.400;CARDBOARD;WIDTHWISE;769142765RZ;
29;1200;1000;1045;         82.000;CARDBOARD;;788538312RZ;
30;1450;1140;850;        212.000;CARDBOARD;LENGTHWISE;794208823RZ;
31;1450;1140;850;        212.000;CARDBOARD;LENGTHWISE;794208823RZ;
32;1450;1140;850;        212.000;CARDBOARD;LENGTHWISE;794208823RZ;
33;1550;800;840;        345.000;WOOD;;803004700RZ;
34;1550;800;840;        345.000;WOOD;;803004700RZ;
35;1550;800;840;        345.000;WOOD;;803004700RZ;
36;1550;800;840;        355.000;WOOD;;803017281RZ;
37;1550;800;840;        355.000;WOOD;;803017281RZ;
38;1550;800;840;        355.000;WOOD;;803017281RZ;
39;1140;950;850;        446.400;CARDBOARD;;804302559RZ;
40;1140;950;640;        137.000;CARDBOARD;;808321804RZ;
41;1140;950;640;        137.000;CARDBOARD;;808321804RZ;
42;1140;950;640;        137.000;CARDBOARD;;808321804RZ;
43;1140;950;640;        137.000;CARDBOARD;;808321804RZ;
44;1740;1140;850;         62.360;CARDBOARD;;809000922RZ;
45;1740;1140;850;         62.360;CARDBOARD;;809000922RZ;
46;1740;1140;850;         62.360;CARDBOARD;;809000922RZ;
47;2270;1170;1270;        802.200;METAL;WIDTHWISE;806071177RZ;
48;2270;1170;1270;        609.500;METAL;WIDTHWISE;806071177RZ;
49;2270;1170;1270;        432.370;METAL;WIDTHWISE;806071177RZ;
50;2270;1170;1270;       2178.880;METAL;WIDTHWISE;806071177RZ;
51;1740;1140;1250;        723.360;CARDBOARD;;806071177RZ;
52;1815;1140;850;         44.200;CARDBOARD;;620103237VZ;
53;1815;1140;850;         44.200;CARDBOARD;;620103237VZ;
54;1815;1140;850;         44.200;CARDBOARD;;620103237VZ;
55;1815;1140;850;         44.200;CARDBOARD;;620103237VZ;
56;1815;1140;850;         44.200;CARDBOARD;;620103237VZ;
57;1815;1140;850;         44.200;CARDBOARD;;620103237VZ;
58;1815;1140;850;         44.200;CARDBOARD;;620103237VZ;
59;1815;1140;850;         44.200;CARDBOARD;;620103237VZ;
60;1815;1140;850;         44.200;CARDBOARD;;620103237VZ;
61;1815;1140;850;         44.200;CARDBOARD;;620103237VZ;
62;1815;1140;850;         44.200;CARDBOARD;;620103237VZ;
63;1815;1140;850;         44.200;CARDBOARD;;620103237VZ;
64;1815;1140;850;         44.200;CARDBOARD;;620103237VZ;
65;1815;1140;850;         44.200;CARDBOARD;;620103237VZ;
66;1815;1140;850;         44.200;CARDBOARD;;620103237VZ;
67;1815;1140;850;         44.200;CARDBOARD;;620103237VZ;
68;1815;1140;850;         44.200;CARDBOARD;;620103237VZ;
69;1815;1140;850;         44.200;CARDBOARD;;620103237VZ;
70;1815;1140;850;         44.200;CARDBOARD;;620103237VZ;
71;1815;1140;850;         44.200;CARDBOARD;;620103237VZ;
72;1815;1140;850;         44.200;CARDBOARD;;620103237VZ;
73;1815;1140;850;         44.200;CARDBOARD;;620103237VZ;
74;1815;1140;850;         44.200;CARDBOARD;;620103237VZ;
75;1815;1140;850;         44.200;CARDBOARD;;620103237VZ;
76;1815;1140;850;         44.200;CARDBOARD;;620103237VZ;
77;1815;1140;850;         44.200;CARDBOARD;;620103237VZ;
78;1815;1140;850;         44.200;CARDBOARD;;620103237VZ;
79;1815;1140;850;         44.200;CARDBOARD;;620103237VZ;
80;1815;1140;850;         44.200;CARDBOARD;;620103237VZ;
81;1815;1140;850;         44.200;CARDBOARD;;620103237VZ;
82;1815;1140;850;         44.200;CARDBOARD;;620103237VZ;
83;1815;1140;850;         44.200;CARDBOARD;;620103237VZ;
84;1815;1140;850;         44.200;CARDBOARD;;620103237VZ;
85;1815;1140;850;         44.200;CARDBOARD;;620103237VZ;
86;1815;1140;850;         44.200;CARDBOARD;;620103945VZ;
87;1815;1140;850;         44.200;CARDBOARD;;620103945VZ;
