item code;length (mm);width (mm);height (mm);weight (kg);Package material;Orientation constrained;Product;
0;1250;1050;850;        132.100;CARDBOARD;;165787233RA;
1;1200;1000;1045;         71.800;CARDBOARD;;214990922RA;
2;1200;1000;1045;         82.600;CARDBOARD;;214998005RA;
3;1200;1000;745;         58.000;CARDBOARD;;244977886RA;
4;1450;1140;850;         90.400;CARDBOARD;LENGTHWISE;260101517RA;
5;1450;1140;850;         90.400;CARDBOARD;LENGTHWISE;260101517RA;
6;1450;1140;850;         90.400;CARDBOARD;LENGTHWISE;260101517RA;
7;1450;1140;850;         90.400;CARDBOARD;LENGTHWISE;260101517RA;
8;1450;1140;850;         90.400;CARDBOARD;LENGTHWISE;260606836RA;
9;1450;1140;850;         90.400;CARDBOARD;LENGTHWISE;260606836RA;
10;1450;1140;850;         90.400;CARDBOARD;LENGTHWISE;260606836RA;
11;1450;1140;850;         90.400;CARDBOARD;LENGTHWISE;260606836RA;
12;1450;1140;740;        182.700;CARDBOARD;;360109431RA;
13;1450;1140;850;        207.800;CARDBOARD;LENGTHWISE;430185761RA;
14;1450;1140;850;        207.800;CARDBOARD;LENGTHWISE;430185761RA;
15;1450;1140;850;        207.800;CARDBOARD;LENGTHWISE;430185761RA;
16;1450;1140;850;        217.660;CARDBOARD;LENGTHWISE;430195559RA;
17;1450;1140;850;        217.660;CARDBOARD;LENGTHWISE;430195559RA;
18;1450;1140;850;        217.660;CARDBOARD;LENGTHWISE;430195559RA;
19;1250;1050;850;        331.000;CARDBOARD;;432150010RA;
20;1140;950;850;         96.000;CARDBOARD;;663A00006RA;
21;1200;1000;345;         99.500;CARDBOARD;;671510007RA;
22;1140;950;850;         54.000;CARDBOARD;;673500017RA;
23;1140;950;850;         72.300;CARDBOARD;;739820025RA;
24;1450;1140;555;        843.000;CARDBOARD;;760120010RA;
25;1140;475;640;        353.900;CARDBOARD;;764542155RA;
26;1140;475;640;        434.000;CARDBOARD;;7700430240A;
27;1140;950;640;        337.000;CARDBOARD;;794214828RA;
28;1140;950;640;        140.510;CARDBOARD;;808320004RA;
29;2020;1300;880;        712.000;WOOD;LENGTHWISE;8201092867A;
30;1450;1140;1375;        534.000;WOOD;;821125802RA;
31;1450;1140;1375;        534.000;WOOD;;821139150RA;
32;1450;1140;850;         63.490;CARDBOARD;LENGTHWISE;823300028RA;
33;1450;1140;850;         63.490;CARDBOARD;LENGTHWISE;823310030RA;
34;1450;1140;850;         63.490;CARDBOARD;LENGTHWISE;823310030RA;
