item code;length (mm);width (mm);height (mm);weight (kg);Package material;Orientation constrained;Product;
0;1140;475;640;        215.240;CARDBOARD;WIDTHWISE;767540001RA;
1;1140;475;640;        218.000;CARDBOARD;WIDTHWISE;8200396824A;
2;1140;475;640;        218.000;CARDBOARD;WIDTHWISE;8200396824A;
3;1140;950;850;        118.500;CARDBOARD;;226755893RE;
4;1140;950;640;        387.200;CARDBOARD;;231008432RE;
5;1140;950;850;         41.600;CARDBOARD;;260608744RE;
6;1140;950;850;         41.600;CARDBOARD;;260608744RE;
7;1140;950;850;         41.600;CARDBOARD;;260608744RE;
8;1140;950;850;         41.600;CARDBOARD;;260608744RE;
9;1140;950;850;         41.600;CARDBOARD;;260608744RE;
10;1140;950;850;         41.600;CARDBOARD;;260608744RE;
11;1140;950;850;         41.600;CARDBOARD;;260608744RE;
12;1140;950;850;         41.600;CARDBOARD;;260608744RE;
13;1140;950;850;         41.600;CARDBOARD;;260608744RE;
14;2270;1170;1270;        681.600;METAL;WIDTHWISE;544010119RA;
15;2270;1170;1270;        681.600;METAL;WIDTHWISE;544010119RA;
16;1480;1140;860;        324.040;METAL;;554039122RA;
17;1480;1140;860;        324.040;METAL;;554039122RA;
18;1480;1140;860;        324.040;METAL;;554039122RA;
19;1140;950;850;        110.400;CARDBOARD;;622200145RE;
20;1140;950;850;        110.400;CARDBOARD;;622200145RE;
21;1140;950;850;        110.400;CARDBOARD;;622200145RE;
22;1140;950;850;        110.400;CARDBOARD;;622200145RE;
23;1140;950;850;        110.400;CARDBOARD;;622214225RE;
24;1140;950;850;        110.400;CARDBOARD;;622214225RE;
25;1140;950;850;         51.000;CARDBOARD;;623104087RE;
26;1140;950;850;         51.000;CARDBOARD;;623104087RE;
27;1140;950;850;         51.000;CARDBOARD;;623104087RE;
28;1140;950;850;         51.000;CARDBOARD;;623104087RE;
29;1140;950;850;         51.000;CARDBOARD;;623104087RE;
30;1140;950;850;         51.000;CARDBOARD;;623104087RE;
31;1140;950;850;         51.000;CARDBOARD;;623104087RE;
32;1140;950;850;         51.000;CARDBOARD;;623104087RE;
33;1140;950;850;         51.000;CARDBOARD;;623104087RE;
34;1140;950;850;         51.000;CARDBOARD;;623104087RE;
35;1140;950;850;         51.000;CARDBOARD;;623104087RE;
36;1140;950;850;         51.000;CARDBOARD;;623104087RE;
37;1140;950;850;         51.000;CARDBOARD;;623104087RE;
38;1140;950;850;         51.000;CARDBOARD;;623104087RE;
39;1140;950;850;         51.000;CARDBOARD;;623104087RE;
40;1140;950;850;         51.000;CARDBOARD;;623104087RE;
41;1140;950;850;         51.000;CARDBOARD;;623104087RE;
42;1140;950;850;         51.000;CARDBOARD;;623104087RE;
43;1140;950;850;         51.000;CARDBOARD;;623104087RE;
44;1140;950;850;         51.000;CARDBOARD;;623104087RE;
45;1140;950;850;         51.000;CARDBOARD;;623104087RE;
46;1140;950;850;         51.000;CARDBOARD;;623104087RE;
47;1140;950;850;         51.000;CARDBOARD;;623104087RE;
48;1140;950;850;         51.000;CARDBOARD;;623104087RE;
49;1140;950;850;         51.000;CARDBOARD;;623104087RE;
50;1180;1140;860;        501.800;METAL;;641832483RA;
51;1140;475;640;        214.000;CARDBOARD;WIDTHWISE;676018195RA;
52;1140;950;850;         50.400;CARDBOARD;;681345786RE;
53;1140;950;850;         50.400;CARDBOARD;;681345786RE;
54;1140;950;850;         50.400;CARDBOARD;;681345786RE;
55;1140;950;850;         50.400;CARDBOARD;;681345786RE;
56;1140;950;850;         50.400;CARDBOARD;;681345786RE;
57;1140;950;850;         50.400;CARDBOARD;;681345786RE;
58;1140;950;850;         67.200;CARDBOARD;;749C23479RE;
59;1140;950;850;         60.720;CARDBOARD;;749C33144RE;
60;1480;1140;860;        713.600;METAL;;752101140RA;
61;1140;475;640;        554.000;CARDBOARD;WIDTHWISE;755256046RA;
62;1140;475;640;         23.600;CARDBOARD;WIDTHWISE;8200674125E;
63;1140;950;850;         70.080;CARDBOARD;;8200680244E;
64;1180;1140;860;        515.600;METAL;;339345277RA;
65;1190;1150;865;        679.000;METAL;;383002A01AE;
