item code;length (mm);width (mm);height (mm);weight (kg);Package material;Orientation constrained;Product;
0;2130;1500;850;         67.100;WOOD;;620226944RR;
1;2130;1500;850;         67.100;WOOD;;620226944RR;
2;2130;1500;850;         67.100;WOOD;;620226944RR;
3;2130;1500;850;         67.100;WOOD;;620226944RR;
4;2130;1500;850;         67.100;WOOD;;620226944RR;
5;2130;1500;850;         67.100;WOOD;;620226944RR;
6;2130;1500;850;         67.100;WOOD;;620226944RR;
7;2130;1500;850;         67.100;WOOD;;620226944RR;
8;2130;1500;850;         67.100;WOOD;;620226944RR;
9;2130;1500;850;         67.100;WOOD;;620226944RR;
10;2130;1500;850;         67.100;WOOD;;620226944RR;
11;2130;1500;850;         67.100;WOOD;;620226944RR;
12;2130;1500;850;         67.100;WOOD;;620226944RR;
13;2130;1500;850;         67.100;WOOD;;620226944RR;
14;2130;1500;850;         67.100;WOOD;;620226944RR;
15;2130;1500;850;         67.100;WOOD;;620226944RR;
16;2130;1500;850;         67.100;WOOD;;620226944RR;
17;2130;1500;850;         67.100;WOOD;;620226944RR;
18;2130;1500;850;         67.100;WOOD;;620226944RR;
19;2130;1500;850;         67.100;WOOD;;620226944RR;
20;2130;1500;850;         67.100;WOOD;;620226944RR;
21;2130;1500;850;         67.100;WOOD;;620226944RR;
22;2130;1500;850;         67.100;WOOD;;620226944RR;
23;2130;1500;850;         67.100;WOOD;;620226944RR;
24;1450;1140;1300;        453.250;WOOD;;801113744RR;
25;1450;1140;1300;        453.250;WOOD;;801113744RR;
26;1450;1140;1300;        205.320;WOOD;;801530026RR;
27;1450;1140;1300;        205.320;WOOD;;801530026RR;
28;1450;1140;1300;        205.320;WOOD;;801530026RR;
29;1450;1140;1300;        205.320;WOOD;;801530026RR;
30;1450;1140;1300;        205.320;WOOD;;801530026RR;
31;1450;1140;1300;        205.320;WOOD;;801530026RR;
32;1450;1140;1300;        205.320;WOOD;;801530026RR;
33;1450;1140;1300;        205.320;WOOD;;801530026RR;
34;1450;1140;1300;        205.320;WOOD;;801530026RR;
35;1450;1140;1300;        205.320;WOOD;;801530026RR;
36;1450;1140;1300;        205.320;WOOD;;801530026RR;
37;1140;950;640;        472.250;CARDBOARD;;809940045RR;
38;1140;950;640;        508.250;CARDBOARD;;809940046RR;
39;1140;475;640;        427.000;CARDBOARD;;8200212886R;
40;1200;1000;750;        151.000;CARDBOARD;;8200402781R;
41;1450;1140;850;         65.440;CARDBOARD;LENGTHWISE;823300028RR;
42;1450;1140;850;         67.840;CARDBOARD;LENGTHWISE;823303128RR;
43;1450;1140;850;         67.840;CARDBOARD;LENGTHWISE;823303128RR;
44;1450;1140;850;         67.840;CARDBOARD;LENGTHWISE;823303128RR;
45;1450;1140;850;         67.840;CARDBOARD;LENGTHWISE;823303128RR;
46;1450;1140;850;         67.840;CARDBOARD;LENGTHWISE;823303128RR;
47;1450;1140;850;         67.840;CARDBOARD;LENGTHWISE;823303128RR;
48;1450;1140;850;         67.840;CARDBOARD;LENGTHWISE;823303128RR;
49;1450;1140;850;         67.840;CARDBOARD;LENGTHWISE;823303128RR;
50;1450;1140;850;         67.840;CARDBOARD;LENGTHWISE;823303128RR;
51;1450;1140;850;         67.840;CARDBOARD;LENGTHWISE;823303128RR;
52;1450;1140;850;         67.840;CARDBOARD;LENGTHWISE;823303128RR;
53;1450;1140;850;         67.840;CARDBOARD;LENGTHWISE;823303128RR;
54;1450;1140;850;         67.840;CARDBOARD;LENGTHWISE;823303128RR;
