item code;length (mm);width (mm);height (mm);weight (kg);Package material;Orientation constrained;Product;
0;1450;1140;850;        220.000;CARDBOARD;;110611214RA;
1;1140;950;850;        155.200;CARDBOARD;;147170741RA;
2;1140;950;850;        155.200;CARDBOARD;;147170741RA;
3;1140;950;850;        155.200;CARDBOARD;;147170741RA;
4;1140;950;850;        155.200;CARDBOARD;;147170741RA;
5;1200;1000;750;         97.000;WOOD;;165787192RA;
6;1170;1140;1060;        580.800;CARDBOARD;;210109409RA;
7;1140;950;850;        312.000;CARDBOARD;;546182198RA;
8;1220;1220;1140;        445.000;WOOD;;8200962184A;
9;1220;1220;1140;        445.000;WOOD;;8200962184A;
10;1450;1140;850;         87.040;CARDBOARD;;963022996RA;
11;1450;1140;850;         87.040;CARDBOARD;;963022996RA;
12;1100;950;950;         48.000;CARDBOARD;;969105595RA;
13;1100;950;950;         48.000;CARDBOARD;;969105595RA;
14;1100;950;950;         48.000;CARDBOARD;;969105595RA;
15;1100;950;950;         48.000;CARDBOARD;;969105595RA;
16;1100;950;950;         48.000;CARDBOARD;;969105595RA;
17;1100;950;950;         48.000;CARDBOARD;;969105595RA;
18;1100;950;950;         48.000;CARDBOARD;;969105595RA;
19;1100;950;950;         48.000;CARDBOARD;;969105595RA;
20;1100;950;950;         48.000;CARDBOARD;;969105595RA;
21;1100;950;950;         48.000;CARDBOARD;;969105595RA;
22;1100;950;950;         48.000;CARDBOARD;;969105595RA;
23;1100;950;950;         48.000;CARDBOARD;;969105595RA;
24;1100;950;950;         48.000;CARDBOARD;;969105595RA;
25;1100;950;950;         48.000;CARDBOARD;;969105595RA;
26;1100;950;950;         48.000;CARDBOARD;;969105595RA;
27;1100;950;950;         48.000;CARDBOARD;;969105595RA;
28;1100;950;950;         48.000;CARDBOARD;;969105595RA;
29;1100;950;950;         48.000;CARDBOARD;;969105595RA;
30;1100;950;950;         48.000;CARDBOARD;;969105595RA;
31;1100;950;950;         48.000;CARDBOARD;;969105595RA;
32;1100;950;950;         48.000;CARDBOARD;;969105595RA;
33;1100;950;950;         48.000;CARDBOARD;;969105595RA;
34;1200;1000;994;        309.920;CARDBOARD;;488107889RA;
35;1200;1000;994;        309.920;CARDBOARD;;488107889RA;
36;1200;1000;994;        309.920;CARDBOARD;;488107889RA;
37;1200;1000;994;        309.920;CARDBOARD;;488107889RA;
38;1200;1000;994;        309.920;CARDBOARD;;488107889RA;
39;1200;1000;994;        309.920;CARDBOARD;;488107889RA;
40;1200;1000;994;        309.920;CARDBOARD;;488107889RA;
41;1200;1000;994;        308.960;CARDBOARD;;488108981RA;
42;1200;1000;994;        308.960;CARDBOARD;;488108981RA;
43;1200;1000;994;        308.960;CARDBOARD;;488108981RA;
44;1200;1000;994;        308.960;CARDBOARD;;488108981RA;
45;1200;1000;994;        308.960;CARDBOARD;;488108981RA;
46;1200;1000;994;        308.960;CARDBOARD;;488108981RA;
47;1200;1000;994;        308.960;CARDBOARD;;488108981RA;
48;1200;1000;994;        308.960;CARDBOARD;;488108981RA;
49;1200;1000;994;        308.960;CARDBOARD;;488108981RA;
50;1200;1000;994;        308.960;CARDBOARD;;488108981RA;
51;1200;1000;994;        308.960;CARDBOARD;;488108981RA;
52;1200;1000;994;        308.960;CARDBOARD;;488108981RA;
53;1200;1000;994;        308.960;CARDBOARD;;488108981RA;
54;1200;1000;994;        308.960;CARDBOARD;;488108981RA;
55;1200;1000;994;        308.960;CARDBOARD;;488108981RA;
56;1200;1000;994;        308.960;CARDBOARD;;488108981RA;
57;1200;1000;994;        308.960;CARDBOARD;;488108981RA;
58;1200;1000;994;        308.960;CARDBOARD;;488108981RA;
59;1200;1000;994;        308.960;CARDBOARD;;488108981RA;
60;1200;1000;994;        308.960;CARDBOARD;;488108981RA;
61;1200;1000;994;        308.960;CARDBOARD;;488108981RA;
62;1200;1000;994;        308.960;CARDBOARD;;488108981RA;
63;1200;1000;994;        308.960;CARDBOARD;;488108981RA;
64;1200;1000;994;        308.960;CARDBOARD;;488108981RA;
65;1200;1000;994;        308.960;CARDBOARD;;488108981RA;
66;1200;1000;994;        308.960;CARDBOARD;;488108981RA;
67;1200;1000;994;        308.960;CARDBOARD;;488108981RA;
68;1200;1000;994;        308.960;CARDBOARD;;488108981RA;
69;1200;1000;994;        308.960;CARDBOARD;;488108981RA;
70;1200;1000;994;        308.960;CARDBOARD;;488108981RA;
71;1200;1000;994;        308.960;CARDBOARD;;488108981RA;
72;1200;1000;994;        308.960;CARDBOARD;;488108981RA;
73;1200;1000;994;        308.960;CARDBOARD;;488108981RA;
74;1450;1140;850;         85.960;CARDBOARD;;963013830RA;
75;1450;1140;850;         85.960;CARDBOARD;;963017316RA;
76;1450;1140;850;         85.960;CARDBOARD;;963017316RA;
77;1450;1140;850;         85.960;CARDBOARD;;963017316RA;
78;1450;1140;850;         85.960;CARDBOARD;;963017316RA;
79;1450;1140;850;         85.960;CARDBOARD;;963017316RA;
80;1450;1140;850;         85.960;CARDBOARD;;963017316RA;
81;1450;1140;850;         85.960;CARDBOARD;;963017316RA;
82;1450;1140;850;         85.960;CARDBOARD;;963017316RA;
83;1450;1140;850;         85.960;CARDBOARD;;963017316RA;
84;1450;1140;850;         85.960;CARDBOARD;;963017316RA;
85;1450;1140;850;         85.960;CARDBOARD;;963017316RA;
86;1450;1140;850;         85.960;CARDBOARD;;963017316RA;
87;1450;1140;850;         85.960;CARDBOARD;;963017316RA;
88;1450;1140;850;         85.960;CARDBOARD;;963017316RA;
