item code;length (mm);width (mm);height (mm);weight (kg);Package material;Orientation constrained;Product;
0;1200;1000;1045;        106.000;CARDBOARD;;214981469RU;
1;1140;950;850;         60.600;CARDBOARD;;215586921RU;
2;1140;950;850;         60.600;CARDBOARD;;215586921RU;
3;1140;950;850;         60.600;CARDBOARD;;215586921RU;
4;1140;950;850;         60.600;CARDBOARD;;215586921RU;
5;1140;950;850;         60.600;CARDBOARD;;215586921RU;
6;1140;950;850;         60.600;CARDBOARD;;215586921RU;
7;1140;950;850;         60.600;CARDBOARD;;215586921RU;
8;1140;950;850;         60.600;CARDBOARD;;215586921RU;
9;1140;950;850;         31.560;CARDBOARD;;215592385RU;
10;1140;950;850;         31.560;CARDBOARD;;215592385RU;
11;1140;950;850;         31.560;CARDBOARD;;215592385RU;
12;1140;950;850;         31.560;CARDBOARD;;215592385RU;
13;1140;950;850;         31.560;CARDBOARD;;215592385RU;
14;1140;950;850;         31.560;CARDBOARD;;215592385RU;
15;1140;950;850;         31.560;CARDBOARD;;215592385RU;
16;1140;950;850;         31.560;CARDBOARD;;215592385RU;
17;1140;950;850;         31.560;CARDBOARD;;215592385RU;
18;1140;950;850;         31.560;CARDBOARD;;215592385RU;
19;1140;950;850;         31.560;CARDBOARD;;215592385RU;
20;1140;950;850;         31.560;CARDBOARD;;215592385RU;
21;1140;950;850;         31.560;CARDBOARD;;215592385RU;
22;1140;950;850;         31.560;CARDBOARD;;215592385RU;
23;1140;950;850;         31.560;CARDBOARD;;215592385RU;
24;1140;950;850;         31.560;CARDBOARD;;215592385RU;
25;1140;950;850;         31.560;CARDBOARD;;215592385RU;
26;1140;950;850;         31.560;CARDBOARD;;215592385RU;
27;1140;950;850;         31.560;CARDBOARD;;215592385RU;
28;1140;950;850;         31.560;CARDBOARD;;215592385RU;
29;1140;950;850;        192.000;CARDBOARD;;260427218RU;
30;1140;950;850;        192.000;CARDBOARD;;260427218RU;
31;1140;950;640;         52.000;CARDBOARD;;260602162RU;
32;1140;950;640;         52.000;CARDBOARD;;260602162RU;
33;1140;950;640;         52.000;CARDBOARD;;260602162RU;
34;1140;950;640;         52.000;CARDBOARD;;260602162RU;
35;1140;950;640;         52.000;CARDBOARD;;260602162RU;
36;1140;950;640;         52.000;CARDBOARD;;260602162RU;
37;1140;950;640;         52.000;CARDBOARD;;260602162RU;
38;1140;950;640;         52.000;CARDBOARD;;260602162RU;
39;1140;950;640;         52.000;CARDBOARD;;260602162RU;
40;1140;950;640;         52.000;CARDBOARD;;260602162RU;
41;1140;950;640;         52.000;CARDBOARD;;260602162RU;
42;1140;950;640;         52.000;CARDBOARD;;260602162RU;
43;1140;950;640;         52.000;CARDBOARD;;260602162RU;
44;1140;950;640;         52.000;CARDBOARD;;260602162RU;
45;1140;950;640;         52.000;CARDBOARD;;260602162RU;
46;1140;950;640;         52.000;CARDBOARD;;260602162RU;
