item code;length (mm);width (mm);height (mm);weight (kg);Package material;Orientation constrained;Product;
0;1180;1140;860;        136.000;METAL;;135000849RR;
1;1180;1140;860;        136.000;METAL;;135000849RR;
2;2270;1170;1270;        958.640;METAL;;2M-969598;
3;2270;1170;1270;        872.190;METAL;;2M-969625;
4;2270;1170;1270;        605.190;METAL;;2M-979550;
5;2270;1170;1270;        501.680;METAL;;2M-979564;
6;1180;1140;860;        641.150;METAL;;2M-979567;
7;2270;1170;1270;        482.000;METAL;;7700273486R;
8;1740;1140;1250;        411.600;CARDBOARD;;8200062945R;
9;1740;1140;1250;        411.600;CARDBOARD;;8200062945R;
10;1740;1140;1250;        411.600;CARDBOARD;;8200062945R;
11;1740;1140;1250;        411.600;CARDBOARD;;8200062945R;
12;1740;1140;1250;        411.600;CARDBOARD;;8200062945R;
13;1740;1140;1250;        421.200;CARDBOARD;;8200114807R;
14;1740;1140;1250;        421.200;CARDBOARD;;8200114807R;
15;1740;1140;1250;        421.200;CARDBOARD;;8200114807R;
16;1740;1140;1250;        421.200;CARDBOARD;;8200114807R;
17;2270;1170;1270;        534.600;METAL;;8200713680R;
18;2270;1170;1270;        534.600;METAL;;8200713680R;
19;2270;1170;1270;        534.600;METAL;;8200713680R;
20;2270;1170;1270;        534.600;METAL;;8200713680R;
21;1140;950;640;        543.850;CARDBOARD;;123033245RR;
22;1140;950;640;        543.850;CARDBOARD;;123033245RR;
23;1140;950;640;        543.850;CARDBOARD;;123033245RR;
24;1140;950;640;        543.850;CARDBOARD;;123033245RR;
25;1140;950;640;        543.850;CARDBOARD;;123033245RR;
26;1140;950;640;        582.100;CARDBOARD;;123109773RR;
27;1140;950;640;        582.100;CARDBOARD;;123109773RR;
28;1140;950;640;        582.100;CARDBOARD;;123109773RR;
29;1140;950;640;        582.100;CARDBOARD;;123109773RR;
30;1140;950;640;        582.100;CARDBOARD;;123109773RR;
31;1140;950;640;        582.100;CARDBOARD;;123109773RR;
32;1140;950;640;        582.100;CARDBOARD;;123109773RR;
33;1140;950;640;        582.100;CARDBOARD;;123109773RR;
34;1140;950;640;        582.100;CARDBOARD;;123109773RR;
35;1140;950;640;        362.140;CARDBOARD;;7700274177R;
36;1140;950;850;        288.500;CARDBOARD;;8200123061R;
37;1140;950;850;        288.500;CARDBOARD;;8200123061R;
38;1140;950;850;        288.500;CARDBOARD;;8200123061R;
39;1140;950;850;        288.500;CARDBOARD;;8200123061R;
40;1140;950;850;        288.500;CARDBOARD;;8200123061R;
41;1140;950;850;        288.500;CARDBOARD;;8200123061R;
42;1140;950;850;        288.500;CARDBOARD;;8200123061R;
43;1140;950;850;        288.500;CARDBOARD;;8200123061R;
44;1140;950;850;        288.500;CARDBOARD;;8200123061R;
45;1140;950;850;        237.910;CARDBOARD;;8200487939R;
46;1140;950;850;        237.910;CARDBOARD;;8200487939R;
47;1140;950;850;        678.990;CARDBOARD;;8200498703R;
48;1140;950;850;        678.990;CARDBOARD;;8200498703R;
49;1140;950;850;        678.990;CARDBOARD;;8200498703R;
50;1140;950;850;        678.990;CARDBOARD;;8200498703R;
51;1140;950;850;        678.990;CARDBOARD;;8200498703R;
52;1140;950;850;        678.990;CARDBOARD;;8200498703R;
53;1140;950;850;        678.990;CARDBOARD;;8200498703R;
54;1140;950;850;        120.500;CARDBOARD;;8201190679R;
55;1140;950;850;        120.500;CARDBOARD;;8201190679R;
56;1140;950;850;        120.500;CARDBOARD;;8201190679R;
57;1140;950;850;        120.500;CARDBOARD;;8201190679R;
58;1140;950;850;        120.500;CARDBOARD;;8201190679R;
59;1140;950;850;        120.500;CARDBOARD;;8201190679R;
60;1140;950;850;        120.500;CARDBOARD;;8201190679R;
61;1140;950;850;        120.500;CARDBOARD;;8201190679R;
62;1140;950;850;        120.500;CARDBOARD;;8201190679R;
63;1140;950;850;        120.500;CARDBOARD;;8201190679R;
64;1140;950;850;        120.500;CARDBOARD;;8201190679R;
65;1140;950;850;        120.500;CARDBOARD;;8201190679R;
66;1140;950;850;        120.500;CARDBOARD;;8201190679R;
67;1140;950;850;        120.500;CARDBOARD;;8201190679R;
68;1140;950;850;        120.500;CARDBOARD;;8201190679R;
69;1140;950;850;        120.500;CARDBOARD;;8201190679R;
70;1140;950;850;        120.500;CARDBOARD;;8201190679R;
