item code;length (mm);width (mm);height (mm);weight (kg);Package material;Orientation constrained;Product;
0;2280;1470;990;       1125.000;METAL;;100014920RR;
1;2280;1470;990;       1125.000;METAL;;100014920RR;
2;2280;1470;990;       1125.000;METAL;;100014920RR;
3;2280;1470;990;       1125.000;METAL;;100014920RR;
4;2280;1470;990;       1125.000;METAL;;100014920RR;
5;2280;1470;990;       1125.000;METAL;;100014920RR;
6;2280;1470;990;       1125.000;METAL;;100014920RR;
7;2280;1470;990;       1125.000;METAL;;100014920RR;
8;2280;1470;990;       1125.000;METAL;;100014920RR;
9;2280;1470;990;       1169.400;METAL;;8201226251R;
10;2280;1470;990;       1169.400;METAL;;8201226251R;
11;2280;1470;990;       1169.400;METAL;;8201226251R;
12;2280;1470;990;       1169.400;METAL;;8201226251R;
13;2280;1470;990;       1169.400;METAL;;8201226251R;
14;2280;1470;990;       1169.400;METAL;;8201226251R;
15;2280;1470;990;       1169.400;METAL;;8201226251R;
16;1740;1140;850;        111.000;CARDBOARD;;349011155RR;
17;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
18;2280;950;640;        622.000;WOOD;;764122472RR;
19;2280;950;640;        622.000;WOOD;;764122472RR;
20;2280;950;640;        622.000;WOOD;;764122472RR;
21;2280;950;640;        622.000;WOOD;;764122472RR;
22;2280;950;640;        622.000;WOOD;;764122472RR;
23;2280;950;640;        688.400;WOOD;;764295695RR;
24;2280;950;640;        688.400;WOOD;;764295695RR;
25;2280;950;640;        688.400;WOOD;;764295695RR;
26;2280;950;640;        688.400;WOOD;;764295695RR;
27;2280;950;640;        688.400;WOOD;;764295695RR;
28;2280;950;640;        688.400;WOOD;;764295695RR;
29;2280;950;640;        688.400;WOOD;;764295695RR;
30;2280;950;640;        688.400;WOOD;;764295695RR;
31;2280;950;640;        646.160;WOOD;;764299162RR;
32;2280;950;640;        646.160;WOOD;;764299162RR;
33;2280;950;640;        646.160;WOOD;;764299162RR;
34;2280;950;640;        646.160;WOOD;;764299162RR;
35;2280;950;640;        646.160;WOOD;;764299162RR;
36;2280;950;640;        646.160;WOOD;;764299162RR;
37;2280;950;640;        622.000;WOOD;;8200920575R;
38;2280;950;640;        622.000;WOOD;;8200920575R;
39;2280;1470;990;       1169.400;METAL;;8201226251R;
40;2280;1470;990;       1169.400;METAL;;8201226251R;
41;2280;1470;990;       1169.400;METAL;;8201226251R;
42;2280;1470;990;       1169.400;METAL;;8201226251R;
43;2280;1470;990;       1169.400;METAL;;8201226251R;
44;2280;1470;990;       1169.400;METAL;;8201226251R;
45;2280;1470;990;       1169.400;METAL;;8201226251R;
46;2280;1470;990;       1169.400;METAL;;8201226251R;
47;2280;1470;990;       1169.400;METAL;;8201226251R;
48;2280;1470;990;       1169.400;METAL;;8201226251R;
49;2280;1470;990;       1169.400;METAL;;8201226251R;
50;2280;1470;990;       1169.400;METAL;;8201226251R;
51;2280;1470;990;       1169.400;METAL;;8201226251R;
52;2280;1470;990;       1169.400;METAL;;8201226251R;
53;2280;1470;990;       1169.400;METAL;;8201226251R;
54;2280;1470;990;       1169.400;METAL;;8201226251R;
55;1140;950;850;         61.900;CARDBOARD;;217107259RR;
56;1140;950;640;         40.500;CARDBOARD;;308517047RR;
57;1140;950;640;        878.100;CARDBOARD;;402060001RR;
58;1140;950;850;        355.780;CARDBOARD;;8200225362R;
59;1140;950;850;        355.780;CARDBOARD;;8200225362R;
60;1140;950;850;        355.780;CARDBOARD;;8200225362R;
61;1140;950;850;        355.780;CARDBOARD;;8200225362R;
62;1140;950;850;        355.780;CARDBOARD;;8200225362R;
63;1140;950;850;        355.780;CARDBOARD;;8200225362R;
64;1140;950;850;        355.780;CARDBOARD;;8200225362R;
65;1140;950;850;        355.780;CARDBOARD;;8200225362R;
66;1140;950;850;        355.780;CARDBOARD;;8200225362R;
67;1140;950;850;        355.780;CARDBOARD;;8200225362R;
68;1140;950;850;        355.780;CARDBOARD;;8200225362R;
69;1140;950;850;        355.780;CARDBOARD;;8200225362R;
70;1140;950;850;        355.780;CARDBOARD;;8200225362R;
71;1140;950;850;        355.780;CARDBOARD;;8200225362R;
72;1140;950;850;        355.780;CARDBOARD;;8200225362R;
73;1140;950;850;        312.530;CARDBOARD;;8200396816R;
74;1140;950;850;        312.530;CARDBOARD;;8200396816R;
75;1140;950;850;        312.530;CARDBOARD;;8200396816R;
76;1140;950;850;        312.530;CARDBOARD;;8200396816R;
77;1140;950;850;        312.530;CARDBOARD;;8200396816R;
78;1140;950;850;        312.530;CARDBOARD;;8200396816R;
79;1140;950;850;        312.530;CARDBOARD;;8200396816R;
80;1140;950;850;        343.660;CARDBOARD;;8200396823R;
81;1140;950;850;        343.660;CARDBOARD;;8200396823R;
82;1140;950;850;        343.660;CARDBOARD;;8200396823R;
83;1140;950;850;        343.660;CARDBOARD;;8200396823R;
84;1140;950;850;        324.290;CARDBOARD;;8200631310R;
85;1140;950;850;        324.290;CARDBOARD;;8200631310R;
86;1140;950;850;        324.290;CARDBOARD;;8200631310R;
87;1140;950;850;        324.290;CARDBOARD;;8200631310R;
88;1140;950;850;        324.290;CARDBOARD;;8200631310R;
89;1140;950;850;        324.290;CARDBOARD;;8200631310R;
90;1140;950;850;        324.290;CARDBOARD;;8200631310R;
91;1140;950;850;        324.290;CARDBOARD;;8200631310R;
92;1140;950;850;        324.290;CARDBOARD;;8200631310R;
93;1140;950;850;        324.290;CARDBOARD;;8200631310R;
94;1140;950;850;        324.290;CARDBOARD;;8200631310R;
95;1140;950;850;        324.290;CARDBOARD;;8200631310R;
96;1140;950;850;        324.290;CARDBOARD;;8200631310R;
97;1140;950;850;        438.820;CARDBOARD;;8200644280R;
98;1140;950;740;        417.000;CARDBOARD;;8200810621R;
99;1140;950;740;        417.000;CARDBOARD;;8200810621R;
100;1140;950;740;        417.000;CARDBOARD;;8200810621R;
101;1140;950;740;        417.000;CARDBOARD;;8200810621R;
102;1140;950;740;        417.000;CARDBOARD;;8200810621R;
103;1140;950;850;        386.000;CARDBOARD;;8200846463R;
104;1140;950;850;        386.000;CARDBOARD;;8200846463R;
105;1140;950;850;        386.000;CARDBOARD;;8200846463R;
106;1140;950;850;        386.000;CARDBOARD;;8200846463R;
107;1140;950;850;        370.200;CARDBOARD;;8201401564R;
108;1140;950;850;        654.500;CARDBOARD;;926000097RR;
109;1140;950;850;        654.500;CARDBOARD;;926000097RR;
110;1140;950;850;        654.500;CARDBOARD;;926000097RR;
111;1140;950;850;        654.500;CARDBOARD;;926000097RR;
112;1140;950;850;        654.500;CARDBOARD;;926000097RR;
113;1140;950;850;        654.500;CARDBOARD;;926000097RR;
114;1140;950;850;        654.500;CARDBOARD;;926000097RR;
115;1140;950;850;        654.500;CARDBOARD;;926000097RR;
116;1140;950;640;        201.850;CARDBOARD;;995506680RR;
117;1140;950;640;        201.850;CARDBOARD;;995506680RR;
118;1140;950;640;        201.850;CARDBOARD;;995506680RR;
119;1140;950;640;        201.850;CARDBOARD;;995506680RR;
120;1140;950;640;        201.850;CARDBOARD;;995506680RR;
121;1140;950;640;        201.850;CARDBOARD;;995506680RR;
122;1140;950;640;        201.850;CARDBOARD;;995506680RR;
123;1140;950;640;        201.850;CARDBOARD;;995506680RR;
124;1140;950;640;        201.850;CARDBOARD;;995506680RR;
125;1140;950;640;        201.850;CARDBOARD;;995506680RR;
126;1140;950;640;        201.850;CARDBOARD;;995506680RR;
127;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
128;2280;950;640;        622.000;WOOD;;764122472RR;
129;2280;950;640;        622.000;WOOD;;764122472RR;
130;2280;950;640;        622.000;WOOD;;764122472RR;
131;2280;950;640;        622.000;WOOD;;764122472RR;
132;2280;950;640;        688.400;WOOD;;764295695RR;
133;2280;950;640;        688.400;WOOD;;764295695RR;
134;2280;950;640;        688.400;WOOD;;764295695RR;
135;2280;950;640;        688.400;WOOD;;764295695RR;
136;2280;950;640;        688.400;WOOD;;764295695RR;
137;2280;950;640;        688.400;WOOD;;764295695RR;
138;2280;950;640;        688.400;WOOD;;764295695RR;
139;2280;950;640;        646.160;WOOD;;764299162RR;
140;2280;950;640;        646.160;WOOD;;764299162RR;
141;2280;950;640;        622.000;WOOD;;8200920575R;
142;2280;950;640;        622.000;WOOD;;8200920575R;
143;2280;950;640;        622.000;WOOD;;8200920575R;
144;2280;950;640;        622.000;WOOD;;8200920575R;
145;2280;950;640;        622.000;WOOD;;8200920575R;
146;2280;950;640;        622.000;WOOD;;8200920575R;
147;2280;950;640;        622.000;WOOD;;8200920575R;
148;2280;950;640;        622.000;WOOD;;8200920575R;
149;2280;950;640;        622.000;WOOD;;8200920575R;
150;2280;950;640;        622.000;WOOD;;8200920575R;
151;2280;950;640;        622.000;WOOD;;8200920575R;
152;1140;475;640;        310.000;CARDBOARD;;755826742RR;
153;2280;1470;990;       1180.200;METAL;;100015248RR;
154;2280;1470;990;       1178.400;METAL;;100015425RR;
155;2280;1470;990;       1178.400;METAL;;100015425RR;
156;2280;1470;990;       1178.400;METAL;;100015425RR;
157;2280;1470;990;       1178.400;METAL;;100015425RR;
158;2280;1470;990;       1178.400;METAL;;100015425RR;
159;2280;1470;990;       1178.400;METAL;;100015425RR;
160;2280;1470;990;       1169.400;METAL;;8201226251R;
161;2280;1470;990;       1169.400;METAL;;8201226251R;
162;2280;1470;990;       1169.400;METAL;;8201226251R;
163;2280;1470;990;       1169.400;METAL;;8201226251R;
164;2280;1470;990;       1169.400;METAL;;8201226251R;
165;2280;1470;990;       1169.400;METAL;;8201226251R;
166;2280;1470;990;       1169.400;METAL;;8201226251R;
167;2280;1470;990;       1169.400;METAL;;8201226251R;
168;2280;1470;990;       1169.400;METAL;;8201226251R;
169;1140;950;640;         44.100;CARDBOARD;;308510741RR;
170;1140;950;850;        789.140;CARDBOARD;;402020009RR;
171;1140;950;850;        789.140;CARDBOARD;;402020009RR;
172;1140;950;850;        789.140;CARDBOARD;;402020009RR;
173;1140;950;640;        878.100;CARDBOARD;;402060001RR;
174;1140;950;640;        878.100;CARDBOARD;;402060001RR;
175;1140;950;640;        878.100;CARDBOARD;;402060001RR;
176;1140;950;850;        104.500;CARDBOARD;;479000527RR;
177;1140;950;850;        104.500;CARDBOARD;;479007380RR;
178;1140;950;850;        105.500;CARDBOARD;;479101292RR;
179;1140;950;850;        105.500;CARDBOARD;;479101292RR;
