item code;length (mm);width (mm);height (mm);weight (kg);Package material;Orientation constrained;Product;
0;1990;1140;1650;        656.000;WOOD;;8200396943R;
1;1990;1140;1650;        656.000;WOOD;;8200396943R;
2;1990;1140;1650;        640.760;WOOD;;8200423722R;
3;1990;1140;1650;        640.760;WOOD;;8200423722R;
4;1990;1140;1650;        640.760;WOOD;;8200423722R;
5;1990;1140;1650;        640.760;WOOD;;8200423722R;
6;1990;1140;1650;        640.500;WOOD;;8200563927R;
7;1990;1140;1650;        640.500;WOOD;;8200563927R;
8;1990;1140;1650;        640.500;WOOD;;8200563927R;
9;1990;1140;1650;        640.500;WOOD;;8200563927R;
10;1990;1140;1650;        640.500;WOOD;;8200563927R;
11;1990;1140;1650;        640.500;WOOD;;8200563927R;
12;1450;1140;850;        231.200;CARDBOARD;;7700301256R;
13;1450;1140;850;        231.200;CARDBOARD;;7700301256R;
14;1450;1140;850;        231.200;CARDBOARD;;7700301256R;
15;1450;1140;850;        231.200;CARDBOARD;;7700301256R;
16;1450;1140;850;        231.200;CARDBOARD;;7700301256R;
17;1450;1140;850;        231.200;CARDBOARD;;7700301256R;
18;1450;1140;850;        231.200;CARDBOARD;;7700301256R;
19;1450;1140;850;        231.200;CARDBOARD;;7700301256R;
20;1450;1140;850;        118.240;CARDBOARD;;7700303117R;
21;1450;1140;850;        105.000;CARDBOARD;;7700354636R;
22;1450;1140;850;        105.000;CARDBOARD;;7700354636R;
23;1450;1140;850;        105.000;CARDBOARD;;7700354636R;
24;1450;1140;850;        105.000;CARDBOARD;;7700354636R;
25;1450;1140;850;        105.000;CARDBOARD;;7700354636R;
26;1450;1140;850;        105.000;CARDBOARD;;7700354636R;
27;1450;1140;850;        105.000;CARDBOARD;;7700354636R;
28;1450;1140;850;        105.000;CARDBOARD;;7700354636R;
29;1450;1140;850;        105.000;CARDBOARD;;7700354637R;
30;1450;1140;850;        105.000;CARDBOARD;;7700354637R;
31;1450;1140;850;        105.000;CARDBOARD;;7700354637R;
32;1450;1140;850;        105.000;CARDBOARD;;7700354637R;
33;1450;1140;850;        105.000;CARDBOARD;;7700354637R;
34;1450;1140;850;        105.000;CARDBOARD;;7700354637R;
35;1450;1140;850;        105.000;CARDBOARD;;7700354637R;
36;1450;1140;850;        105.000;CARDBOARD;;7700354637R;
37;1450;1140;740;        177.600;CARDBOARD;;7700354718R;
38;1450;1140;740;        177.600;CARDBOARD;;7700354718R;
39;1450;1140;740;        177.600;CARDBOARD;;7700354718R;
40;1450;1140;850;        111.950;CARDBOARD;;7700400201R;
41;1450;1140;850;        111.950;CARDBOARD;;7700400201R;
42;1450;1140;640;        881.250;CARDBOARD;;7700431462R;
43;1450;1140;640;        865.500;CARDBOARD;;7700434257R;
44;1450;1140;640;        709.110;CARDBOARD;;8200047009R;
45;1450;1140;640;        709.110;CARDBOARD;;8200047009R;
46;1450;1140;850;        125.200;CARDBOARD;;8200051259R;
47;1450;1140;740;         67.800;CARDBOARD;;8200101808R;
48;1450;1140;740;         67.800;CARDBOARD;;8200101808R;
49;1450;1140;740;         67.800;CARDBOARD;;8200101808R;
50;1450;1140;740;         67.800;CARDBOARD;;8200101808R;
51;1450;1140;850;        125.200;CARDBOARD;;8200127700R;
52;1450;1140;850;        105.000;CARDBOARD;;8200253492R;
53;1450;1140;850;        546.550;CARDBOARD;;8200840770R;
54;1450;1140;850;        546.550;CARDBOARD;;8200840770R;
55;1450;1140;850;        546.550;CARDBOARD;;8200840770R;
56;1450;1140;850;         74.200;CARDBOARD;;969107779RR;
57;1450;1140;850;         74.200;CARDBOARD;;969107779RR;
58;1200;1000;1045;        104.670;CARDBOARD;;172022485RR;
59;1200;1000;1045;        104.670;CARDBOARD;;172022485RR;
60;1200;1000;1050;        169.730;WOOD;;278590001RR;
61;1200;1000;1045;        191.900;CARDBOARD;;281158023RR;
62;1200;1000;1045;        191.900;CARDBOARD;;281158023RR;
63;1200;1000;1050;        132.000;WOOD;;497173911RR;
64;1200;1000;1050;         93.000;WOOD;;540505143RR;
65;1200;1000;750;        194.800;WOOD;;656178961RR;
66;1200;1000;1045;         73.100;CARDBOARD;;681042626RR;
67;1200;1000;1045;         73.100;CARDBOARD;;681042626RR;
68;1200;1000;1045;         73.100;CARDBOARD;;681042626RR;
69;1200;1000;1045;         73.100;CARDBOARD;;681042626RR;
70;1200;1000;1045;         73.100;CARDBOARD;;681042626RR;
