item code;length (mm);width (mm);height (mm);weight (kg);Package material;Orientation constrained;Product;
0;2270;1170;1270;        713.410;METAL;;2M-969645;
1;2270;1170;1270;        788.280;METAL;;2M-969646;
2;2270;1170;1270;        742.600;METAL;;2M-969648;
3;2270;1170;1270;        634.060;METAL;;2M-979400;
4;2270;1170;1270;        642.810;METAL;;2M-979405;
5;2270;1170;1270;        737.830;METAL;;2M-979406;
6;2270;1170;1270;        622.710;METAL;;2M-979408;
7;2270;1170;1270;        678.350;METAL;;2M-979409;
8;2270;1170;1270;        781.230;METAL;;2M-979411;
9;2270;1170;1270;        744.650;METAL;;2M-979417;
10;2270;1170;1270;        733.070;METAL;;2M-979420;
11;2270;1170;1270;        661.760;METAL;;2M-979972;
12;2270;1170;1270;        565.160;METAL;;7700843273R;
13;1850;1140;1250;        158.400;WOOD;;8200082359R;
14;1850;1140;1250;        158.400;WOOD;;8200082359R;
15;1850;1140;1250;        158.400;WOOD;;8200082359R;
16;1850;1140;1250;        158.400;WOOD;;8200082359R;
17;1850;1140;1250;        158.400;WOOD;;8200082359R;
18;1850;1140;1250;        158.400;WOOD;;8200082359R;
19;2270;1170;1270;        540.190;METAL;;2M-969635;
20;2270;1170;1270;        708.600;METAL;;2M-969636;
21;2270;1170;1270;        690.530;METAL;;2M-969637;
22;2270;1170;1270;        761.120;METAL;;2M-969952;
23;2270;1170;1270;        683.890;METAL;;2M-969954;
24;2270;1170;1270;        686.070;METAL;;2M-969956;
25;2270;1170;1270;        587.090;METAL;;2M-969957;
26;2270;1170;1270;        314.000;METAL;;2M-970207;
27;2700;1140;1462;        352.800;WOOD;;8200035765R;
28;2700;1140;1462;        352.800;WOOD;;8200035765R;
29;2700;1140;1462;        352.800;WOOD;;8200035765R;
30;2700;1140;1462;        352.800;WOOD;;8200035765R;
31;2270;1170;1270;        189.320;METAL;;8200684156R;
32;2270;1170;1270;        228.200;METAL;;8200684159R;
33;1180;1140;860;        194.450;METAL;;172216856RR;
34;1180;1140;860;        194.450;METAL;;172216856RR;
35;1180;1140;860;       1244.880;METAL;;2M-969631;
36;1180;1140;860;       1131.370;METAL;;2M-969632;
37;1180;1140;860;       1036.050;METAL;;2M-969633;
38;1180;1140;860;       1105.400;METAL;;2M-969638;
39;1180;1140;860;       1375.380;METAL;;2M-969639;
40;1180;1140;860;       1107.840;METAL;;2M-969640;
41;1180;1140;860;       1182.700;METAL;;2M-969649;
42;1180;1140;860;       1110.170;METAL;;2M-969674;
43;1180;1140;860;       1138.440;METAL;;2M-969675;
44;1180;1140;860;       1109.800;METAL;;2M-969676;
45;1180;1140;860;       1108.200;METAL;;2M-969677;
46;1180;1140;860;       1135.780;METAL;;2M-969678;
47;1180;1140;860;        858.000;METAL;;432004202RR;
48;1180;1140;860;        858.000;METAL;;432004202RR;
49;1180;1140;860;        858.000;METAL;;432004202RR;
50;1180;1140;860;        858.000;METAL;;432004202RR;
51;1180;1140;860;        858.000;METAL;;432004202RR;
52;1180;1140;860;        858.000;METAL;;432004202RR;
53;1180;1140;860;        858.000;METAL;;432004202RR;
54;1180;1140;860;        858.000;METAL;;432004202RR;
55;1180;1140;860;        858.000;METAL;;432004202RR;
56;1180;1140;860;        858.000;METAL;;432004202RR;
57;1180;1140;860;        858.000;METAL;;432004202RR;
58;1180;1140;860;        858.000;METAL;;432004202RR;
59;1200;1000;750;         85.200;WOOD;;7700795347R;
60;1180;1140;860;        282.620;METAL;;7700836388R;
61;1180;1140;860;        281.060;METAL;;7700836514R;
62;1180;1140;860;       1074.900;METAL;;8200303298R;
63;1180;1140;860;        292.700;METAL;;8200691947R;
64;1450;1140;850;         67.840;CARDBOARD;;165556262RR;
65;1450;1140;850;         67.840;CARDBOARD;;165556262RR;
66;1450;1140;850;         67.840;CARDBOARD;;165556262RR;
67;1450;1140;850;         67.840;CARDBOARD;;165556262RR;
68;2270;1170;1270;        708.070;METAL;;2M-969673;
69;2270;1170;1270;        714.210;METAL;;2M-969951;
70;2700;1140;1462;        352.800;WOOD;;8200035764R;
71;2700;1140;1462;        352.800;WOOD;;8200035764R;
72;2700;1140;1462;        352.800;WOOD;;8200035764R;
73;2700;1140;1462;        352.800;WOOD;;8200035764R;
74;2700;1140;1462;        352.800;WOOD;;8200035764R;
75;2700;1140;1462;        352.800;WOOD;;8200035764R;
76;2700;1140;1462;        352.800;WOOD;;8200035765R;
77;2700;1140;1462;        352.800;WOOD;;8200035765R;
78;1200;1200;745;        231.700;CARDBOARD;;117207944RR;
79;1180;1140;860;        194.450;METAL;;172216856RR;
80;1180;1140;860;        194.450;METAL;;172216856RR;
81;1180;1140;860;        194.450;METAL;;172216856RR;
82;1180;1140;1090;        521.000;METAL;;208024827RR;
83;1180;1140;860;       1015.430;METAL;;2M-969948;
84;1180;1140;860;       1104.200;METAL;;2M-969949;
85;1180;1140;860;       1108.690;METAL;;2M-969950;
86;1180;1140;860;        987.430;METAL;;2M-969953;
87;1180;1140;860;       1084.140;METAL;;2M-979404;
88;1180;1140;860;       1109.130;METAL;;2M-979407;
89;1180;1140;860;       1183.150;METAL;;2M-979410;
90;1180;1140;860;       1235.130;METAL;;2M-979412;
91;1180;1140;860;       1231.490;METAL;;2M-979415;
92;1180;1140;860;       1255.870;METAL;;2M-979416;
93;1180;1140;860;       1087.620;METAL;;2M-979418;
94;1180;1140;860;        811.450;METAL;;2M-979419;
95;1180;1140;860;       1107.740;METAL;;2M-979973;
96;1180;1140;860;        858.000;METAL;;432004202RR;
97;1180;1140;860;        858.000;METAL;;432004202RR;
98;1180;1140;860;        858.000;METAL;;432004202RR;
99;1180;1140;860;        858.000;METAL;;432004202RR;
100;1180;1140;860;        858.000;METAL;;432004202RR;
101;1180;1140;860;        858.000;METAL;;432004202RR;
102;1180;1140;860;        858.000;METAL;;432004202RR;
103;1180;1140;860;        360.770;METAL;;8200214457R;
104;1180;1140;860;        270.460;METAL;;8200215905R;
105;1180;1140;860;        270.460;METAL;;8200217213R;
106;1180;1140;860;        255.680;METAL;;8200217216R;
107;1180;1140;860;        255.680;METAL;;8200217216R;
108;1180;1140;860;        255.680;METAL;;8200217216R;
109;1180;1140;860;       1074.900;METAL;;8200303298R;
110;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
111;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
112;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
113;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
114;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
115;1450;1140;850;         67.840;CARDBOARD;;165556262RR;
116;1450;1140;850;         67.840;CARDBOARD;;165556262RR;
117;1450;1140;850;         67.840;CARDBOARD;;165556262RR;
118;1450;1140;850;         67.840;CARDBOARD;;165556262RR;
119;2270;1170;1270;        544.340;METAL;;2M-969670;
120;2270;1170;1270;        697.840;METAL;;2M-969672;
121;2700;1140;1462;        352.800;WOOD;;8200035764R;
122;2700;1140;1462;        352.800;WOOD;;8200035764R;
123;2700;1140;1462;        352.800;WOOD;;8200035764R;
124;2700;1140;1462;        352.800;WOOD;;8200035764R;
125;2700;1140;1462;        352.800;WOOD;;8200035765R;
126;2700;1140;1462;        352.800;WOOD;;8200035765R;
127;2700;1140;1462;        352.800;WOOD;;8200035765R;
128;2700;1140;1462;        352.800;WOOD;;8200035765R;
129;1450;1140;850;         67.840;CARDBOARD;;165556262RR;
130;1450;1140;850;         67.840;CARDBOARD;;165556262RR;
131;1450;1140;640;        159.420;CARDBOARD;;488102002RR;
132;1450;1140;640;        159.420;CARDBOARD;;488102002RR;
133;1450;1140;640;        159.420;CARDBOARD;;488102002RR;
134;1450;1140;640;        159.420;CARDBOARD;;488102002RR;
135;1450;1140;640;        159.420;CARDBOARD;;488102002RR;
136;1450;1140;640;        159.420;CARDBOARD;;488102002RR;
137;1450;1140;640;        159.420;CARDBOARD;;488102002RR;
138;1450;1140;640;        159.420;CARDBOARD;;488102002RR;
139;1450;1140;640;        159.420;CARDBOARD;;488102002RR;
140;1450;1140;640;        159.420;CARDBOARD;;488102002RR;
141;1450;1140;640;        159.420;CARDBOARD;;488102002RR;
142;1450;1140;640;        159.420;CARDBOARD;;488102002RR;
143;1450;1140;850;        203.000;CARDBOARD;;488104415RR;
144;1450;1140;850;        203.000;CARDBOARD;;488104415RR;
145;1450;1140;850;        203.000;CARDBOARD;;488104415RR;
146;1450;1140;850;        196.000;CARDBOARD;;490013367RR;
147;1450;1140;850;        196.000;CARDBOARD;;490013367RR;
148;1450;1140;850;        196.000;CARDBOARD;;490013367RR;
149;1450;1140;850;        196.000;CARDBOARD;;490019274RR;
150;1450;1140;850;        196.000;CARDBOARD;;490019274RR;
151;1450;1140;850;        196.000;CARDBOARD;;490019274RR;
152;1450;1140;850;        196.000;CARDBOARD;;490019274RR;
153;1450;1140;850;        196.000;CARDBOARD;;490019274RR;
154;1450;1140;850;        196.000;CARDBOARD;;490019274RR;
155;1450;1140;640;         54.120;CARDBOARD;;7700410608R;
156;1450;1140;640;         54.120;CARDBOARD;;7700410608R;
157;1450;1140;640;         48.390;CARDBOARD;;7700410609R;
158;1450;1140;640;         48.390;CARDBOARD;;7700410609R;
159;1450;1140;640;        143.900;CARDBOARD;;8200029195R;
160;1450;1140;640;        143.900;CARDBOARD;;8200029195R;
161;1200;1000;400;         74.230;WOOD;;8200505925R;
162;1200;1000;400;         74.230;WOOD;;8200505925R;
163;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
164;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
165;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
166;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
167;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
168;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
