item code;length (mm);width (mm);height (mm);weight (kg);Package material;Orientation constrained;Product;
0;1180;1140;660;        142.740;METAL;;214100598RD;
1;1180;1140;660;        142.740;METAL;;214100598RD;
2;1180;1140;660;        142.740;METAL;;214100598RD;
3;1180;1140;660;        142.740;METAL;;214100598RD;
4;1180;1140;660;        142.740;METAL;;214100598RD;
5;1180;1140;660;        142.740;METAL;;214100598RD;
6;1140;950;850;         67.200;CARDBOARD;;260607840RD;
7;1140;950;850;         67.200;CARDBOARD;;260607840RD;
8;1140;950;850;         67.200;CARDBOARD;;260607840RD;
9;1140;950;850;        594.400;CARDBOARD;;402006048RD;
10;1140;950;850;        594.400;CARDBOARD;;402006048RD;
11;1140;950;850;        594.400;CARDBOARD;;402006048RD;
12;1140;950;850;        594.400;CARDBOARD;;402008719RD;
13;1140;950;850;        594.400;CARDBOARD;;402008719RD;
14;1140;950;850;        823.680;CARDBOARD;;432000505RD;
15;1140;950;850;        823.680;CARDBOARD;;432003429RD;
16;1140;950;850;        180.480;CARDBOARD;;472102641RD;
17;1140;950;850;        180.480;CARDBOARD;;472106715RD;
18;1200;1000;1150;        383.600;CARDBOARD;;543024989RD;
19;1200;1000;1150;        383.600;CARDBOARD;;543024989RD;
20;1450;1140;850;        245.200;CARDBOARD;LENGTHWISE;555016396RD;
21;1450;1140;850;        245.200;CARDBOARD;LENGTHWISE;555016396RD;
22;1450;1140;850;        245.200;CARDBOARD;LENGTHWISE;555016396RD;
23;1450;1140;850;        643.600;CARDBOARD;LENGTHWISE;625114257RD;
24;1180;1140;860;        363.000;METAL;;688300538RD;
25;1140;475;640;        233.300;CARDBOARD;WIDTHWISE;743526367RD;
26;1740;1140;850;        745.000;CARDBOARD;;743709613RD;
27;1450;1140;640;        235.000;CARDBOARD;;765161009RD;
28;1450;1140;640;        235.000;CARDBOARD;;765161009RD;
29;1140;950;850;        515.400;CARDBOARD;;8200315254D;
30;1140;475;640;        292.400;CARDBOARD;WIDTHWISE;8200516481D;
31;1140;475;640;        144.200;CARDBOARD;WIDTHWISE;8200574973D;
32;1140;950;850;        315.600;CARDBOARD;;8200574975D;
33;1140;950;850;        220.300;CARDBOARD;;8200667372D;
34;1140;950;850;        217.700;CARDBOARD;;8200667407D;
35;1140;475;640;        258.400;CARDBOARD;WIDTHWISE;8200694318D;
36;1140;475;640;        258.400;CARDBOARD;WIDTHWISE;8200694321D;
37;1140;950;850;        570.480;CARDBOARD;;8200750133D;
38;1140;950;850;        570.480;CARDBOARD;;8200750133D;
39;1450;1140;640;        273.640;CARDBOARD;;8200751644D;
40;1450;1140;1700;        677.400;WOOD;;8200758169D;
41;1140;950;850;         79.200;CARDBOARD;;8200805333D;
42;1140;950;850;         79.200;CARDBOARD;;8200805333D;
43;1200;800;1140;        131.800;CARDBOARD;;8200845892D;
44;1200;1000;1050;         82.500;WOOD;;8200848949D;
45;1200;1000;1050;         82.500;WOOD;;8200848950D;
46;2280;1140;640;        570.600;WOOD;;8200860078D;
47;2280;1140;640;        570.600;WOOD;;8200860078D;
48;1140;950;850;        450.000;CARDBOARD;;8200871591D;
49;1450;1140;850;        568.160;CARDBOARD;LENGTHWISE;8200883917D;
50;2280;1170;1250;        900.000;WOOD;;100016431RD;
51;1180;1140;660;        142.740;METAL;;214100598RD;
52;1180;1140;660;        142.740;METAL;;214100598RD;
53;1450;1140;850;        245.200;CARDBOARD;LENGTHWISE;555016396RD;
54;1450;1140;850;        245.200;CARDBOARD;LENGTHWISE;555016396RD;
55;1450;1140;850;        245.200;CARDBOARD;LENGTHWISE;555016396RD;
56;1450;1140;850;        245.200;CARDBOARD;LENGTHWISE;555016396RD;
57;1450;1140;850;        245.200;CARDBOARD;LENGTHWISE;555016396RD;
58;1450;1140;850;        245.200;CARDBOARD;LENGTHWISE;555016396RD;
59;1740;1140;850;        104.920;CARDBOARD;;638402115RD;
60;1450;1140;850;        173.800;CARDBOARD;LENGTHWISE;648604163RD;
61;1740;1140;640;        798.550;CARDBOARD;;743108130RD;
62;1740;1140;850;        745.000;CARDBOARD;;743709613RD;
63;1740;1140;850;        319.000;CARDBOARD;;751322126RD;
64;1450;1140;850;        356.100;CARDBOARD;LENGTHWISE;751331465RD;
65;1200;1000;1050;         73.680;WOOD;;8200210392D;
