item code;length (mm);width (mm);height (mm);weight (kg);Package material;Orientation constrained;Product;
0;1140;950;640;         49.350;CARDBOARD;;217100014RR;
1;1140;950;640;         49.350;CARDBOARD;;217100014RR;
2;1140;950;640;         49.350;CARDBOARD;;217100014RR;
3;1140;950;640;         49.350;CARDBOARD;;217100014RR;
4;1140;950;640;         49.350;CARDBOARD;;217100014RR;
5;1140;950;640;         49.350;CARDBOARD;;217100014RR;
6;1140;950;850;         53.540;CARDBOARD;;242300002RR;
7;2270;1170;1270;        578.910;METAL;;2M-969798;
8;2270;1170;1270;        393.640;METAL;;2M-969800;
9;2270;1170;1270;        340.160;METAL;;2M-969801;
10;2270;1170;1270;        523.350;METAL;;2M-969802;
11;2270;1170;1270;        503.230;METAL;;2M-969805;
12;2270;1170;1270;        396.440;METAL;;2M-969808;
13;2270;1170;1270;        406.230;METAL;;2M-969809;
14;2280;1200;640;        641.000;CARDBOARD;;320107576RR;
15;2280;1200;640;        641.000;CARDBOARD;;320107576RR;
16;2280;1200;640;        641.000;CARDBOARD;;320107576RR;
17;2280;1200;640;        641.000;CARDBOARD;;320107576RR;
18;2280;1200;640;        641.000;CARDBOARD;;320107576RR;
19;2280;1200;640;        641.000;CARDBOARD;;320107576RR;
20;2280;1200;640;        641.000;CARDBOARD;;320107576RR;
21;2280;1200;640;        641.000;CARDBOARD;;320107576RR;
22;2280;1200;640;        641.000;CARDBOARD;;320107576RR;
23;2280;1200;640;        641.000;CARDBOARD;;320107576RR;
24;2280;1200;640;        641.000;CARDBOARD;;320107576RR;
25;2280;1200;640;        641.000;CARDBOARD;;320107576RR;
26;1140;950;850;         55.310;CARDBOARD;;8200686267R;
27;1140;950;850;         55.310;CARDBOARD;;8200686267R;
28;2270;1170;1270;       1195.000;METAL;;8201188632R;
29;1140;950;640;         49.350;CARDBOARD;;217100014RR;
30;1140;950;640;         49.350;CARDBOARD;;217100014RR;
31;1200;1000;750;         55.200;WOOD;;23731ED02AR;
32;1200;1000;750;         55.200;WOOD;;23731ED02AR;
33;1140;950;850;         53.540;CARDBOARD;;242300002RR;
34;2280;1200;640;        641.000;CARDBOARD;;320107576RR;
35;2280;1200;640;        641.000;CARDBOARD;;320107576RR;
36;2280;1200;640;        641.000;CARDBOARD;;320107576RR;
37;2280;1200;640;        641.000;CARDBOARD;;320107576RR;
38;2280;1200;640;        641.000;CARDBOARD;;320107576RR;
39;2280;1200;640;        641.000;CARDBOARD;;320107576RR;
40;2280;1200;640;        641.000;CARDBOARD;;320107576RR;
41;2280;1200;640;        641.000;CARDBOARD;;320107576RR;
42;2280;1200;640;        641.000;CARDBOARD;;320107576RR;
43;2280;1200;640;        641.000;CARDBOARD;;320107576RR;
44;2280;1200;640;        641.000;CARDBOARD;;320107576RR;
45;2280;1200;640;        641.000;CARDBOARD;;320107576RR;
46;2280;1200;640;        641.000;CARDBOARD;;320107576RR;
47;2280;1200;640;        641.000;CARDBOARD;;320107576RR;
48;2280;1200;640;        641.000;CARDBOARD;;320107576RR;
49;2280;1200;640;        641.000;CARDBOARD;;320107576RR;
50;2280;1200;640;        641.000;CARDBOARD;;320107576RR;
51;2280;1200;640;        641.000;CARDBOARD;;320107576RR;
52;2280;1200;640;        641.000;CARDBOARD;;320107576RR;
53;2280;1200;640;        641.000;CARDBOARD;;320107576RR;
54;1140;950;850;         77.300;CARDBOARD;;8200923144R;
55;1140;950;850;         77.300;CARDBOARD;;8200923144R;
56;1450;1140;850;         92.000;CARDBOARD;;908506046RR;
57;1450;1140;850;         92.000;CARDBOARD;;908506046RR;
58;1450;1140;850;         92.000;CARDBOARD;;908506046RR;
59;1200;1000;750;         24.800;CARDBOARD;;924400810RR;
60;1200;1000;1050;        232.500;WOOD;;112210001RR;
61;1200;1000;1050;        133.050;WOOD;;215017612RR;
62;1140;950;640;         49.350;CARDBOARD;;217100014RR;
63;1140;950;640;         49.350;CARDBOARD;;217100014RR;
64;1140;950;640;         49.350;CARDBOARD;;217100014RR;
65;1140;950;640;         49.350;CARDBOARD;;217100014RR;
66;1140;950;640;         49.350;CARDBOARD;;217100014RR;
67;1140;950;640;         49.350;CARDBOARD;;217100014RR;
68;1140;950;640;         49.350;CARDBOARD;;217100014RR;
69;1140;950;640;         49.350;CARDBOARD;;217100014RR;
70;1140;950;640;         49.350;CARDBOARD;;217100014RR;
71;1140;950;640;         49.350;CARDBOARD;;217100014RR;
72;1140;950;640;         49.350;CARDBOARD;;217100014RR;
73;1140;950;640;         49.350;CARDBOARD;;217100014RR;
74;1140;950;640;        326.260;CARDBOARD;;233002654RR;
75;1140;950;850;         53.540;CARDBOARD;;242300002RR;
76;1140;950;850;         53.540;CARDBOARD;;242300002RR;
77;1140;950;850;         53.540;CARDBOARD;;242300002RR;
78;1140;950;850;         53.540;CARDBOARD;;242300002RR;
79;1140;950;850;         53.540;CARDBOARD;;242300002RR;
80;1140;950;850;         53.540;CARDBOARD;;242300002RR;
81;1140;950;850;         53.540;CARDBOARD;;242300002RR;
82;1140;950;850;         53.540;CARDBOARD;;242300002RR;
83;1140;950;850;         53.540;CARDBOARD;;242300002RR;
84;1140;950;850;         53.540;CARDBOARD;;242300002RR;
85;1140;950;850;         53.540;CARDBOARD;;242300002RR;
86;1140;950;850;         53.540;CARDBOARD;;242300002RR;
87;1200;1000;750;        145.190;WOOD;;243800014RR;
88;1180;1140;860;       1356.880;METAL;;2M-969804;
89;1180;1140;860;       1291.800;METAL;;2M-969806;
90;1180;1140;860;       1441.270;METAL;;2M-970609;
91;1180;1140;860;       1106.980;METAL;;2M-979697;
92;1180;1140;860;       1115.490;METAL;;2M-979701;
93;1180;1140;860;       1107.620;METAL;;2M-979706;
94;1180;1140;860;       1104.490;METAL;;2M-979721;
95;1180;1140;860;       1104.250;METAL;;2M-979722;
96;1180;1140;860;       1276.030;METAL;;2M-979723;
97;1180;1140;860;       1373.400;METAL;;2M-979724;
98;1180;1140;860;       1276.920;METAL;;2M-979725;
99;1180;1140;860;       1103.590;METAL;;2M-979726;
100;1200;1000;1050;        120.760;WOOD;;465010004RR;
101;1140;950;640;        178.160;CARDBOARD;;465010027RR;
102;1140;950;640;        178.160;CARDBOARD;;465010027RR;
103;1140;950;640;        141.750;CARDBOARD;;465100002RR;
104;1140;950;640;        249.620;CARDBOARD;;465600001RR;
105;1140;950;850;         55.310;CARDBOARD;;8200686267R;
106;1140;950;850;         55.310;CARDBOARD;;8200686267R;
107;1140;950;850;         55.310;CARDBOARD;;8200686267R;
108;1140;950;850;         66.860;CARDBOARD;;8200792661R;
109;1140;950;850;         77.300;CARDBOARD;;8200923144R;
110;1140;950;850;         77.300;CARDBOARD;;8200923144R;
111;1140;950;850;         77.300;CARDBOARD;;8200923144R;
112;1140;950;850;         53.540;CARDBOARD;;242300002RR;
113;1200;1000;750;        145.190;WOOD;;243800014RR;
114;1180;1140;860;       1141.610;METAL;;2M-969791;
115;1180;1140;860;       1218.230;METAL;;2M-969799;
116;1180;1140;860;       1177.450;METAL;;2M-969803;
117;1180;1140;860;       1107.820;METAL;;2M-969807;
118;1180;1140;860;       1221.160;METAL;;2M-969810;
119;1180;1140;860;       1172.600;METAL;;2M-969811;
120;1180;1140;860;       1032.940;METAL;;2M-970603;
121;1180;1140;860;       1021.860;METAL;;2M-970605;
122;1180;1140;860;       1139.500;METAL;;2M-970606;
123;1180;1140;860;       1104.230;METAL;;2M-979692;
124;1180;1140;860;       1310.640;METAL;;2M-979707;
125;1180;1140;860;       1148.750;METAL;;2M-979708;
126;1180;1140;860;       1103.470;METAL;;2M-979711;
127;1180;1140;860;       1109.030;METAL;;2M-979714;
128;1180;1140;860;       1278.600;METAL;;2M-979715;
129;1180;1140;860;       1114.280;METAL;;2M-979718;
130;1200;1000;1050;        120.760;WOOD;;465010004RR;
131;1200;1000;1050;        120.760;WOOD;;465010004RR;
132;1200;1000;1050;        120.760;WOOD;;465010004RR;
133;1200;1000;1050;        120.760;WOOD;;465010004RR;
134;2270;1170;1270;       1195.000;METAL;;8201188632R;
135;2270;1170;1270;       1195.000;METAL;;8201188632R;
136;2270;1170;1270;        321.730;METAL;;217100005RR;
137;2270;1170;1270;        321.730;METAL;;217100005RR;
138;2270;1170;1270;        466.070;METAL;;2M-969792;
139;2270;1170;1270;       1195.000;METAL;;8201188632R;
140;2270;1170;1270;       1195.000;METAL;;8201188632R;
141;2270;1170;1270;       1195.000;METAL;;8201188632R;
142;2270;1170;1270;       1195.000;METAL;;8201188632R;
143;2270;1170;1270;       1195.000;METAL;;8201188632R;
144;2270;1170;1270;       1195.000;METAL;;8201188632R;
145;2270;1170;1270;       1195.000;METAL;;8201188632R;
146;2270;1170;1270;       1195.000;METAL;;8201188632R;
147;2270;1170;1270;       1195.000;METAL;;8201188632R;
148;2270;1170;1270;       1195.000;METAL;;8201188632R;
149;2270;1170;1270;       1195.000;METAL;;8201188632R;
150;2270;1170;1270;       1195.000;METAL;;8201188632R;
151;2270;1170;1270;       1195.000;METAL;;8201188632R;
152;2270;1170;1270;       1195.000;METAL;;8201188632R;
153;2270;1170;1270;       1195.000;METAL;;8201188632R;
154;2270;1170;1270;       1195.000;METAL;;8201188632R;
155;2270;1170;1270;       1195.000;METAL;;8201188632R;
156;2270;1170;1270;        321.730;METAL;;217100005RR;
157;2270;1170;1270;        321.730;METAL;;217100005RR;
158;2270;1170;1270;        321.730;METAL;;217100005RR;
159;2270;1170;1270;        321.730;METAL;;217100005RR;
160;2270;1170;1270;        565.130;METAL;;2M-969814;
