item code;length (mm);width (mm);height (mm);weight (kg);Package material;Orientation constrained;Product;
0;1370;1150;1110;        340.000;WOOD;;403008773RR;
1;1370;1150;1110;        340.000;WOOD;;403008773RR;
2;1370;1150;1110;        340.000;WOOD;;403008773RR;
3;1370;1150;1110;        340.000;WOOD;;403008773RR;
4;1370;1150;1110;        340.000;WOOD;;403008773RR;
5;1370;1150;1110;        340.000;WOOD;;403008773RR;
6;1370;1150;1110;        340.000;WOOD;;403008773RR;
7;1370;1150;1110;        340.000;WOOD;;403008773RR;
8;1370;1150;1110;        340.000;WOOD;;403008773RR;
9;1370;1150;1110;        340.000;WOOD;;403008773RR;
10;1370;1150;1110;        340.000;WOOD;;403008773RR;
11;1370;1150;1110;        340.000;WOOD;;403008773RR;
12;1370;1150;1110;        340.000;WOOD;;403008773RR;
13;1370;1150;1110;        340.000;WOOD;;403008773RR;
14;1370;1150;1110;        340.000;WOOD;;403008773RR;
15;1370;1150;1110;        340.000;WOOD;;403008773RR;
16;1370;1150;1110;        340.000;WOOD;;403008773RR;
17;1370;1150;1110;        340.000;WOOD;;403008773RR;
18;1370;1150;1110;        340.000;WOOD;;403008773RR;
19;1370;1150;1110;        340.000;WOOD;;403008773RR;
20;1370;1150;1110;        340.000;WOOD;;403008773RR;
21;1370;1150;1110;        340.000;WOOD;;403008773RR;
22;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
23;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
24;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
25;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
26;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
27;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
28;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
29;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
30;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
31;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
32;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
33;1450;1140;640;         29.150;CARDBOARD;;8200756961R;
34;1450;1140;640;        265.500;CARDBOARD;;8200790180R;
35;1450;1140;850;         85.600;CARDBOARD;;278608070RJ;
36;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
37;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
38;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
39;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
40;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
41;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
42;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
43;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
44;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
45;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
46;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
47;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
48;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
49;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
50;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
51;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
52;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
53;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
54;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
55;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
56;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
57;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
58;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
59;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
60;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
61;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
62;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
63;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
64;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
65;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
66;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
67;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
68;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
69;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
70;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
71;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
72;1450;1140;850;        602.180;CARDBOARD;;641222679RR;
73;1450;1140;850;        605.710;CARDBOARD;;641237644RR;
74;1450;1140;850;        605.710;CARDBOARD;;641237644RR;
75;1450;1140;640;         29.150;CARDBOARD;;8200756961R;
76;1450;1140;640;         29.150;CARDBOARD;;8200756961R;
77;1450;1140;640;         29.150;CARDBOARD;;8200756961R;
78;1450;1140;640;         29.150;CARDBOARD;;8200756961R;
79;1450;1140;850;        108.000;CARDBOARD;;985100534RR;
80;1450;1140;850;        108.000;CARDBOARD;;985109782RR;
81;1450;1140;850;        108.000;CARDBOARD;;985109782RR;
82;1450;1140;850;        108.000;CARDBOARD;;985109782RR;
83;1450;1140;850;        108.000;CARDBOARD;;985109782RR;
84;1200;1000;1045;        128.240;CARDBOARD;;164002459RR;
85;1200;1000;1045;        128.240;CARDBOARD;;164002459RR;
86;1200;1000;1045;        128.240;CARDBOARD;;164002459RR;
87;1200;1000;1045;        128.240;CARDBOARD;;164002459RR;
88;1200;1000;1045;        128.240;CARDBOARD;;164002459RR;
89;1200;1000;1045;        128.240;CARDBOARD;;164002459RR;
90;1200;1000;1045;        128.240;CARDBOARD;;164002459RR;
91;1200;1000;1045;        128.240;CARDBOARD;;164002459RR;
92;1200;1000;1045;        222.080;CARDBOARD;;164006468RR;
93;1200;1000;1045;        222.080;CARDBOARD;;164006468RR;
94;1200;1000;1050;         72.300;WOOD;;226404490RR;
95;1200;1000;750;        160.200;WOOD;;259752753RR;
96;1200;1000;1050;        172.080;WOOD;;281444271RR;
97;1200;1000;1050;        172.080;WOOD;;281444271RR;
98;1200;1000;1050;        172.080;WOOD;;281444271RR;
99;1200;1000;1050;        172.080;WOOD;;281444271RR;
100;1200;1000;1050;        172.080;WOOD;;281444271RR;
101;1200;1000;1050;        172.080;WOOD;;281444271RR;
102;1200;1000;1050;        116.400;WOOD;;281563SG0AR;
103;1200;1000;1050;        116.400;WOOD;;281563SG0AR;
104;1200;1000;1050;        116.400;WOOD;;281563SG0AR;
105;1200;1000;1050;        116.400;WOOD;;281563SG0AR;
106;1200;1000;1050;        116.400;WOOD;;281563SG0AR;
107;1200;1000;1050;        116.400;WOOD;;281563SG0AR;
108;1200;1000;1050;        116.400;WOOD;;281563SG0AR;
109;1200;1000;1050;        116.400;WOOD;;281563SG0AR;
110;1200;1000;1050;        116.400;WOOD;;281563SG0AR;
111;1200;1000;1050;        116.400;WOOD;;281563SG0AR;
112;1200;1000;1050;        116.400;WOOD;;281563SG0AR;
113;1200;1000;1050;        116.400;WOOD;;281563SG0AR;
114;1200;1000;1050;        116.400;WOOD;;281563SG0AR;
115;1200;1000;1050;        116.400;WOOD;;281563SG0AR;
116;1200;1000;1050;        105.000;WOOD;;306104118RR;
117;1200;1000;1050;        105.000;WOOD;;306104118RR;
118;1200;1000;1050;        105.000;WOOD;;306104118RR;
119;1200;1000;750;        423.450;WOOD;;654713274RR;
120;1200;1000;1050;        104.400;WOOD;;681725492RR;
121;1200;1000;1045;        108.800;CARDBOARD;;681726046RR;
122;1200;1000;1045;        108.800;CARDBOARD;;681726046RR;
123;1200;1000;1045;        108.800;CARDBOARD;;681726046RR;
124;1200;1000;1050;        475.440;WOOD;;904529943RR;
125;1450;1140;850;         85.600;CARDBOARD;;278608070RJ;
126;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
127;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
128;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
129;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
130;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
131;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
132;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
133;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
134;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
135;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
136;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
137;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
138;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
139;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
140;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
141;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
142;1450;1140;850;        196.000;CARDBOARD;;490014306RR;
143;1450;1140;850;        602.180;CARDBOARD;;641222679RR;
144;1450;1140;850;        602.180;CARDBOARD;;641222679RR;
145;1450;1140;850;        602.180;CARDBOARD;;641222679RR;
