item code;length (mm);width (mm);height (mm);weight (kg);Package material;Orientation constrained;Product;
0;1720;1140;1130;        269.330;WOOD;;651123403RC;
1;1720;1140;1130;        269.330;WOOD;;651123403RC;
2;1720;1140;1130;        269.330;WOOD;;651123403RC;
3;1740;1140;640;        595.600;CARDBOARD;;651229324RC;
4;1450;1140;850;         45.000;CARDBOARD;LENGTHWISE;658407821RC;
5;1450;1140;850;         45.000;CARDBOARD;LENGTHWISE;658407821RC;
6;1450;1140;850;         45.000;CARDBOARD;LENGTHWISE;658407821RC;
7;1450;1140;850;         45.000;CARDBOARD;LENGTHWISE;658407821RC;
8;1180;1140;660;        858.000;METAL;;663606485RC;
9;1200;1000;1045;         88.000;CARDBOARD;;682608350RC;
10;1200;1000;1045;         77.200;CARDBOARD;;682608729RC;
11;1200;1000;1045;         88.000;CARDBOARD;;682609827RC;
12;1720;1140;1560;        338.750;WOOD;;731121036RC;
13;1720;1140;1560;        338.750;WOOD;;731121036RC;
14;1720;1140;1560;        338.750;WOOD;;731121036RC;
15;1720;1140;1560;        338.750;WOOD;;731121036RC;
16;1720;1140;1560;        338.750;WOOD;;731121036RC;
17;1720;1140;1560;        338.750;WOOD;;731121036RC;
18;1720;1140;1560;        338.750;WOOD;;731121036RC;
19;1720;1140;1560;        338.750;WOOD;;731121036RC;
20;1720;1140;1560;        338.750;WOOD;;731121036RC;
21;1720;1140;1560;        338.750;WOOD;;731121036RC;
22;1140;950;640;        685.000;CARDBOARD;;732109256RC;
23;1140;950;850;        456.000;CARDBOARD;;732332147RC;
24;1180;1140;660;        349.200;METAL;;743547961RC;
25;1180;1140;660;        349.200;METAL;;743547961RC;
26;1140;475;640;         83.000;CARDBOARD;WIDTHWISE;745400414RC;
27;1140;475;640;         83.000;CARDBOARD;WIDTHWISE;745400414RC;
28;1140;950;640;        102.500;CARDBOARD;;745416076RC;
29;1140;475;640;         73.000;CARDBOARD;WIDTHWISE;745416359RC;
30;1740;1140;640;        305.200;CARDBOARD;;755104391RC;
31;1450;1140;850;        124.960;CARDBOARD;LENGTHWISE;472103298RC;
32;1450;1140;850;        124.960;CARDBOARD;LENGTHWISE;472103298RC;
33;1450;1140;850;        124.960;CARDBOARD;LENGTHWISE;472103298RC;
34;1450;1140;850;        124.960;CARDBOARD;LENGTHWISE;472103298RC;
35;1450;1140;850;        124.960;CARDBOARD;LENGTHWISE;472103298RC;
36;1450;1140;850;        124.960;CARDBOARD;LENGTHWISE;472103298RC;
37;1450;1140;850;        124.960;CARDBOARD;LENGTHWISE;472103298RC;
38;1480;1140;860;        211.000;METAL;;484003051RC;
39;1480;1140;860;        211.000;METAL;;484005160RC;
40;1480;1140;860;        211.000;METAL;;484006206RC;
41;1480;1140;860;        211.000;METAL;;484006206RC;
42;1480;1140;860;        206.500;METAL;;484006589RC;
43;1480;1140;860;        206.500;METAL;;484006589RC;
44;1140;950;850;        374.700;CARDBOARD;;491118493RC;
45;1200;1000;1045;        106.000;CARDBOARD;;620248105RC;
46;1200;1000;1045;        106.000;CARDBOARD;;620257603RC;
47;1140;950;640;         48.000;CARDBOARD;;620729362RC;
48;1140;950;850;         47.760;CARDBOARD;;622543229RC;
49;1140;950;850;         47.760;CARDBOARD;;622543229RC;
50;1140;950;850;         47.760;CARDBOARD;;622543229RC;
51;1140;950;850;         47.760;CARDBOARD;;622543229RC;
52;1140;950;850;         47.760;CARDBOARD;;622543229RC;
53;1140;950;850;         47.760;CARDBOARD;;622543229RC;
54;1140;950;850;         47.760;CARDBOARD;;622543229RC;
55;1140;950;850;         47.760;CARDBOARD;;622543229RC;
56;1140;950;850;         47.760;CARDBOARD;;622543229RC;
57;1140;950;850;         47.760;CARDBOARD;;622543229RC;
58;1140;950;850;         47.760;CARDBOARD;;622543229RC;
59;1140;950;850;         47.760;CARDBOARD;;622543229RC;
