item code;length (mm);width (mm);height (mm);weight (kg);Package material;Orientation constrained;Product;
0;1740;1140;850;        405.880;CARDBOARD;LENGTHWISE;112845638RG;
1;1140;950;850;         74.240;CARDBOARD;;165001258RG;
2;1140;950;850;         74.240;CARDBOARD;;165001258RG;
3;1140;950;850;         74.240;CARDBOARD;;165001258RG;
4;1140;950;850;         74.240;CARDBOARD;;165001258RG;
5;1140;950;850;         74.240;CARDBOARD;;165001258RG;
6;1140;950;850;         74.240;CARDBOARD;;165001258RG;
7;1140;950;850;         74.240;CARDBOARD;;165001258RG;
8;1200;1000;1045;         77.200;CARDBOARD;;165556691RG;
9;1200;1000;1045;         77.200;CARDBOARD;;165556691RG;
10;1200;1000;1045;         77.200;CARDBOARD;;165556691RG;
11;1200;1000;1045;         77.200;CARDBOARD;;165556691RG;
12;1200;1000;1045;         77.200;CARDBOARD;;165556691RG;
13;1200;1000;1045;         77.200;CARDBOARD;;165556691RG;
14;1200;1000;1045;         76.000;CARDBOARD;;175B15263RG;
15;1200;1000;1045;         76.000;CARDBOARD;;175B15263RG;
16;1200;1000;1045;         76.000;CARDBOARD;;175B15263RG;
17;1200;1000;1045;         97.000;CARDBOARD;;215016178RG;
18;1250;1050;850;        160.000;CARDBOARD;;215018803RG;
19;1200;1000;945;        114.750;CARDBOARD;;215032534RG;
20;1140;950;850;        130.250;CARDBOARD;;215036265RG;
21;1140;950;850;        130.250;CARDBOARD;;215036265RG;
22;1140;950;850;        130.250;CARDBOARD;;215036265RG;
23;1140;950;850;        130.250;CARDBOARD;;215036265RG;
24;1200;1200;745;        140.000;CARDBOARD;;217411761RG;
25;1200;1000;1045;        241.360;CARDBOARD;;256103690RG;
26;1250;1050;850;        205.000;CARDBOARD;;288816769RG;
27;1250;1050;850;        205.000;CARDBOARD;;288869061RG;
28;1140;950;640;        146.000;CARDBOARD;;360174112RG;
29;1140;950;640;        296.000;CARDBOARD;;364007536RG;
30;1140;950;640;        296.000;CARDBOARD;;364007536RG;
31;1200;1000;745;        264.400;CARDBOARD;;397747134RG;
32;1200;1000;1045;        257.200;CARDBOARD;;465010857RG;
33;1140;950;850;         60.000;CARDBOARD;;497207195RG;
34;1140;475;640;        446.000;CARDBOARD;;511300003RG;
35;1140;475;640;        484.000;CARDBOARD;;732380612RG;
36;1140;475;640;        484.000;CARDBOARD;;732380612RG;
37;4700;400;400;        209.000;WOOD;;822624035RG;
38;4700;400;400;        209.000;WOOD;;822624035RG;
39;4700;400;400;        209.000;WOOD;;822624035RG;
40;4700;400;400;        209.000;WOOD;;822636088RG;
41;4700;400;400;        209.000;WOOD;;822636088RG;
42;4700;400;400;        209.000;WOOD;;822636088RG;
43;1250;1050;850;        466.000;CARDBOARD;;868843271RG;
44;1250;1050;850;        307.000;CARDBOARD;;868850887RG;
45;1250;1050;850;        466.000;CARDBOARD;;868853992RG;
46;1250;1050;850;        457.000;CARDBOARD;;888227299RG;
47;1200;1000;1045;        202.750;CARDBOARD;;924003836RG;
48;1200;1000;1045;         90.250;CARDBOARD;;924109995RG;
49;1140;950;640;        178.400;CARDBOARD;;112228880RG;
50;1740;1140;850;        405.880;CARDBOARD;LENGTHWISE;112845638RG;
51;1740;1140;850;        405.880;CARDBOARD;LENGTHWISE;112845638RG;
52;1740;1140;850;        405.880;CARDBOARD;LENGTHWISE;112845638RG;
53;1200;1000;550;        272.600;CARDBOARD;;112849985RG;
54;1140;950;850;         74.240;CARDBOARD;;165001258RG;
55;1140;950;850;         74.240;CARDBOARD;;165001258RG;
56;1140;950;850;         74.240;CARDBOARD;;165001258RG;
57;1140;950;850;         74.240;CARDBOARD;;165001258RG;
58;1140;950;850;         74.240;CARDBOARD;;165001258RG;
59;1140;950;850;         74.240;CARDBOARD;;165001258RG;
60;1140;950;850;         74.240;CARDBOARD;;165001258RG;
61;1140;950;850;         74.240;CARDBOARD;;165001258RG;
62;1140;950;850;         74.240;CARDBOARD;;165001258RG;
63;1140;950;850;         74.240;CARDBOARD;;165001258RG;
64;1140;950;850;         74.240;CARDBOARD;;165001258RG;
65;1140;950;850;         74.240;CARDBOARD;;165001258RG;
66;1140;950;850;         74.240;CARDBOARD;;165001258RG;
67;1140;950;850;         74.240;CARDBOARD;;165001258RG;
68;1140;950;850;         74.240;CARDBOARD;;165001258RG;
69;1140;950;850;         74.240;CARDBOARD;;165001258RG;
70;1200;1000;1045;         77.200;CARDBOARD;;165556691RG;
71;1200;1000;1045;         77.200;CARDBOARD;;165556691RG;
72;1200;1000;1045;         77.200;CARDBOARD;;165556691RG;
73;1200;1000;1045;         77.200;CARDBOARD;;165556691RG;
74;1200;1000;1045;         77.200;CARDBOARD;;165556691RG;
75;1200;1000;1045;         77.200;CARDBOARD;;165556691RG;
76;1200;1000;1045;         77.200;CARDBOARD;;165556691RG;
77;1200;1000;1045;         77.200;CARDBOARD;;165556691RG;
78;1200;1000;1045;         77.200;CARDBOARD;;165556691RG;
79;1200;1000;1045;         77.200;CARDBOARD;;165556691RG;
80;1200;1000;745;         60.000;CARDBOARD;;165559019RG;
81;1200;1000;1045;         76.000;CARDBOARD;;175B15263RG;
82;1200;1000;1045;         76.000;CARDBOARD;;175B15263RG;
83;1200;1000;1045;         76.000;CARDBOARD;;175B15263RG;
84;1200;1000;1045;         76.000;CARDBOARD;;175B15263RG;
85;1200;1000;1045;         76.000;CARDBOARD;;175B15263RG;
86;1200;1000;1045;         76.000;CARDBOARD;;175B15263RG;
