item code;length (mm);width (mm);height (mm);weight (kg);Package material;Orientation constrained;Product;
0;1180;1140;860;        203.600;METAL;;144965154RT;
1;1180;1140;860;        203.600;METAL;;144965154RT;
2;1180;1140;860;        203.600;METAL;;144965154RT;
3;1180;1140;860;        203.600;METAL;;144965154RT;
4;1180;1140;860;        203.600;METAL;;144965154RT;
5;1180;1140;860;        203.600;METAL;;144965154RT;
6;1180;1140;860;        203.600;METAL;;144965154RT;
7;1180;1140;860;        203.600;METAL;;144965154RT;
8;1180;1140;860;        203.600;METAL;;144965154RT;
9;1180;1140;860;        203.600;METAL;;144965154RT;
10;1180;1140;860;        203.600;METAL;;144965154RT;
11;1180;1140;860;        203.600;METAL;;144966051RT;
12;1180;1140;860;        203.600;METAL;;144966051RT;
13;1180;1140;860;        203.600;METAL;;144966051RT;
14;1200;1000;1050;        142.500;WOOD;;149509035RT;
15;1200;1000;1050;        142.500;WOOD;;149509035RT;
16;1200;1000;1050;        142.500;WOOD;;149509035RT;
17;1200;1000;1050;        142.500;WOOD;;149509035RT;
18;1200;1000;1045;        178.000;CARDBOARD;;165753131RT;
19;1200;1000;1045;        178.300;CARDBOARD;;165764382RT;
20;1200;1000;1045;        178.300;CARDBOARD;;165764382RT;
21;1200;1000;1045;        178.300;CARDBOARD;;165764382RT;
22;1200;1000;1045;        178.300;CARDBOARD;;165764382RT;
23;1200;1000;1400;        583.000;WOOD;;172015260RT;
24;1200;1000;1400;        583.000;WOOD;;172015260RT;
25;1200;1000;1400;        583.000;WOOD;;172015260RT;
26;1200;1000;1400;        583.000;WOOD;;172015260RT;
27;2280;950;640;         77.200;CARDBOARD;;175064923RT;
28;2280;950;640;         77.200;CARDBOARD;;175064923RT;
29;1140;475;640;        140.000;CARDBOARD;WIDTHWISE;175750078RT;
30;1140;475;640;        140.000;CARDBOARD;WIDTHWISE;175750078RT;
31;1140;950;640;        255.200;CARDBOARD;;200600101RT;
32;1140;950;850;        254.400;CARDBOARD;;208023629RT;
33;1140;950;850;        254.400;CARDBOARD;;208023629RT;
34;1140;950;850;        254.400;CARDBOARD;;208023629RT;
35;1140;950;850;        254.400;CARDBOARD;;208023629RT;
36;1180;1140;860;        150.880;METAL;;214100078RT;
37;1180;1140;860;        150.880;METAL;;214100078RT;
38;1180;1140;860;        150.880;METAL;;214100078RT;
39;1180;1140;860;        150.880;METAL;;214100078RT;
40;1180;1140;860;        150.880;METAL;;214100078RT;
41;1180;1140;860;        150.880;METAL;;214100078RT;
42;1180;1140;860;        150.880;METAL;;214100078RT;
43;1180;1140;860;        150.880;METAL;;214100078RT;
44;1180;1140;860;        150.880;METAL;;214100078RT;
45;1180;1140;860;        150.880;METAL;;214100078RT;
46;1200;1000;1050;        142.500;WOOD;;149509035RT;
47;1200;1000;1050;        142.500;WOOD;;149509035RT;
48;1200;1000;1045;        178.300;CARDBOARD;;165764382RT;
49;1200;1000;1045;        178.300;CARDBOARD;;165764382RT;
50;1200;1000;1400;        583.000;WOOD;;172015260RT;
51;1200;1000;1400;        583.000;WOOD;;172015260RT;
52;1180;1140;860;        130.880;METAL;;214107326RT;
53;1140;950;640;        322.400;CARDBOARD;;233003329RT;
54;1140;950;850;        187.200;CARDBOARD;;260422277RT;
55;1200;1000;1145;        124.400;CARDBOARD;;261500097RT;
56;1200;1000;1045;        115.000;CARDBOARD;;261A20107RT;
57;1200;1000;1045;        115.000;CARDBOARD;;261A39007RT;
58;1180;1140;860;        147.200;METAL;;265550577RT;
59;1200;1000;1045;         73.000;CARDBOARD;;275009384RT;
60;1140;950;640;         31.880;CARDBOARD;;278701538RT;
61;1140;950;640;         31.880;CARDBOARD;;278701538RT;
62;1140;950;640;         30.800;CARDBOARD;;278719292RT;
63;1140;950;850;        708.000;CARDBOARD;;410107518RT;
64;1140;950;850;        708.000;CARDBOARD;;410107518RT;
65;1200;1000;1045;         82.000;CARDBOARD;;474018044RT;
66;1140;950;850;        177.600;CARDBOARD;;543020964RT;
67;1140;950;850;        177.600;CARDBOARD;;543020964RT;
68;1200;1000;1045;        106.000;CARDBOARD;;620248105RT;
69;1200;1000;1045;        106.000;CARDBOARD;;620257603RT;
70;1140;950;850;        460.800;CARDBOARD;;625119420RT;
71;1140;950;640;        548.000;CARDBOARD;;631437438RT;
72;1200;1000;1145;         51.400;CARDBOARD;;638A07296RT;
73;1200;1000;1050;        114.000;WOOD;;648944029RT;
74;1200;1000;1045;         77.200;CARDBOARD;;682605983RT;
75;1200;1000;1045;         73.150;CARDBOARD;;682606986RT;
76;1200;1000;1045;         73.150;CARDBOARD;;682606986RT;
77;1140;950;640;        685.000;CARDBOARD;;732109256RT;
78;1140;950;850;        456.000;CARDBOARD;;732332147RT;
79;1140;950;850;        456.000;CARDBOARD;;732332147RT;
80;1140;950;640;        443.000;CARDBOARD;;732569268RT;
81;1140;950;640;        443.000;CARDBOARD;;732569268RT;
82;1140;950;640;        231.200;CARDBOARD;;743547961RT;
83;1140;950;640;        231.200;CARDBOARD;;743547961RT;
84;1140;950;640;        231.200;CARDBOARD;;743547961RT;
85;1140;950;640;        530.540;CARDBOARD;;743668030RT;
86;1140;950;640;        246.080;CARDBOARD;;751D14003RT;
87;1200;1000;1045;        109.600;CARDBOARD;;806337269RT;
88;1200;1000;1045;         98.500;CARDBOARD;;8200490253T;
89;1200;1000;1045;        130.000;CARDBOARD;;8200732428T;
90;1140;950;640;        290.000;CARDBOARD;;8200752469T;
91;1200;1000;650;        220.100;WOOD;;8200849143T;
92;1140;950;850;        176.100;CARDBOARD;;807209299RT;
93;1140;950;850;        176.100;CARDBOARD;;807209299RT;
94;1140;950;850;        176.100;CARDBOARD;;807213282RT;
95;1140;950;850;        176.100;CARDBOARD;;807213282RT;
96;1140;950;850;        176.100;CARDBOARD;;807213282RT;
97;1140;950;850;        176.100;CARDBOARD;;807213282RT;
98;1140;950;850;        176.100;CARDBOARD;;807213282RT;
99;1140;950;640;        414.200;CARDBOARD;;8200369521T;
100;1140;475;640;         22.400;CARDBOARD;WIDTHWISE;8200684159T;
101;1140;475;640;         22.400;CARDBOARD;WIDTHWISE;8200684159T;
102;1200;1000;1145;        185.600;CARDBOARD;;8200728639T;
103;1200;1000;1045;        130.000;CARDBOARD;;8200732428T;
104;1140;475;640;        474.000;CARDBOARD;WIDTHWISE;8200750242T;
105;1140;475;640;        474.000;CARDBOARD;WIDTHWISE;8200750242T;
106;1140;950;850;        157.750;CARDBOARD;;8200869036T;
107;1140;475;640;        406.000;CARDBOARD;WIDTHWISE;821465501RT;
108;1140;475;640;        406.000;CARDBOARD;WIDTHWISE;821471906RT;
109;1140;475;640;        406.000;CARDBOARD;WIDTHWISE;821471906RT;
110;2270;1170;1270;        901.000;METAL;WIDTHWISE;806014923RT;
111;2270;1170;1270;        791.530;METAL;WIDTHWISE;806014923RT;
112;2270;1170;1270;        639.720;METAL;WIDTHWISE;806014923RT;
113;2270;1170;1270;        559.370;METAL;WIDTHWISE;806014923RT;
114;2270;1170;1270;        570.140;METAL;WIDTHWISE;806014923RT;
115;2270;1170;1270;       1240.240;METAL;WIDTHWISE;806014923RT;
116;2270;1170;1270;       2217.380;METAL;WIDTHWISE;806014923RT;
117;2270;1170;1270;        833.380;METAL;WIDTHWISE;806014923RT;
118;2270;1170;1270;       1432.460;METAL;WIDTHWISE;806014923RT;
119;2270;1170;1270;       1159.960;METAL;WIDTHWISE;806014923RT;
120;2270;1170;1270;       2711.020;METAL;WIDTHWISE;806014923RT;
121;2270;1170;1270;       1271.260;METAL;WIDTHWISE;806014923RT;
122;2270;1170;1270;       1509.040;METAL;WIDTHWISE;806014923RT;
123;2270;1170;1270;       1746.720;METAL;WIDTHWISE;631233582RT;
124;1450;1140;640;       1010.600;CARDBOARD;;112849223RT;
125;1450;1140;640;       1010.600;CARDBOARD;;112849223RT;
126;1450;1140;640;       1010.600;CARDBOARD;;112849223RT;
127;1450;1140;640;       1010.600;CARDBOARD;;112849223RT;
128;1450;1140;850;         76.240;CARDBOARD;LENGTHWISE;214810048RT;
129;1450;1140;850;        139.720;CARDBOARD;LENGTHWISE;214818009RT;
130;1450;1140;850;        139.720;CARDBOARD;LENGTHWISE;214818009RT;
131;1450;1140;850;        139.720;CARDBOARD;LENGTHWISE;214818009RT;
132;1450;1140;850;        139.720;CARDBOARD;LENGTHWISE;214818009RT;
133;1450;1140;850;        142.000;CARDBOARD;LENGTHWISE;214818665RT;
134;1450;1140;850;        260.000;CARDBOARD;LENGTHWISE;240142414RT;
135;1450;1140;850;        124.960;CARDBOARD;LENGTHWISE;472103298RT;
136;1450;1140;850;        124.960;CARDBOARD;LENGTHWISE;472103298RT;
137;1450;1140;850;        124.960;CARDBOARD;LENGTHWISE;472103298RT;
138;1450;1140;850;        141.160;CARDBOARD;LENGTHWISE;472107999RT;
139;1450;1140;850;        141.160;CARDBOARD;LENGTHWISE;472107999RT;
140;1450;1140;850;        141.160;CARDBOARD;LENGTHWISE;472107999RT;
141;1450;1140;850;        141.160;CARDBOARD;LENGTHWISE;472107999RT;
142;1450;1140;850;        141.160;CARDBOARD;LENGTHWISE;472107999RT;
143;1450;1140;850;        141.160;CARDBOARD;LENGTHWISE;472107999RT;
144;1450;1140;850;        141.160;CARDBOARD;LENGTHWISE;472107999RT;
145;1450;1140;850;        141.160;CARDBOARD;LENGTHWISE;472107999RT;
146;1450;1140;850;        141.160;CARDBOARD;LENGTHWISE;472107999RT;
147;1450;1140;850;        133.600;CARDBOARD;LENGTHWISE;472108901RT;
148;1450;1140;850;        133.600;CARDBOARD;LENGTHWISE;472108901RT;
149;1450;1140;850;         69.580;CARDBOARD;LENGTHWISE;638747990RT;
150;1450;1140;850;         69.580;CARDBOARD;LENGTHWISE;638747990RT;
151;1450;1140;850;         69.580;CARDBOARD;LENGTHWISE;638751431RT;
152;1450;1140;850;         69.580;CARDBOARD;LENGTHWISE;638751431RT;
153;1450;1140;640;         40.660;CARDBOARD;;668114438RT;
154;1450;1140;640;         40.660;CARDBOARD;;668114438RT;
155;1450;1140;850;        324.000;CARDBOARD;LENGTHWISE;671541539RT;
156;1450;1140;850;         46.150;CARDBOARD;LENGTHWISE;679007944RT;
157;1450;1140;850;         68.000;CARDBOARD;LENGTHWISE;682387823RT;
158;1450;1140;640;         31.900;CARDBOARD;;749415648RT;
159;1450;1140;850;        901.000;CARDBOARD;LENGTHWISE;756502970RT;
160;1450;1140;850;        228.000;CARDBOARD;LENGTHWISE;767409022RT;
161;1450;1140;850;        228.000;CARDBOARD;LENGTHWISE;767409022RT;
162;1450;1140;640;        205.000;CARDBOARD;;799223695RT;
163;1450;1140;640;        205.000;CARDBOARD;;799223695RT;
164;1450;1140;640;        205.000;CARDBOARD;;799224204RT;
165;1450;1140;640;        205.000;CARDBOARD;;799224204RT;
166;1450;1140;640;         61.960;CARDBOARD;;8200756961T;
167;1450;1140;640;         61.960;CARDBOARD;;8200756961T;
168;1450;1140;640;         61.960;CARDBOARD;;8200756961T;
169;1450;1140;640;         61.960;CARDBOARD;;8200756961T;
170;1450;1140;640;         61.960;CARDBOARD;;8200756961T;
171;1450;1140;640;         61.960;CARDBOARD;;8200756961T;
172;1450;1140;640;         61.960;CARDBOARD;;8200756961T;
173;1450;1140;640;         61.960;CARDBOARD;;8200756961T;
174;1450;1140;640;       1010.600;CARDBOARD;;112849223RT;
175;1450;1140;640;       1010.600;CARDBOARD;;112849223RT;
176;1450;1140;640;       1010.600;CARDBOARD;;112849223RT;
177;1450;1140;640;       1010.600;CARDBOARD;;112849223RT;
178;1450;1140;640;       1010.600;CARDBOARD;;112849223RT;
179;1450;1140;640;       1010.600;CARDBOARD;;112849223RT;
180;1450;1140;640;       1010.600;CARDBOARD;;112849223RT;
181;1450;1140;640;       1010.600;CARDBOARD;;112849223RT;
182;1450;1140;640;       1010.600;CARDBOARD;;112849223RT;
183;1140;950;850;         75.000;CARDBOARD;;144600661RT;
184;1140;950;850;         75.000;CARDBOARD;;144600661RT;
185;1180;1140;860;        168.000;METAL;;144963014RT;
186;1180;1140;860;        168.000;METAL;;144963014RT;
187;1180;1140;860;        168.000;METAL;;144963014RT;
188;1180;1140;860;        168.000;METAL;;144963014RT;
189;1180;1140;860;        168.000;METAL;;144963014RT;
190;1180;1140;860;        168.000;METAL;;144963014RT;
191;1180;1140;860;        168.000;METAL;;144963014RT;
192;1180;1140;860;        168.000;METAL;;144963014RT;
193;1180;1140;860;        168.000;METAL;;144963014RT;
194;1180;1140;860;        168.000;METAL;;144963014RT;
195;1180;1140;860;        168.000;METAL;;144963014RT;
196;1180;1140;860;        168.000;METAL;;144963014RT;
197;1180;1140;860;        168.000;METAL;;144963014RT;
198;1180;1140;860;        203.600;METAL;;144965154RT;
199;1180;1140;860;        203.600;METAL;;144965154RT;
200;1180;1140;860;        203.600;METAL;;144965154RT;
201;1180;1140;860;        203.600;METAL;;144965154RT;
202;1180;1140;860;        203.600;METAL;;144965154RT;
203;1180;1140;860;        203.600;METAL;;144965154RT;
204;1180;1140;860;        203.600;METAL;;144965154RT;
205;1180;1140;860;        203.600;METAL;;144965154RT;
206;1180;1140;860;        203.600;METAL;;144965154RT;
207;1320;1160;1360;        159.000;WOOD;;248105453RT;
208;1140;950;850;        254.400;CARDBOARD;;208023629RT;
209;1140;950;850;         45.060;CARDBOARD;;215596207RT;
210;1200;1000;1045;         73.000;CARDBOARD;;275009384RT;
211;1140;950;850;        198.720;CARDBOARD;;465031703RT;
212;1140;950;850;        198.720;CARDBOARD;;465031703RT;
213;1140;950;850;        198.720;CARDBOARD;;465031703RT;
214;1140;950;850;        198.720;CARDBOARD;;465031703RT;
215;1140;950;850;        198.720;CARDBOARD;;465031703RT;
216;1140;950;850;        143.200;CARDBOARD;;465038264RT;
217;1140;950;850;        143.200;CARDBOARD;;465038264RT;
218;1140;950;640;         48.000;CARDBOARD;;620729362RT;
219;1140;950;640;         48.000;CARDBOARD;;620729362RT;
220;1140;950;640;         48.000;CARDBOARD;;620729362RT;
221;1200;1000;1145;         51.400;CARDBOARD;;638A07296RT;
222;1140;950;640;        570.000;CARDBOARD;;671225014RT;
223;1140;950;640;        390.000;CARDBOARD;;674121970RT;
224;1140;950;640;        390.000;CARDBOARD;;674121970RT;
225;1140;950;640;        400.000;CARDBOARD;;674139752RT;
226;1140;950;640;        400.000;CARDBOARD;;674139752RT;
227;1140;950;640;        400.000;CARDBOARD;;674139752RT;
228;1200;1000;1045;         73.150;CARDBOARD;;682606986RT;
