item code;length (mm);width (mm);height (mm);weight (kg);Package material;Orientation constrained;Product;
0;1140;950;850;        155.200;CARDBOARD;;147170741RA;
1;1140;950;850;        155.200;CARDBOARD;;147170741RA;
2;1140;950;850;        155.200;CARDBOARD;;147170741RA;
3;1140;950;850;        155.200;CARDBOARD;;147170741RA;
4;1140;950;850;        155.200;CARDBOARD;;147170741RA;
5;1140;950;850;        155.200;CARDBOARD;;147170741RA;
6;1140;950;850;        155.200;CARDBOARD;;147170741RA;
7;1140;950;850;        155.200;CARDBOARD;;147170741RA;
8;1140;950;850;        155.200;CARDBOARD;;147170741RA;
9;1140;950;850;        155.200;CARDBOARD;;147170741RA;
10;1140;950;850;        155.200;CARDBOARD;;147170741RA;
11;1450;1140;850;        292.000;CARDBOARD;;175201470RA;
12;1450;1140;850;        292.000;CARDBOARD;;175201470RA;
13;1450;1140;850;        292.000;CARDBOARD;;175201470RA;
14;1450;1140;850;        292.000;CARDBOARD;;175201470RA;
15;1500;1130;1120;        358.140;CARDBOARD;;490018503RA;
16;1500;1130;1120;        358.140;CARDBOARD;;490018503RA;
17;1500;1130;1120;        358.140;CARDBOARD;;490018503RA;
18;1140;950;850;        293.280;CARDBOARD;;656011705RA;
19;1140;950;850;        293.280;CARDBOARD;;656015563RA;
20;1140;950;850;        293.280;CARDBOARD;;656015563RA;
21;1140;950;850;        104.640;CARDBOARD;;656231342RA;
22;1140;950;850;        104.640;CARDBOARD;;656231342RA;
23;1140;950;850;        104.640;CARDBOARD;;656231342RA;
24;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
25;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
26;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
27;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
28;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
29;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
30;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
31;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
32;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
33;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
34;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
35;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
36;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
37;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
38;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
39;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
40;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
41;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
42;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
43;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
44;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
45;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
46;1500;1130;1120;        358.140;CARDBOARD;;490018503RA;
47;1500;1130;1120;        358.140;CARDBOARD;;490018503RA;
48;1500;1130;1120;        358.140;CARDBOARD;;490018503RA;
49;1500;1130;1120;        358.140;CARDBOARD;;490018503RA;
50;1500;1130;1120;        358.140;CARDBOARD;;490018503RA;
51;1500;1130;1120;        358.140;CARDBOARD;;490018503RA;
52;1500;1130;1120;        358.140;CARDBOARD;;490018503RA;
53;1500;1130;1120;        358.140;CARDBOARD;;490018503RA;
54;1500;1130;1120;        358.140;CARDBOARD;;490018503RA;
55;1500;1130;1120;        358.140;CARDBOARD;;490018503RA;
56;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
57;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
58;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
59;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
60;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
61;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
62;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
63;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
64;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
65;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
66;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
67;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
68;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
69;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
70;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
71;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
72;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
73;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
74;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
75;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
76;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
77;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
78;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
79;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
80;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
81;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
82;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
83;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
84;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
85;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
86;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
87;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
88;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
89;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
90;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
91;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
92;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
93;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
94;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
95;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
96;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
97;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
98;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
99;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
100;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
101;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
102;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
103;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
104;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
105;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
106;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
107;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
108;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
109;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
110;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
111;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
112;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
113;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
114;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
115;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
116;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
117;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
118;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
119;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
120;1450;1140;850;        252.400;CARDBOARD;;112229033RA;
121;1450;1140;850;        252.400;CARDBOARD;;112229033RA;
122;1450;1140;850;        285.400;CARDBOARD;;112534EB0AA;
123;1450;1140;850;        255.040;CARDBOARD;;112536172RA;
124;1140;950;850;         24.000;CARDBOARD;;132076485RA;
125;1140;950;640;        372.000;CARDBOARD;;149570157RA;
126;1140;950;640;        372.000;CARDBOARD;;149570157RA;
127;1140;950;640;        372.000;CARDBOARD;;149570157RA;
128;1140;950;640;        372.000;CARDBOARD;;149570157RA;
129;1140;950;640;        372.000;CARDBOARD;;149570157RA;
130;1140;950;850;        158.400;CARDBOARD;;253B05176RA;
131;1140;950;850;        158.400;CARDBOARD;;253B05176RA;
132;1140;950;850;        158.400;CARDBOARD;;253B05176RA;
133;1140;950;850;        132.000;CARDBOARD;;280239732RA;
134;1140;950;850;        132.000;CARDBOARD;;363211899RA;
135;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
136;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
137;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
138;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
139;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
140;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
141;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
142;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
143;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
144;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
145;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
146;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
147;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
148;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
149;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
150;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
151;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
152;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
153;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
154;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
155;1500;1130;1120;        357.300;CARDBOARD;;490013552RA;
156;1140;950;850;        293.280;CARDBOARD;;656011705RA;
157;1100;470;555;        395.352;CARDBOARD;;112534EB1AA;
158;1100;470;555;         50.722;CARDBOARD;;214356155RA;
